family,evidence_layer,support_fraction,n_rows,source_definition
deep,empirical gates,0.2727272727,22,family mean of method-level evidence-layer support fractions
deep,biological anchors,0.3125,32,family mean of method-level evidence-layer support fractions
deep,mechanism simulations,0.3035714286,56,family mean of method-level evidence-layer support fractions
factor,empirical gates,0.5454545455,22,family mean of method-level evidence-layer support fractions
factor,biological anchors,0.625,32,family mean of method-level evidence-layer support fractions
factor,mechanism simulations,0.6607142857,56,family mean of method-level evidence-layer support fractions
graph,empirical gates,0.4545454545,22,family mean of method-level evidence-layer support fractions
graph,biological anchors,1,32,family mean of method-level evidence-layer support fractions
graph,mechanism simulations,0.5178571429,56,family mean of method-level evidence-layer support fractions
relational,empirical gates,0.5,22,family mean of method-level evidence-layer support fractions
relational,biological anchors,1,32,family mean of method-level evidence-layer support fractions
relational,mechanism simulations,0.5178571429,56,family mean of method-level evidence-layer support fractions
