family,claim_gate,support_fraction,n_rows,source_definition
deep,continuum_gate,0,2,fraction of valid method-dataset gate rows passing predeclared thresholds
deep,donor_aware_gate,0.5,2,fraction of valid method-dataset gate rows passing predeclared thresholds
deep,global_geometry_gate,0.5,6,fraction of valid method-dataset gate rows passing predeclared thresholds
deep,label_support_gate,0.3333333333,6,fraction of valid method-dataset gate rows passing predeclared thresholds
deep,local_neighbourhood_gate,0,6,fraction of valid method-dataset gate rows passing predeclared thresholds
factor,continuum_gate,0,2,fraction of valid method-dataset gate rows passing predeclared thresholds
factor,donor_aware_gate,1,2,fraction of valid method-dataset gate rows passing predeclared thresholds
factor,global_geometry_gate,1,6,fraction of valid method-dataset gate rows passing predeclared thresholds
factor,label_support_gate,0.6666666667,6,fraction of valid method-dataset gate rows passing predeclared thresholds
factor,local_neighbourhood_gate,0,6,fraction of valid method-dataset gate rows passing predeclared thresholds
graph,continuum_gate,0,2,fraction of valid method-dataset gate rows passing predeclared thresholds
graph,donor_aware_gate,0.5,2,fraction of valid method-dataset gate rows passing predeclared thresholds
graph,global_geometry_gate,0.8333333333,6,fraction of valid method-dataset gate rows passing predeclared thresholds
graph,label_support_gate,0.6666666667,6,fraction of valid method-dataset gate rows passing predeclared thresholds
graph,local_neighbourhood_gate,0,6,fraction of valid method-dataset gate rows passing predeclared thresholds
relational,continuum_gate,0,2,fraction of valid method-dataset gate rows passing predeclared thresholds
relational,donor_aware_gate,0,2,fraction of valid method-dataset gate rows passing predeclared thresholds
relational,global_geometry_gate,1,6,fraction of valid method-dataset gate rows passing predeclared thresholds
relational,label_support_gate,0.6666666667,6,fraction of valid method-dataset gate rows passing predeclared thresholds
relational,local_neighbourhood_gate,0.1666666667,6,fraction of valid method-dataset gate rows passing predeclared thresholds
