dataset_id,claim_gate,support_fraction,n_rows,dataset_label,source_definition
heart_cell_atlas_subsampled,donor_aware_gate,0.5,8,Heart atlas,dataset-specific pass fraction for valid diagnostic gates
heart_cell_atlas_subsampled,global_geometry_gate,0.75,8,Heart atlas,dataset-specific pass fraction for valid diagnostic gates
heart_cell_atlas_subsampled,label_support_gate,0.875,8,Heart atlas,dataset-specific pass fraction for valid diagnostic gates
heart_cell_atlas_subsampled,local_neighbourhood_gate,0.125,8,Heart atlas,dataset-specific pass fraction for valid diagnostic gates
paul15,continuum_gate,0,8,Paul15,dataset-specific pass fraction for valid diagnostic gates
paul15,global_geometry_gate,0.875,8,Paul15,dataset-specific pass fraction for valid diagnostic gates
paul15,label_support_gate,0,8,Paul15,dataset-specific pass fraction for valid diagnostic gates
paul15,local_neighbourhood_gate,0,8,Paul15,dataset-specific pass fraction for valid diagnostic gates
pbmc3k,global_geometry_gate,0.875,8,PBMC3k,dataset-specific pass fraction for valid diagnostic gates
pbmc3k,label_support_gate,0.875,8,PBMC3k,dataset-specific pass fraction for valid diagnostic gates
pbmc3k,local_neighbourhood_gate,0,8,PBMC3k,dataset-specific pass fraction for valid diagnostic gates
