family,claim_axis,support_fraction,n_rows,source_definition
deep,batch_biology_tradeoff,0,2,family-level pass fraction in the compact known-truth mechanism simulation suite
deep,cell_state_support,0.5,12,family-level pass fraction in the compact known-truth mechanism simulation suite
deep,continuum_support,0.5,4,family-level pass fraction in the compact known-truth mechanism simulation suite
deep,rare_state_support,0.5,2,family-level pass fraction in the compact known-truth mechanism simulation suite
deep,truth_geometry,0.2222222222,36,family-level pass fraction in the compact known-truth mechanism simulation suite
factor,batch_biology_tradeoff,0.5,2,family-level pass fraction in the compact known-truth mechanism simulation suite
factor,cell_state_support,1,12,family-level pass fraction in the compact known-truth mechanism simulation suite
factor,continuum_support,0.5,4,family-level pass fraction in the compact known-truth mechanism simulation suite
factor,rare_state_support,1,2,family-level pass fraction in the compact known-truth mechanism simulation suite
factor,truth_geometry,0.5555555556,36,family-level pass fraction in the compact known-truth mechanism simulation suite
graph,batch_biology_tradeoff,0,2,family-level pass fraction in the compact known-truth mechanism simulation suite
graph,cell_state_support,1,12,family-level pass fraction in the compact known-truth mechanism simulation suite
graph,continuum_support,0.75,4,family-level pass fraction in the compact known-truth mechanism simulation suite
graph,rare_state_support,1,2,family-level pass fraction in the compact known-truth mechanism simulation suite
graph,truth_geometry,0.3333333333,36,family-level pass fraction in the compact known-truth mechanism simulation suite
relational,batch_biology_tradeoff,0,2,family-level pass fraction in the compact known-truth mechanism simulation suite
relational,cell_state_support,1,12,family-level pass fraction in the compact known-truth mechanism simulation suite
relational,continuum_support,0.75,4,family-level pass fraction in the compact known-truth mechanism simulation suite
relational,rare_state_support,1,2,family-level pass fraction in the compact known-truth mechanism simulation suite
relational,truth_geometry,0.3333333333,36,family-level pass fraction in the compact known-truth mechanism simulation suite
