method,family,claim_axis,support_fraction,n_rows,source_definition
GLM-PCA,factor,batch_biology_tradeoff,1,1,method-level pass fraction for each known-truth simulation claim axis
GLM-PCA,factor,cell_state_support,1,6,method-level pass fraction for each known-truth simulation claim axis
GLM-PCA,factor,continuum_support,0.5,2,method-level pass fraction for each known-truth simulation claim axis
GLM-PCA,factor,rare_state_support,1,1,method-level pass fraction for each known-truth simulation claim axis
GLM-PCA,factor,truth_geometry,0.6111111111,18,method-level pass fraction for each known-truth simulation claim axis
PCA,factor,batch_biology_tradeoff,0,1,method-level pass fraction for each known-truth simulation claim axis
PCA,factor,cell_state_support,1,6,method-level pass fraction for each known-truth simulation claim axis
PCA,factor,continuum_support,0.5,2,method-level pass fraction for each known-truth simulation claim axis
PCA,factor,rare_state_support,1,1,method-level pass fraction for each known-truth simulation claim axis
PCA,factor,truth_geometry,0.5,18,method-level pass fraction for each known-truth simulation claim axis
PHATE,graph,batch_biology_tradeoff,0,1,method-level pass fraction for each known-truth simulation claim axis
PHATE,graph,cell_state_support,1,6,method-level pass fraction for each known-truth simulation claim axis
PHATE,graph,continuum_support,0.5,2,method-level pass fraction for each known-truth simulation claim axis
PHATE,graph,rare_state_support,1,1,method-level pass fraction for each known-truth simulation claim axis
PHATE,graph,truth_geometry,0.3333333333,18,method-level pass fraction for each known-truth simulation claim axis
PaCMAP,relational,batch_biology_tradeoff,0,1,method-level pass fraction for each known-truth simulation claim axis
PaCMAP,relational,cell_state_support,1,6,method-level pass fraction for each known-truth simulation claim axis
PaCMAP,relational,continuum_support,1,2,method-level pass fraction for each known-truth simulation claim axis
PaCMAP,relational,rare_state_support,1,1,method-level pass fraction for each known-truth simulation claim axis
PaCMAP,relational,truth_geometry,0.3333333333,18,method-level pass fraction for each known-truth simulation claim axis
SAUCIE,deep,batch_biology_tradeoff,0,1,method-level pass fraction for each known-truth simulation claim axis
SAUCIE,deep,cell_state_support,1,6,method-level pass fraction for each known-truth simulation claim axis
SAUCIE,deep,continuum_support,1,2,method-level pass fraction for each known-truth simulation claim axis
SAUCIE,deep,rare_state_support,1,1,method-level pass fraction for each known-truth simulation claim axis
SAUCIE,deep,truth_geometry,0.4444444444,18,method-level pass fraction for each known-truth simulation claim axis
UMAP,graph,batch_biology_tradeoff,0,1,method-level pass fraction for each known-truth simulation claim axis
UMAP,graph,cell_state_support,1,6,method-level pass fraction for each known-truth simulation claim axis
UMAP,graph,continuum_support,1,2,method-level pass fraction for each known-truth simulation claim axis
UMAP,graph,rare_state_support,1,1,method-level pass fraction for each known-truth simulation claim axis
UMAP,graph,truth_geometry,0.3333333333,18,method-level pass fraction for each known-truth simulation claim axis
scScope,deep,batch_biology_tradeoff,0,1,method-level pass fraction for each known-truth simulation claim axis
scScope,deep,cell_state_support,0,6,method-level pass fraction for each known-truth simulation claim axis
scScope,deep,continuum_support,0,2,method-level pass fraction for each known-truth simulation claim axis
scScope,deep,rare_state_support,0,1,method-level pass fraction for each known-truth simulation claim axis
scScope,deep,truth_geometry,0,18,method-level pass fraction for each known-truth simulation claim axis
t-SNE,relational,batch_biology_tradeoff,0,1,method-level pass fraction for each known-truth simulation claim axis
t-SNE,relational,cell_state_support,1,6,method-level pass fraction for each known-truth simulation claim axis
t-SNE,relational,continuum_support,0.5,2,method-level pass fraction for each known-truth simulation claim axis
t-SNE,relational,rare_state_support,1,1,method-level pass fraction for each known-truth simulation claim axis
t-SNE,relational,truth_geometry,0.3333333333,18,method-level pass fraction for each known-truth simulation claim axis
