dataset_id,method,family,seed,metric,value,k,n_cells,n_pcs_reference,n_definition
pbmc3k,PCA,factor,0,local_retention,0.05324740965377812,15.0,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates
pbmc3k,PCA,factor,0,trustworthiness,0.805816098585608,15.0,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates
pbmc3k,PCA,factor,0,global_rank_corr,0.6516416813420612,,2638,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples
pbmc3k,PCA,factor,0,label_neighbor_recall,0.7929492039423807,15.0,2638,50,method-dataset-seed run; per-cell neighbour labels compute the metric
pbmc3k,GLM-PCA,factor,0,local_retention,0.042961839777609305,15.0,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates
pbmc3k,GLM-PCA,factor,0,trustworthiness,0.7989934047221783,15.0,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates
pbmc3k,GLM-PCA,factor,0,global_rank_corr,0.5306042453675148,,2638,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples
pbmc3k,GLM-PCA,factor,0,label_neighbor_recall,0.8631539044730857,15.0,2638,50,method-dataset-seed run; per-cell neighbour labels compute the metric
pbmc3k,scScope,deep,0,local_retention,0.014733383876674248,15.0,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates
pbmc3k,scScope,deep,0,trustworthiness,0.5799214790353857,15.0,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates
pbmc3k,scScope,deep,0,global_rank_corr,0.32894696610082597,,2638,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples
pbmc3k,scScope,deep,0,label_neighbor_recall,0.31561789234268384,15.0,2638,50,method-dataset-seed run; per-cell neighbour labels compute the metric
pbmc3k,SAUCIE,deep,0,local_retention,0.07131665403083144,15.0,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates
pbmc3k,SAUCIE,deep,0,trustworthiness,0.8415744685580313,15.0,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates
pbmc3k,SAUCIE,deep,0,global_rank_corr,0.63976366710409,,2638,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples
pbmc3k,SAUCIE,deep,0,label_neighbor_recall,0.9096790497851909,15.0,2638,50,method-dataset-seed run; per-cell neighbour labels compute the metric
pbmc3k,UMAP,graph,0,local_retention,0.10730351276219358,15.0,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates
pbmc3k,UMAP,graph,0,trustworthiness,0.8570027605555128,15.0,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates
pbmc3k,UMAP,graph,0,global_rank_corr,0.5246826842812312,,2638,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples
pbmc3k,UMAP,graph,0,label_neighbor_recall,0.9212282031842304,15.0,2638,50,method-dataset-seed run; per-cell neighbour labels compute the metric
pbmc3k,PHATE,graph,0,local_retention,0.08347232752084913,15.0,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates
pbmc3k,PHATE,graph,0,trustworthiness,0.832479518108384,15.0,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates
pbmc3k,PHATE,graph,0,global_rank_corr,0.5462702857899164,,2638,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples
pbmc3k,PHATE,graph,0,label_neighbor_recall,0.9264847106393732,15.0,2638,50,method-dataset-seed run; per-cell neighbour labels compute the metric
pbmc3k,t-SNE,relational,0,local_retention,0.16507455142784938,15.0,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates
pbmc3k,t-SNE,relational,0,trustworthiness,0.8904914832537735,15.0,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates
pbmc3k,t-SNE,relational,0,global_rank_corr,0.5875265286641682,,2638,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples
pbmc3k,t-SNE,relational,0,label_neighbor_recall,0.9134950720242608,15.0,2638,50,method-dataset-seed run; per-cell neighbour labels compute the metric
pbmc3k,PaCMAP,relational,0,local_retention,0.10667172100075814,15.0,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates
pbmc3k,PaCMAP,relational,0,trustworthiness,0.8644392322630805,15.0,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates
pbmc3k,PaCMAP,relational,0,global_rank_corr,0.631109788993298,,2638,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples
pbmc3k,PaCMAP,relational,0,label_neighbor_recall,0.9165024008086935,15.0,2638,50,method-dataset-seed run; per-cell neighbour labels compute the metric
paul15,PCA,factor,0,local_retention,0.0796092796092796,15.0,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates
paul15,PCA,factor,0,trustworthiness,0.8511697119528667,15.0,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates
paul15,PCA,factor,0,global_rank_corr,0.6974668149293255,,2730,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples
paul15,PCA,factor,0,label_neighbor_recall,0.3432234432234432,15.0,2730,50,method-dataset-seed run; per-cell neighbour labels compute the metric
paul15,GLM-PCA,factor,0,local_retention,0.05909645909645909,15.0,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates
paul15,GLM-PCA,factor,0,trustworthiness,0.8363425713555008,15.0,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates
paul15,GLM-PCA,factor,0,global_rank_corr,0.6530593230951073,,2730,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples
