dataset_id,family,metric,pass_flag
heart_cell_atlas_subsampled,deep,all_four_metrics,0.0
heart_cell_atlas_subsampled,deep,global_rank_corr,0.5
heart_cell_atlas_subsampled,deep,label_neighbor_recall,0.5
heart_cell_atlas_subsampled,deep,local_retention,0.0
heart_cell_atlas_subsampled,deep,trustworthiness,0.0
heart_cell_atlas_subsampled,factor,all_four_metrics,0.0
heart_cell_atlas_subsampled,factor,global_rank_corr,1.0
heart_cell_atlas_subsampled,factor,label_neighbor_recall,1.0
heart_cell_atlas_subsampled,factor,local_retention,0.0
heart_cell_atlas_subsampled,factor,trustworthiness,0.0
heart_cell_atlas_subsampled,graph,all_four_metrics,0.0
heart_cell_atlas_subsampled,graph,global_rank_corr,0.5
heart_cell_atlas_subsampled,graph,label_neighbor_recall,1.0
heart_cell_atlas_subsampled,graph,local_retention,0.0
heart_cell_atlas_subsampled,graph,trustworthiness,1.0
heart_cell_atlas_subsampled,relational,all_four_metrics,0.0
heart_cell_atlas_subsampled,relational,global_rank_corr,1.0
heart_cell_atlas_subsampled,relational,label_neighbor_recall,1.0
heart_cell_atlas_subsampled,relational,local_retention,0.5
heart_cell_atlas_subsampled,relational,trustworthiness,1.0
paul15,deep,all_four_metrics,0.0
paul15,deep,global_rank_corr,0.5
paul15,deep,label_neighbor_recall,0.0
paul15,deep,local_retention,0.0
paul15,deep,trustworthiness,0.0
paul15,factor,all_four_metrics,0.0
paul15,factor,global_rank_corr,1.0
paul15,factor,label_neighbor_recall,0.0
paul15,factor,local_retention,0.0
paul15,factor,trustworthiness,0.0
paul15,graph,all_four_metrics,0.0
paul15,graph,global_rank_corr,1.0
paul15,graph,label_neighbor_recall,0.0
paul15,graph,local_retention,0.0
paul15,graph,trustworthiness,0.5
paul15,relational,all_four_metrics,0.0
paul15,relational,global_rank_corr,1.0
paul15,relational,label_neighbor_recall,0.0
paul15,relational,local_retention,0.0
paul15,relational,trustworthiness,1.0
pbmc3k,deep,all_four_metrics,0.0
pbmc3k,deep,global_rank_corr,0.5
pbmc3k,deep,label_neighbor_recall,0.5
pbmc3k,deep,local_retention,0.0
pbmc3k,deep,trustworthiness,0.0
pbmc3k,factor,all_four_metrics,0.0
pbmc3k,factor,global_rank_corr,1.0
pbmc3k,factor,label_neighbor_recall,1.0
pbmc3k,factor,local_retention,0.0
pbmc3k,factor,trustworthiness,0.0
pbmc3k,graph,all_four_metrics,0.0
pbmc3k,graph,global_rank_corr,1.0
pbmc3k,graph,label_neighbor_recall,1.0
pbmc3k,graph,local_retention,0.0
pbmc3k,graph,trustworthiness,0.0
pbmc3k,relational,all_four_metrics,0.0
pbmc3k,relational,global_rank_corr,1.0
pbmc3k,relational,label_neighbor_recall,1.0
pbmc3k,relational,local_retention,0.0
pbmc3k,relational,trustworthiness,0.0


