dataset_id,cell_id,method,family,seed,x,y,label,batch_or_donor,n_cells,source
paul15,W31105,PCA,factor,0,0.5068297,-13.312816,7MEP,,2730,empirical_embedding_coordinates
paul15,W31106,PCA,factor,0,-11.870363,7.2038584,15Mo,,2730,empirical_embedding_coordinates
paul15,W31107,PCA,factor,0,16.641369,6.350284,3Ery,,2730,empirical_embedding_coordinates
paul15,W31108,PCA,factor,0,-8.546742,13.572011,15Mo,,2730,empirical_embedding_coordinates
paul15,W31109,PCA,factor,0,16.650873,5.9745574,3Ery,,2730,empirical_embedding_coordinates
paul15,W31110,PCA,factor,0,-9.202945,2.562314,15Mo,,2730,empirical_embedding_coordinates
paul15,W31111,PCA,factor,0,8.848444,2.9664824,4Ery,,2730,empirical_embedding_coordinates
paul15,W31113,PCA,factor,0,1.9475901,-14.775762,2Ery,,2730,empirical_embedding_coordinates
paul15,W31114,PCA,factor,0,6.0584497,4.547487,3Ery,,2730,empirical_embedding_coordinates
paul15,W31115,PCA,factor,0,13.8347025,3.4287295,2Ery,,2730,empirical_embedding_coordinates
paul15,W31116,PCA,factor,0,11.487535,1.3269238,2Ery,,2730,empirical_embedding_coordinates
paul15,W31117,PCA,factor,0,-7.0613613,-5.2397327,17Neu,,2730,empirical_embedding_coordinates
paul15,W31118,PCA,factor,0,-9.244402,5.873328,14Mo,,2730,empirical_embedding_coordinates
paul15,W31119,PCA,factor,0,-8.01269,-0.961792,13Baso,,2730,empirical_embedding_coordinates
paul15,W31120,PCA,factor,0,12.342067,2.0382893,3Ery,,2730,empirical_embedding_coordinates
paul15,W31121,PCA,factor,0,0.61523545,-14.15727,7MEP,,2730,empirical_embedding_coordinates
paul15,W31122,PCA,factor,0,13.925101,6.587938,3Ery,,2730,empirical_embedding_coordinates
paul15,W31123,PCA,factor,0,13.910136,2.4986377,3Ery,,2730,empirical_embedding_coordinates
paul15,W31124,PCA,factor,0,15.735359,2.2478316,2Ery,,2730,empirical_embedding_coordinates
paul15,W31125,PCA,factor,0,-1.6877246,0.11703366,8Mk,,2730,empirical_embedding_coordinates
paul15,W31126,PCA,factor,0,9.646718,0.41816777,3Ery,,2730,empirical_embedding_coordinates
paul15,W31127,PCA,factor,0,-4.66201,3.0306299,9GMP,,2730,empirical_embedding_coordinates
paul15,W31128,PCA,factor,0,1.7769923,-2.2949734,8Mk,,2730,empirical_embedding_coordinates
paul15,W31129,PCA,factor,0,-3.6624749,-10.024205,10GMP,,2730,empirical_embedding_coordinates
paul15,W31130,PCA,factor,0,-8.771612,-3.4628506,15Mo,,2730,empirical_embedding_coordinates
paul15,W31131,PCA,factor,0,-8.920409,4.730971,16Neu,,2730,empirical_embedding_coordinates
paul15,W31132,PCA,factor,0,12.196195,1.4558805,4Ery,,2730,empirical_embedding_coordinates
paul15,W31133,PCA,factor,0,-6.107097,-1.3659718,13Baso,,2730,empirical_embedding_coordinates
paul15,W31134,PCA,factor,0,-8.148164,-9.323777,17Neu,,2730,empirical_embedding_coordinates
paul15,W31136,PCA,factor,0,14.404289,6.188615,3Ery,,2730,empirical_embedding_coordinates
