family,claim_gate,min_pass_fraction,max_pass_fraction,n_methods,pass_fraction_range
deep,continuum_gate,0.0,0.0,2,0.0
deep,donor_aware_gate,0.0,1.0,2,1.0
deep,global_geometry_gate,0.0,1.0,2,1.0
deep,label_support_gate,0.0,0.6666666666666666,2,0.6666666666666666
deep,local_neighbourhood_gate,0.0,0.0,2,0.0
factor,continuum_gate,0.0,0.0,2,0.0
factor,donor_aware_gate,1.0,1.0,2,0.0
factor,global_geometry_gate,1.0,1.0,2,0.0
factor,label_support_gate,0.6666666666666666,0.6666666666666666,2,0.0
factor,local_neighbourhood_gate,0.0,0.0,2,0.0
graph,continuum_gate,0.0,0.0,2,0.0
graph,donor_aware_gate,0.0,1.0,2,1.0
graph,global_geometry_gate,0.6666666666666666,1.0,2,0.33333333333333337
graph,label_support_gate,0.6666666666666666,0.6666666666666666,2,0.0
graph,local_neighbourhood_gate,0.0,0.0,2,0.0
relational,continuum_gate,0.0,0.0,2,0.0
relational,donor_aware_gate,0.0,0.0,2,0.0
relational,global_geometry_gate,1.0,1.0,2,0.0
relational,label_support_gate,0.6666666666666666,0.6666666666666666,2,0.0
relational,local_neighbourhood_gate,0.0,0.3333333333333333,2,0.3333333333333333
