method,family,claim_gate,pass_fraction,n_cases
GLM-PCA,factor,continuum_gate,0.0,1
GLM-PCA,factor,donor_aware_gate,1.0,1
GLM-PCA,factor,global_geometry_gate,1.0,3
GLM-PCA,factor,label_support_gate,0.6666666666666666,3
GLM-PCA,factor,local_neighbourhood_gate,0.0,3
PCA,factor,continuum_gate,0.0,1
PCA,factor,donor_aware_gate,1.0,1
PCA,factor,global_geometry_gate,1.0,3
PCA,factor,label_support_gate,0.6666666666666666,3
PCA,factor,local_neighbourhood_gate,0.0,3
PHATE,graph,continuum_gate,0.0,1
PHATE,graph,donor_aware_gate,1.0,1
PHATE,graph,global_geometry_gate,1.0,3
PHATE,graph,label_support_gate,0.6666666666666666,3
PHATE,graph,local_neighbourhood_gate,0.0,3
PaCMAP,relational,continuum_gate,0.0,1
PaCMAP,relational,donor_aware_gate,0.0,1
PaCMAP,relational,global_geometry_gate,1.0,3
PaCMAP,relational,label_support_gate,0.6666666666666666,3
PaCMAP,relational,local_neighbourhood_gate,0.0,3
SAUCIE,deep,continuum_gate,0.0,1
SAUCIE,deep,donor_aware_gate,1.0,1
SAUCIE,deep,global_geometry_gate,1.0,3
SAUCIE,deep,label_support_gate,0.6666666666666666,3
SAUCIE,deep,local_neighbourhood_gate,0.0,3
UMAP,graph,continuum_gate,0.0,1
UMAP,graph,donor_aware_gate,0.0,1
UMAP,graph,global_geometry_gate,0.6666666666666666,3
UMAP,graph,label_support_gate,0.6666666666666666,3
UMAP,graph,local_neighbourhood_gate,0.0,3
scScope,deep,continuum_gate,0.0,1
scScope,deep,donor_aware_gate,0.0,1
scScope,deep,global_geometry_gate,0.0,3
scScope,deep,label_support_gate,0.0,3
scScope,deep,local_neighbourhood_gate,0.0,3
t-SNE,relational,continuum_gate,0.0,1
t-SNE,relational,donor_aware_gate,0.0,1
t-SNE,relational,global_geometry_gate,1.0,3
t-SNE,relational,label_support_gate,0.6666666666666666,3
t-SNE,relational,local_neighbourhood_gate,0.3333333333333333,3


