dataset_id,method,family,seed,metric,value,k,n_cells,n_pcs_reference,n_definition,threshold,gate_component_pass,gate_name,score_definition,n_unit
pbmc3k,PCA,factor,0,global_rank_corr,0.6516416813420612,,2638,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,True,global_geometry_gate,Spearman correlation between sampled PCA-reference distances and embedding distances.,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples
pbmc3k,GLM-PCA,factor,0,global_rank_corr,0.5306042453675148,,2638,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,True,global_geometry_gate,Spearman correlation between sampled PCA-reference distances and embedding distances.,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples
pbmc3k,scScope,deep,0,global_rank_corr,0.2640604414801297,,2638,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,False,global_geometry_gate,Spearman correlation between sampled PCA-reference distances and embedding distances.,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples
pbmc3k,SAUCIE,deep,0,global_rank_corr,0.63976366710409,,2638,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,True,global_geometry_gate,Spearman correlation between sampled PCA-reference distances and embedding distances.,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples
pbmc3k,UMAP,graph,0,global_rank_corr,0.5246826842812312,,2638,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,True,global_geometry_gate,Spearman correlation between sampled PCA-reference distances and embedding distances.,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples
pbmc3k,PHATE,graph,0,global_rank_corr,0.5462702857899164,,2638,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,True,global_geometry_gate,Spearman correlation between sampled PCA-reference distances and embedding distances.,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples
pbmc3k,t-SNE,relational,0,global_rank_corr,0.5875265286641682,,2638,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,True,global_geometry_gate,Spearman correlation between sampled PCA-reference distances and embedding distances.,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples
pbmc3k,PaCMAP,relational,0,global_rank_corr,0.631109788993298,,2638,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,True,global_geometry_gate,Spearman correlation between sampled PCA-reference distances and embedding distances.,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples
paul15,PCA,factor,0,global_rank_corr,0.6974668149293255,,2730,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,True,global_geometry_gate,Spearman correlation between sampled PCA-reference distances and embedding distances.,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples
paul15,GLM-PCA,factor,0,global_rank_corr,0.6530593230951073,,2730,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,True,global_geometry_gate,Spearman correlation between sampled PCA-reference distances and embedding distances.,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples
paul15,scScope,deep,0,global_rank_corr,0.5447585904200115,,2730,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,True,global_geometry_gate,Spearman correlation between sampled PCA-reference distances and embedding distances.,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples
paul15,SAUCIE,deep,0,global_rank_corr,0.5713198126401976,,2730,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,True,global_geometry_gate,Spearman correlation between sampled PCA-reference distances and embedding distances.,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples
paul15,UMAP,graph,0,global_rank_corr,0.6380401249714217,,2730,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,True,global_geometry_gate,Spearman correlation between sampled PCA-reference distances and embedding distances.,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples
paul15,PHATE,graph,0,global_rank_corr,0.6013020684379641,,2730,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,True,global_geometry_gate,Spearman correlation between sampled PCA-reference distances and embedding distances.,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples
paul15,t-SNE,relational,0,global_rank_corr,0.6216594588886569,,2730,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,True,global_geometry_gate,Spearman correlation between sampled PCA-reference distances and embedding distances.,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples
