dataset_id,method,family,seed,metric,value,threshold,gate_component_pass,gate_name,n_cells,n_donors,n_unit,score_direction,score_definition
heart_cell_atlas_subsampled,PCA,factor,0,cell_type_label_recall,0.7063416666666666,0.55,True,donor_aware_gate,8000,14,heart atlas analysis-subset cells summarized with donor as grouping metadata,higher_supports_cell_identity,"Local kNN cell-type recall, normalized donor entropy, or maximum donor fraction in each embedding neighbourhood."
heart_cell_atlas_subsampled,PCA,factor,0,donor_entropy_norm,0.6372364229068398,0.5,True,donor_aware_gate,8000,14,heart atlas analysis-subset cells summarized with donor as grouping metadata,higher_indicates_more_local_donor_mixing,"Local kNN cell-type recall, normalized donor entropy, or maximum donor fraction in each embedding neighbourhood."
heart_cell_atlas_subsampled,PCA,factor,0,donor_dominance,0.353,,,donor_aware_gate,8000,14,heart atlas analysis-subset cells summarized with donor as grouping metadata,lower_indicates_less_single_donor_dominance,"Local kNN cell-type recall, normalized donor entropy, or maximum donor fraction in each embedding neighbourhood."
heart_cell_atlas_subsampled,GLM-PCA,factor,0,cell_type_label_recall,0.7971166666666667,0.55,True,donor_aware_gate,8000,14,heart atlas analysis-subset cells summarized with donor as grouping metadata,higher_supports_cell_identity,"Local kNN cell-type recall, normalized donor entropy, or maximum donor fraction in each embedding neighbourhood."
heart_cell_atlas_subsampled,GLM-PCA,factor,0,donor_entropy_norm,0.6105468292187111,0.5,True,donor_aware_gate,8000,14,heart atlas analysis-subset cells summarized with donor as grouping metadata,higher_indicates_more_local_donor_mixing,"Local kNN cell-type recall, normalized donor entropy, or maximum donor fraction in each embedding neighbourhood."
heart_cell_atlas_subsampled,GLM-PCA,factor,0,donor_dominance,0.3642416666666667,,,donor_aware_gate,8000,14,heart atlas analysis-subset cells summarized with donor as grouping metadata,lower_indicates_less_single_donor_dominance,"Local kNN cell-type recall, normalized donor entropy, or maximum donor fraction in each embedding neighbourhood."
heart_cell_atlas_subsampled,scScope,deep,0,cell_type_label_recall,0.22282500000000002,0.55,False,donor_aware_gate,8000,14,heart atlas analysis-subset cells summarized with donor as grouping metadata,higher_supports_cell_identity,"Local kNN cell-type recall, normalized donor entropy, or maximum donor fraction in each embedding neighbourhood."
heart_cell_atlas_subsampled,scScope,deep,0,donor_entropy_norm,0.7473838693222102,0.5,True,donor_aware_gate,8000,14,heart atlas analysis-subset cells summarized with donor as grouping metadata,higher_indicates_more_local_donor_mixing,"Local kNN cell-type recall, normalized donor entropy, or maximum donor fraction in each embedding neighbourhood."
heart_cell_atlas_subsampled,scScope,deep,0,donor_dominance,0.25940833333333335,,,donor_aware_gate,8000,14,heart atlas analysis-subset cells summarized with donor as grouping metadata,lower_indicates_less_single_donor_dominance,"Local kNN cell-type recall, normalized donor entropy, or maximum donor fraction in each embedding neighbourhood."
heart_cell_atlas_subsampled,SAUCIE,deep,0,cell_type_label_recall,0.8579666666666667,0.55,True,donor_aware_gate,8000,14,heart atlas analysis-subset cells summarized with donor as grouping metadata,higher_supports_cell_identity,"Local kNN cell-type recall, normalized donor entropy, or maximum donor fraction in each embedding neighbourhood."
heart_cell_atlas_subsampled,SAUCIE,deep,0,donor_entropy_norm,0.6113208907764472,0.5,True,donor_aware_gate,8000,14,heart atlas analysis-subset cells summarized with donor as grouping metadata,higher_indicates_more_local_donor_mixing,"Local kNN cell-type recall, normalized donor entropy, or maximum donor fraction in each embedding neighbourhood."
heart_cell_atlas_subsampled,SAUCIE,deep,0,donor_dominance,0.3736583333333333,,,donor_aware_gate,8000,14,heart atlas analysis-subset cells summarized with donor as grouping metadata,lower_indicates_less_single_donor_dominance,"Local kNN cell-type recall, normalized donor entropy, or maximum donor fraction in each embedding neighbourhood."
heart_cell_atlas_subsampled,UMAP,graph,0,cell_type_label_recall,0.9503333333333334,0.55,True,donor_aware_gate,8000,14,heart atlas analysis-subset cells summarized with donor as grouping metadata,higher_supports_cell_identity,"Local kNN cell-type recall, normalized donor entropy, or maximum donor fraction in each embedding neighbourhood."
heart_cell_atlas_subsampled,UMAP,graph,0,donor_entropy_norm,0.49547928799035273,0.5,False,donor_aware_gate,8000,14,heart atlas analysis-subset cells summarized with donor as grouping metadata,higher_indicates_more_local_donor_mixing,"Local kNN cell-type recall, normalized donor entropy, or maximum donor fraction in each embedding neighbourhood."
heart_cell_atlas_subsampled,UMAP,graph,0,donor_dominance,0.4870916666666667,,,donor_aware_gate,8000,14,heart atlas analysis-subset cells summarized with donor as grouping metadata,lower_indicates_less_single_donor_dominance,"Local kNN cell-type recall, normalized donor entropy, or maximum donor fraction in each embedding neighbourhood."
heart_cell_atlas_subsampled,PHATE,graph,0,cell_type_label_recall,0.9367916666666666,0.55,True,donor_aware_gate,8000,14,heart atlas analysis-subset cells summarized with donor as grouping metadata,higher_supports_cell_identity,"Local kNN cell-type recall, normalized donor entropy, or maximum donor fraction in each embedding neighbourhood."
heart_cell_atlas_subsampled,PHATE,graph,0,donor_entropy_norm,0.5267041215782038,0.5,True,donor_aware_gate,8000,14,heart atlas analysis-subset cells summarized with donor as grouping metadata,higher_indicates_more_local_donor_mixing,"Local kNN cell-type recall, normalized donor entropy, or maximum donor fraction in each embedding neighbourhood."
heart_cell_atlas_subsampled,PHATE,graph,0,donor_dominance,0.46142500000000003,,,donor_aware_gate,8000,14,heart atlas analysis-subset cells summarized with donor as grouping metadata,lower_indicates_less_single_donor_dominance,"Local kNN cell-type recall, normalized donor entropy, or maximum donor fraction in each embedding neighbourhood."
heart_cell_atlas_subsampled,t-SNE,relational,0,cell_type_label_recall,0.9608666666666665,0.55,True,donor_aware_gate,8000,14,heart atlas analysis-subset cells summarized with donor as grouping metadata,higher_supports_cell_identity,"Local kNN cell-type recall, normalized donor entropy, or maximum donor fraction in each embedding neighbourhood."
heart_cell_atlas_subsampled,t-SNE,relational,0,donor_entropy_norm,0.4532804946863741,0.5,False,donor_aware_gate,8000,14,heart atlas analysis-subset cells summarized with donor as grouping metadata,higher_indicates_more_local_donor_mixing,"Local kNN cell-type recall, normalized donor entropy, or maximum donor fraction in each embedding neighbourhood."
heart_cell_atlas_subsampled,t-SNE,relational,0,donor_dominance,0.5304000000000001,,,donor_aware_gate,8000,14,heart atlas analysis-subset cells summarized with donor as grouping metadata,lower_indicates_less_single_donor_dominance,"Local kNN cell-type recall, normalized donor entropy, or maximum donor fraction in each embedding neighbourhood."
