dataset_id,method,family,seed,metric,value,k,n_cells,n_pcs_reference,n_definition,threshold,gate_component_pass,gate_name,score_definition,n_unit
pbmc3k,PCA,factor,0,local_retention,0.0532474096537781,15.0,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,False,local_neighbourhood_gate,Mean overlap between PCA-reference kNN and embedding kNN.,method-dataset-seed run; cells compute the metric and are not independent replicates
pbmc3k,PCA,factor,0,trustworthiness,0.805816098585608,15.0,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,False,local_neighbourhood_gate,sklearn trustworthiness between PCA-reference coordinates and embedding.,method-dataset-seed run; cells compute the metric and are not independent replicates
pbmc3k,PCA,factor,0,label_neighbor_recall,0.7929492039423807,15.0,2638,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,True,local_neighbourhood_gate,Mean fraction of same-label cells among embedding neighbours.,method-dataset-seed run; cells compute the metric and are not independent replicates
pbmc3k,GLM-PCA,factor,0,local_retention,0.0429618397776093,15.0,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,False,local_neighbourhood_gate,Mean overlap between PCA-reference kNN and embedding kNN.,method-dataset-seed run; cells compute the metric and are not independent replicates
pbmc3k,GLM-PCA,factor,0,trustworthiness,0.7989934047221783,15.0,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,False,local_neighbourhood_gate,sklearn trustworthiness between PCA-reference coordinates and embedding.,method-dataset-seed run; cells compute the metric and are not independent replicates
pbmc3k,GLM-PCA,factor,0,label_neighbor_recall,0.8631539044730857,15.0,2638,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,True,local_neighbourhood_gate,Mean fraction of same-label cells among embedding neighbours.,method-dataset-seed run; cells compute the metric and are not independent replicates
pbmc3k,scScope,deep,0,local_retention,0.0147333838766742,15.0,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,False,local_neighbourhood_gate,Mean overlap between PCA-reference kNN and embedding kNN.,method-dataset-seed run; cells compute the metric and are not independent replicates
pbmc3k,scScope,deep,0,trustworthiness,0.5799214790353857,15.0,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,False,local_neighbourhood_gate,sklearn trustworthiness between PCA-reference coordinates and embedding.,method-dataset-seed run; cells compute the metric and are not independent replicates
pbmc3k,scScope,deep,0,label_neighbor_recall,0.3156178923426838,15.0,2638,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,False,local_neighbourhood_gate,Mean fraction of same-label cells among embedding neighbours.,method-dataset-seed run; cells compute the metric and are not independent replicates
pbmc3k,SAUCIE,deep,0,local_retention,0.0713166540308314,15.0,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,False,local_neighbourhood_gate,Mean overlap between PCA-reference kNN and embedding kNN.,method-dataset-seed run; cells compute the metric and are not independent replicates
pbmc3k,SAUCIE,deep,0,trustworthiness,0.8415744685580313,15.0,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,False,local_neighbourhood_gate,sklearn trustworthiness between PCA-reference coordinates and embedding.,method-dataset-seed run; cells compute the metric and are not independent replicates
pbmc3k,SAUCIE,deep,0,label_neighbor_recall,0.9096790497851908,15.0,2638,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,True,local_neighbourhood_gate,Mean fraction of same-label cells among embedding neighbours.,method-dataset-seed run; cells compute the metric and are not independent replicates
pbmc3k,UMAP,graph,0,local_retention,0.1073035127621935,15.0,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,False,local_neighbourhood_gate,Mean overlap between PCA-reference kNN and embedding kNN.,method-dataset-seed run; cells compute the metric and are not independent replicates
pbmc3k,UMAP,graph,0,trustworthiness,0.8570027605555128,15.0,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,False,local_neighbourhood_gate,sklearn trustworthiness between PCA-reference coordinates and embedding.,method-dataset-seed run; cells compute the metric and are not independent replicates
pbmc3k,UMAP,graph,0,label_neighbor_recall,0.9212282031842304,15.0,2638,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,True,local_neighbourhood_gate,Mean fraction of same-label cells among embedding neighbours.,method-dataset-seed run; cells compute the metric and are not independent replicates
pbmc3k,PHATE,graph,0,local_retention,0.0834723275208491,15.0,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,False,local_neighbourhood_gate,Mean overlap between PCA-reference kNN and embedding kNN.,method-dataset-seed run; cells compute the metric and are not independent replicates
