dataset_id,method,family,seed,metric,value,threshold,gate_component_pass,gate_name,n_cells,n_unit,score_definition,reference
paul15,PCA,factor,0,pseudotime_rank_corr,0.35274282316283706,0.45,False,continuum_gate,2730,Paul15 cells with DPT pseudotime reference; cell-level values are dependent along the lineage,pseudotime_rank_corr is Spearman correlation between sampled pseudotime distances and embedding distances; pseudotime_neighborhood_retention is 1 minus embedding-neighbour pseudotime delta divided by random-pair pseudotime delta,DPT pseudotime from Paul15 PCA-reference neighbourhood graph with stored iroot
paul15,PCA,factor,0,pseudotime_neighborhood_retention,0.6496560827028331,0.5,True,continuum_gate,2730,Paul15 cells with DPT pseudotime reference; cell-level values are dependent along the lineage,pseudotime_rank_corr is Spearman correlation between sampled pseudotime distances and embedding distances; pseudotime_neighborhood_retention is 1 minus embedding-neighbour pseudotime delta divided by random-pair pseudotime delta,DPT pseudotime from Paul15 PCA-reference neighbourhood graph with stored iroot
paul15,GLM-PCA,factor,0,pseudotime_rank_corr,0.3956826810772639,0.45,False,continuum_gate,2730,Paul15 cells with DPT pseudotime reference; cell-level values are dependent along the lineage,pseudotime_rank_corr is Spearman correlation between sampled pseudotime distances and embedding distances; pseudotime_neighborhood_retention is 1 minus embedding-neighbour pseudotime delta divided by random-pair pseudotime delta,DPT pseudotime from Paul15 PCA-reference neighbourhood graph with stored iroot
paul15,GLM-PCA,factor,0,pseudotime_neighborhood_retention,0.5994127569582504,0.5,True,continuum_gate,2730,Paul15 cells with DPT pseudotime reference; cell-level values are dependent along the lineage,pseudotime_rank_corr is Spearman correlation between sampled pseudotime distances and embedding distances; pseudotime_neighborhood_retention is 1 minus embedding-neighbour pseudotime delta divided by random-pair pseudotime delta,DPT pseudotime from Paul15 PCA-reference neighbourhood graph with stored iroot
paul15,scScope,deep,0,pseudotime_rank_corr,0.20890179629922193,0.45,False,continuum_gate,2730,Paul15 cells with DPT pseudotime reference; cell-level values are dependent along the lineage,pseudotime_rank_corr is Spearman correlation between sampled pseudotime distances and embedding distances; pseudotime_neighborhood_retention is 1 minus embedding-neighbour pseudotime delta divided by random-pair pseudotime delta,DPT pseudotime from Paul15 PCA-reference neighbourhood graph with stored iroot
paul15,scScope,deep,0,pseudotime_neighborhood_retention,0.6215311643613053,0.5,True,continuum_gate,2730,Paul15 cells with DPT pseudotime reference; cell-level values are dependent along the lineage,pseudotime_rank_corr is Spearman correlation between sampled pseudotime distances and embedding distances; pseudotime_neighborhood_retention is 1 minus embedding-neighbour pseudotime delta divided by random-pair pseudotime delta,DPT pseudotime from Paul15 PCA-reference neighbourhood graph with stored iroot
paul15,SAUCIE,deep,0,pseudotime_rank_corr,0.24476775937532907,0.45,False,continuum_gate,2730,Paul15 cells with DPT pseudotime reference; cell-level values are dependent along the lineage,pseudotime_rank_corr is Spearman correlation between sampled pseudotime distances and embedding distances; pseudotime_neighborhood_retention is 1 minus embedding-neighbour pseudotime delta divided by random-pair pseudotime delta,DPT pseudotime from Paul15 PCA-reference neighbourhood graph with stored iroot
paul15,SAUCIE,deep,0,pseudotime_neighborhood_retention,0.6215970686823347,0.5,True,continuum_gate,2730,Paul15 cells with DPT pseudotime reference; cell-level values are dependent along the lineage,pseudotime_rank_corr is Spearman correlation between sampled pseudotime distances and embedding distances; pseudotime_neighborhood_retention is 1 minus embedding-neighbour pseudotime delta divided by random-pair pseudotime delta,DPT pseudotime from Paul15 PCA-reference neighbourhood graph with stored iroot
paul15,UMAP,graph,0,pseudotime_rank_corr,0.2633497967475163,0.45,False,continuum_gate,2730,Paul15 cells with DPT pseudotime reference; cell-level values are dependent along the lineage,pseudotime_rank_corr is Spearman correlation between sampled pseudotime distances and embedding distances; pseudotime_neighborhood_retention is 1 minus embedding-neighbour pseudotime delta divided by random-pair pseudotime delta,DPT pseudotime from Paul15 PCA-reference neighbourhood graph with stored iroot
paul15,UMAP,graph,0,pseudotime_neighborhood_retention,0.8141716029956338,0.5,True,continuum_gate,2730,Paul15 cells with DPT pseudotime reference; cell-level values are dependent along the lineage,pseudotime_rank_corr is Spearman correlation between sampled pseudotime distances and embedding distances; pseudotime_neighborhood_retention is 1 minus embedding-neighbour pseudotime delta divided by random-pair pseudotime delta,DPT pseudotime from Paul15 PCA-reference neighbourhood graph with stored iroot
