family,label,mean_label_knn_recall,mean_marker_z,dual_support_fraction
deep,B cells,0.5782651072124757,2.6135447815472754,0.5
deep,CD14+ Monocytes,0.5731250000000001,2.005483740713176,0.5
deep,CD4 T cells,0.7208041958041957,1.7858493412385443,0.5
deep,CD8 T cells,0.4630801687763712,1.6425056746997242,0.5
deep,Dendritic cells,0.2612612612612613,2.1083136043309576,0.0
deep,FCGR3A+ Monocytes,0.5248888888888888,2.5162981614621054,0.5
deep,Megakaryocytes,0.22222222222222215,2.645504882252236,0.0
deep,NK cells,0.5235930735930735,2.4709498651259416,0.5
factor,B cells,0.975243664717349,2.6135447815472754,1.0
factor,CD14+ Monocytes,0.8565972222222223,2.005483740713176,1.0
factor,CD4 T cells,0.8992132867132867,1.7858493412385443,1.0
factor,CD8 T cells,0.5875527426160337,1.6425056746997242,0.5
factor,Dendritic cells,0.33693693693693694,2.1083136043309576,0.5
factor,FCGR3A+ Monocytes,0.538,2.5162981614621054,0.5
factor,Megakaryocytes,0.6511111111111112,2.645504882252236,0.5
factor,NK cells,0.7948051948051948,2.4709498651259416,1.0
graph,B cells,0.9855750487329435,2.6135447815472754,1.0
graph,CD14+ Monocytes,0.9570833333333334,2.005483740713176,1.0
graph,CD4 T cells,0.9470571095571094,1.7858493412385443,1.0
graph,CD8 T cells,0.7828059071729958,1.6425056746997242,1.0
graph,Dendritic cells,0.8927927927927928,2.1083136043309576,1.0
graph,FCGR3A+ Monocytes,0.8393333333333334,2.5162981614621054,1.0
graph,Megakaryocytes,0.7244444444444447,2.645504882252236,1.0
graph,NK cells,0.9095238095238096,2.4709498651259416,1.0
relational,B cells,0.9825536062378168,2.6135447815472754,1.0
relational,CD14+ Monocytes,0.9461805555555556,2.005483740713176,1.0
relational,CD4 T cells,0.940413752913753,1.7858493412385443,1.0
relational,CD8 T cells,0.759493670886076,1.6425056746997242,1.0
relational,Dendritic cells,0.890990990990991,2.1083136043309576,1.0
relational,FCGR3A+ Monocytes,0.8251111111111111,2.5162981614621054,1.0
relational,Megakaryocytes,0.7511111111111113,2.645504882252236,1.0
relational,NK cells,0.9073593073593074,2.4709498651259416,1.0


