dataset_id,method,family,seed,label,n_cells_label,label_knn_recall,k,score_definition,max_marker_z,marker_supported,neighbour_supported,evidence_definition,dual_supported
pbmc3k,PCA,factor,0,B cells,342,0.9672514619883044,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.6135447815472754,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall,True
pbmc3k,PCA,factor,0,CD14+ Monocytes,480,0.8534722222222224,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.005483740713176,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall,True
pbmc3k,PCA,factor,0,CD4 T cells,1144,0.8744755244755246,15,fraction of same-label cells among embedding neighbours for cells in the target label,1.7858493412385443,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall,True
pbmc3k,PCA,factor,0,CD8 T cells,316,0.4814345991561182,15,fraction of same-label cells among embedding neighbours for cells in the target label,1.6425056746997242,True,False,marker support is max marker-program z-score by label; neighbour support is label kNN recall,False
pbmc3k,PCA,factor,0,Dendritic cells,37,0.072072072072072,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.1083136043309576,True,False,marker support is max marker-program z-score by label; neighbour support is label kNN recall,False
pbmc3k,PCA,factor,0,FCGR3A+ Monocytes,150,0.5231111111111111,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.5162981614621054,True,False,marker support is max marker-program z-score by label; neighbour support is label kNN recall,False
pbmc3k,PCA,factor,0,Megakaryocytes,15,0.4888888888888889,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.645504882252236,True,False,marker support is max marker-program z-score by label; neighbour support is label kNN recall,False
pbmc3k,PCA,factor,0,NK cells,154,0.7164502164502166,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.4709498651259416,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall,True
pbmc3k,GLM-PCA,factor,0,B cells,342,0.9832358674463936,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.6135447815472754,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall,True
pbmc3k,GLM-PCA,factor,0,CD14+ Monocytes,480,0.8597222222222223,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.005483740713176,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall,True
pbmc3k,GLM-PCA,factor,0,CD4 T cells,1144,0.923951048951049,15,fraction of same-label cells among embedding neighbours for cells in the target label,1.7858493412385443,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall,True
pbmc3k,GLM-PCA,factor,0,CD8 T cells,316,0.6936708860759493,15,fraction of same-label cells among embedding neighbours for cells in the target label,1.6425056746997242,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall,True
pbmc3k,GLM-PCA,factor,0,Dendritic cells,37,0.6018018018018019,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.1083136043309576,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall,True
pbmc3k,GLM-PCA,factor,0,FCGR3A+ Monocytes,150,0.5528888888888889,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.5162981614621054,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall,True
pbmc3k,GLM-PCA,factor,0,Megakaryocytes,15,0.8133333333333336,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.645504882252236,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall,True
pbmc3k,GLM-PCA,factor,0,NK cells,154,0.873160173160173,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.4709498651259416,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall,True
