dataset_id,program,label,n_cells,genes_present,genes_missing,mean_score,fraction_detected,score_definition,z_score
paul15,erythroid,10GMP,153,Gata1;Klf1;Hba-a2;Hbb-b1,Hba-a1;Hbb-b2,0.046351175755262375,0.058823529411764705,mean log1p expression of marker genes present in the source expression matrix,-0.628085645392037
paul15,erythroid,11DC,30,Gata1;Klf1;Hba-a2;Hbb-b1,Hba-a1;Hbb-b2,0.05536491423845291,0.075,mean log1p expression of marker genes present in the source expression matrix,-0.60780703335532
paul15,erythroid,12Baso,69,Gata1;Klf1;Hba-a2;Hbb-b1,Hba-a1;Hbb-b2,0.13921858370304108,0.17391304347826086,mean log1p expression of marker genes present in the source expression matrix,-0.4191576694872003
paul15,erythroid,13Baso,300,Gata1;Klf1;Hba-a2;Hbb-b1,Hba-a1;Hbb-b2,0.04991622269153595,0.065,mean log1p expression of marker genes present in the source expression matrix,-0.6200651992865506
paul15,erythroid,14Mo,373,Gata1;Klf1;Hba-a2;Hbb-b1,Hba-a1;Hbb-b2,0.03480825945734978,0.04758713136729222,mean log1p expression of marker genes present in the source expression matrix,-0.6540542622777149
paul15,erythroid,15Mo,186,Gata1;Klf1;Hba-a2;Hbb-b1,Hba-a1;Hbb-b2,0.06282539665699005,0.08064516129032258,mean log1p expression of marker genes present in the source expression matrix,-0.5910228512033311
paul15,erythroid,16Neu,164,Gata1;Klf1;Hba-a2;Hbb-b1,Hba-a1;Hbb-b2,0.04076990485191345,0.057926829268292686,mean log1p expression of marker genes present in the source expression matrix,-0.6406420810521015
paul15,erythroid,17Neu,22,Gata1;Klf1;Hba-a2;Hbb-b1,Hba-a1;Hbb-b2,0.07089005410671234,0.10227272727272728,mean log1p expression of marker genes present in the source expression matrix,-0.572879429365997
paul15,erythroid,18Eos,9,Gata1;Klf1;Hba-a2;Hbb-b1,Hba-a1;Hbb-b2,0.0690251886844635,0.08333333333333333,mean log1p expression of marker genes present in the source expression matrix,-0.5770749008087281
paul15,erythroid,19Lymph,31,Gata1;Klf1;Hba-a2;Hbb-b1,Hba-a1;Hbb-b2,0.04239915683865547,0.056451612903225805,mean log1p expression of marker genes present in the source expression matrix,-0.6369766797304629
