dataset_id,method,family,seed,label,n_cells_label,label_knn_recall,k,score_definition,max_marker_z,marker_supported,neighbour_supported,evidence_definition
pbmc3k,PCA,factor,0,B cells,342,0.9672514619883043,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.6135447815472754,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall
pbmc3k,PCA,factor,0,CD14+ Monocytes,480,0.8534722222222224,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.0054837407131756,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall
pbmc3k,PCA,factor,0,CD4 T cells,1144,0.8744755244755246,15,fraction of same-label cells among embedding neighbours for cells in the target label,1.7858493412385443,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall
pbmc3k,PCA,factor,0,CD8 T cells,316,0.4814345991561182,15,fraction of same-label cells among embedding neighbours for cells in the target label,1.6425056746997242,True,False,marker support is max marker-program z-score by label; neighbour support is label kNN recall
pbmc3k,PCA,factor,0,Dendritic cells,37,0.07207207207207209,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.1083136043309576,True,False,marker support is max marker-program z-score by label; neighbour support is label kNN recall
pbmc3k,PCA,factor,0,FCGR3A+ Monocytes,150,0.5231111111111111,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.5162981614621054,True,False,marker support is max marker-program z-score by label; neighbour support is label kNN recall
pbmc3k,PCA,factor,0,Megakaryocytes,15,0.48888888888888893,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.645504882252236,True,False,marker support is max marker-program z-score by label; neighbour support is label kNN recall
pbmc3k,PCA,factor,0,NK cells,154,0.7164502164502166,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.4709498651259416,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall
pbmc3k,GLM-PCA,factor,0,B cells,342,0.9832358674463937,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.6135447815472754,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall
pbmc3k,GLM-PCA,factor,0,CD14+ Monocytes,480,0.8597222222222223,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.0054837407131756,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall
pbmc3k,GLM-PCA,factor,0,CD4 T cells,1144,0.923951048951049,15,fraction of same-label cells among embedding neighbours for cells in the target label,1.7858493412385443,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall
pbmc3k,GLM-PCA,factor,0,CD8 T cells,316,0.6936708860759493,15,fraction of same-label cells among embedding neighbours for cells in the target label,1.6425056746997242,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall
pbmc3k,GLM-PCA,factor,0,Dendritic cells,37,0.6018018018018019,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.1083136043309576,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall
pbmc3k,GLM-PCA,factor,0,FCGR3A+ Monocytes,150,0.5528888888888889,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.5162981614621054,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall
pbmc3k,GLM-PCA,factor,0,Megakaryocytes,15,0.8133333333333336,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.645504882252236,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall
pbmc3k,GLM-PCA,factor,0,NK cells,154,0.873160173160173,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.4709498651259416,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall
pbmc3k,scScope,deep,0,B cells,342,0.17485380116959062,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.6135447815472754,True,False,marker support is max marker-program z-score by label; neighbour support is label kNN recall
pbmc3k,scScope,deep,0,CD14+ Monocytes,480,0.2191666666666667,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.0054837407131756,True,False,marker support is max marker-program z-score by label; neighbour support is label kNN recall
pbmc3k,scScope,deep,0,CD4 T cells,1144,0.49283216783216777,15,fraction of same-label cells among embedding neighbours for cells in the target label,1.7858493412385443,True,False,marker support is max marker-program z-score by label; neighbour support is label kNN recall
pbmc3k,scScope,deep,0,CD8 T cells,316,0.14261603375527426,15,fraction of same-label cells among embedding neighbours for cells in the target label,1.6425056746997242,True,False,marker support is max marker-program z-score by label; neighbour support is label kNN recall
pbmc3k,scScope,deep,0,Dendritic cells,37,0.0810810810810811,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.1083136043309576,True,False,marker support is max marker-program z-score by label; neighbour support is label kNN recall
pbmc3k,scScope,deep,0,FCGR3A+ Monocytes,150,0.2248888888888889,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.5162981614621054,True,False,marker support is max marker-program z-score by label; neighbour support is label kNN recall
pbmc3k,scScope,deep,0,Megakaryocytes,15,0.013333333333333334,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.645504882252236,True,False,marker support is max marker-program z-score by label; neighbour support is label kNN recall
pbmc3k,scScope,deep,0,NK cells,154,0.14155844155844155,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.4709498651259416,True,False,marker support is max marker-program z-score by label; neighbour support is label kNN recall
pbmc3k,SAUCIE,deep,0,B cells,342,0.9816764132553607,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.6135447815472754,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall
pbmc3k,SAUCIE,deep,0,CD14+ Monocytes,480,0.9270833333333335,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.0054837407131756,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall
pbmc3k,SAUCIE,deep,0,CD4 T cells,1144,0.9487762237762238,15,fraction of same-label cells among embedding neighbours for cells in the target label,1.7858493412385443,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall
pbmc3k,SAUCIE,deep,0,CD8 T cells,316,0.7835443037974682,15,fraction of same-label cells among embedding neighbours for cells in the target label,1.6425056746997242,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall
pbmc3k,SAUCIE,deep,0,Dendritic cells,37,0.4414414414414415,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.1083136043309576,True,False,marker support is max marker-program z-score by label; neighbour support is label kNN recall
pbmc3k,SAUCIE,deep,0,FCGR3A+ Monocytes,150,0.8248888888888889,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.5162981614621054,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall
pbmc3k,SAUCIE,deep,0,Megakaryocytes,15,0.431111111111111,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.645504882252236,True,False,marker support is max marker-program z-score by label; neighbour support is label kNN recall
pbmc3k,SAUCIE,deep,0,NK cells,154,0.9056277056277054,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.4709498651259416,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall
