dataset_id,method,family,seed,label,n_cells_label,label_knn_recall,k,score_definition,rare_label_n_cells,rare_label_fraction,rare_definition
pbmc3k,PCA,factor,0,Dendritic cells,37,0.07207207207207209,15,fraction of same-label cells among embedding neighbours for cells in the target label,37,0.0140257771038665,label with <= 200 cells in the locked dataset
pbmc3k,PCA,factor,0,FCGR3A+ Monocytes,150,0.5231111111111111,15,fraction of same-label cells among embedding neighbours for cells in the target label,150,0.0568612585291887,label with <= 200 cells in the locked dataset
pbmc3k,PCA,factor,0,Megakaryocytes,15,0.48888888888888893,15,fraction of same-label cells among embedding neighbours for cells in the target label,15,0.0056861258529188,label with <= 200 cells in the locked dataset
pbmc3k,PCA,factor,0,NK cells,154,0.7164502164502166,15,fraction of same-label cells among embedding neighbours for cells in the target label,154,0.0583775587566338,label with <= 200 cells in the locked dataset
pbmc3k,GLM-PCA,factor,0,Dendritic cells,37,0.6018018018018019,15,fraction of same-label cells among embedding neighbours for cells in the target label,37,0.0140257771038665,label with <= 200 cells in the locked dataset
pbmc3k,GLM-PCA,factor,0,FCGR3A+ Monocytes,150,0.5528888888888889,15,fraction of same-label cells among embedding neighbours for cells in the target label,150,0.0568612585291887,label with <= 200 cells in the locked dataset
pbmc3k,GLM-PCA,factor,0,Megakaryocytes,15,0.8133333333333336,15,fraction of same-label cells among embedding neighbours for cells in the target label,15,0.0056861258529188,label with <= 200 cells in the locked dataset
pbmc3k,GLM-PCA,factor,0,NK cells,154,0.873160173160173,15,fraction of same-label cells among embedding neighbours for cells in the target label,154,0.0583775587566338,label with <= 200 cells in the locked dataset
pbmc3k,scScope,deep,0,Dendritic cells,37,0.0810810810810811,15,fraction of same-label cells among embedding neighbours for cells in the target label,37,0.0140257771038665,label with <= 200 cells in the locked dataset
pbmc3k,scScope,deep,0,FCGR3A+ Monocytes,150,0.2248888888888889,15,fraction of same-label cells among embedding neighbours for cells in the target label,150,0.0568612585291887,label with <= 200 cells in the locked dataset
pbmc3k,scScope,deep,0,Megakaryocytes,15,0.013333333333333334,15,fraction of same-label cells among embedding neighbours for cells in the target label,15,0.0056861258529188,label with <= 200 cells in the locked dataset
pbmc3k,scScope,deep,0,NK cells,154,0.14155844155844155,15,fraction of same-label cells among embedding neighbours for cells in the target label,154,0.0583775587566338,label with <= 200 cells in the locked dataset
pbmc3k,SAUCIE,deep,0,Dendritic cells,37,0.4414414414414415,15,fraction of same-label cells among embedding neighbours for cells in the target label,37,0.0140257771038665,label with <= 200 cells in the locked dataset
pbmc3k,SAUCIE,deep,0,FCGR3A+ Monocytes,150,0.8248888888888889,15,fraction of same-label cells among embedding neighbours for cells in the target label,150,0.0568612585291887,label with <= 200 cells in the locked dataset
pbmc3k,SAUCIE,deep,0,Megakaryocytes,15,0.431111111111111,15,fraction of same-label cells among embedding neighbours for cells in the target label,15,0.0056861258529188,label with <= 200 cells in the locked dataset
pbmc3k,SAUCIE,deep,0,NK cells,154,0.9056277056277054,15,fraction of same-label cells among embedding neighbours for cells in the target label,154,0.0583775587566338,label with <= 200 cells in the locked dataset
pbmc3k,UMAP,graph,0,Dendritic cells,37,0.8954954954954955,15,fraction of same-label cells among embedding neighbours for cells in the target label,37,0.0140257771038665,label with <= 200 cells in the locked dataset
pbmc3k,UMAP,graph,0,FCGR3A+ Monocytes,150,0.845777777777778,15,fraction of same-label cells among embedding neighbours for cells in the target label,150,0.0568612585291887,label with <= 200 cells in the locked dataset
pbmc3k,UMAP,graph,0,Megakaryocytes,15,0.6933333333333335,15,fraction of same-label cells among embedding neighbours for cells in the target label,15,0.0056861258529188,label with <= 200 cells in the locked dataset
pbmc3k,UMAP,graph,0,NK cells,154,0.9073593073593075,15,fraction of same-label cells among embedding neighbours for cells in the target label,154,0.0583775587566338,label with <= 200 cells in the locked dataset
pbmc3k,PHATE,graph,0,Dendritic cells,37,0.89009009009009,15,fraction of same-label cells among embedding neighbours for cells in the target label,37,0.0140257771038665,label with <= 200 cells in the locked dataset
pbmc3k,PHATE,graph,0,FCGR3A+ Monocytes,150,0.8328888888888888,15,fraction of same-label cells among embedding neighbours for cells in the target label,150,0.0568612585291887,label with <= 200 cells in the locked dataset
pbmc3k,PHATE,graph,0,Megakaryocytes,15,0.7555555555555559,15,fraction of same-label cells among embedding neighbours for cells in the target label,15,0.0056861258529188,label with <= 200 cells in the locked dataset
pbmc3k,PHATE,graph,0,NK cells,154,0.9116883116883118,15,fraction of same-label cells among embedding neighbours for cells in the target label,154,0.0583775587566338,label with <= 200 cells in the locked dataset
pbmc3k,t-SNE,relational,0,Dendritic cells,37,0.9477477477477476,15,fraction of same-label cells among embedding neighbours for cells in the target label,37,0.0140257771038665,label with <= 200 cells in the locked dataset
pbmc3k,t-SNE,relational,0,FCGR3A+ Monocytes,150,0.8115555555555557,15,fraction of same-label cells among embedding neighbours for cells in the target label,150,0.0568612585291887,label with <= 200 cells in the locked dataset
pbmc3k,t-SNE,relational,0,Megakaryocytes,15,0.7511111111111113,15,fraction of same-label cells among embedding neighbours for cells in the target label,15,0.0056861258529188,label with <= 200 cells in the locked dataset
pbmc3k,t-SNE,relational,0,NK cells,154,0.9259740259740261,15,fraction of same-label cells among embedding neighbours for cells in the target label,154,0.0583775587566338,label with <= 200 cells in the locked dataset
pbmc3k,PaCMAP,relational,0,Dendritic cells,37,0.8342342342342343,15,fraction of same-label cells among embedding neighbours for cells in the target label,37,0.0140257771038665,label with <= 200 cells in the locked dataset
pbmc3k,PaCMAP,relational,0,FCGR3A+ Monocytes,150,0.8386666666666666,15,fraction of same-label cells among embedding neighbours for cells in the target label,150,0.0568612585291887,label with <= 200 cells in the locked dataset
pbmc3k,PaCMAP,relational,0,Megakaryocytes,15,0.7511111111111113,15,fraction of same-label cells among embedding neighbours for cells in the target label,15,0.0056861258529188,label with <= 200 cells in the locked dataset
pbmc3k,PaCMAP,relational,0,NK cells,154,0.8887445887445888,15,fraction of same-label cells among embedding neighbours for cells in the target label,154,0.0583775587566338,label with <= 200 cells in the locked dataset
heart_cell_atlas_subsampled,PCA,factor,0,Adipocytes,145,0.46850574712643683,15,fraction of same-label cells among embedding neighbours for cells in the target label,145,0.0077785526527546,label with <= 200 cells in the locked dataset
heart_cell_atlas_subsampled,PCA,factor,0,Mesothelial,17,0.050980392156862744,15,fraction of same-label cells among embedding neighbours for cells in the target label,17,0.0009119682420471,label with <= 200 cells in the locked dataset
heart_cell_atlas_subsampled,PCA,factor,0,Neuronal,153,0.13943355119825704,15,fraction of same-label cells among embedding neighbours for cells in the target label,153,0.0082077141784239,label with <= 200 cells in the locked dataset
heart_cell_atlas_subsampled,GLM-PCA,factor,0,Adipocytes,145,0.6114942528735633,15,fraction of same-label cells among embedding neighbours for cells in the target label,145,0.0077785526527546,label with <= 200 cells in the locked dataset
heart_cell_atlas_subsampled,GLM-PCA,factor,0,Mesothelial,17,0.03529411764705883,15,fraction of same-label cells among embedding neighbours for cells in the target label,17,0.0009119682420471,label with <= 200 cells in the locked dataset
heart_cell_atlas_subsampled,GLM-PCA,factor,0,Neuronal,153,0.4562091503267974,15,fraction of same-label cells among embedding neighbours for cells in the target label,153,0.0082077141784239,label with <= 200 cells in the locked dataset
heart_cell_atlas_subsampled,scScope,deep,0,Adipocytes,145,0.019770114942528737,15,fraction of same-label cells among embedding neighbours for cells in the target label,145,0.0077785526527546,label with <= 200 cells in the locked dataset
heart_cell_atlas_subsampled,scScope,deep,0,Mesothelial,17,0.0,15,fraction of same-label cells among embedding neighbours for cells in the target label,17,0.0009119682420471,label with <= 200 cells in the locked dataset
heart_cell_atlas_subsampled,scScope,deep,0,Neuronal,153,0.018736383442265796,15,fraction of same-label cells among embedding neighbours for cells in the target label,153,0.0082077141784239,label with <= 200 cells in the locked dataset
heart_cell_atlas_subsampled,SAUCIE,deep,0,Adipocytes,145,0.8795402298850574,15,fraction of same-label cells among embedding neighbours for cells in the target label,145,0.0077785526527546,label with <= 200 cells in the locked dataset
