dataset_id,method,family,metric,dimension_slope,dimension_delta,n_points
heart_cell_atlas_subsampled,PCA,factor,global_rank_corr,0.013340075382257103,0.24185188417901915,5
heart_cell_atlas_subsampled,PCA,factor,label_neighbor_recall,0.01176972477064222,0.25522500000000015,5
heart_cell_atlas_subsampled,PCA,factor,local_retention,0.014723509174311939,0.2751583333333334,5
heart_cell_atlas_subsampled,PCA,factor,trustworthiness,0.007686516797720072,0.16750943650495165,5
heart_cell_atlas_subsampled,PHATE,graph,global_rank_corr,0.0016024016595645918,0.04740768239764748,5
heart_cell_atlas_subsampled,PHATE,graph,label_neighbor_recall,0.0008845183486238722,0.02255000000000007,5
heart_cell_atlas_subsampled,PHATE,graph,local_retention,0.0021451070336391477,0.05602499999999999,5
heart_cell_atlas_subsampled,PHATE,graph,trustworthiness,0.0011659686161936233,0.030974844344155983,5
heart_cell_atlas_subsampled,PaCMAP,relational,global_rank_corr,-0.0005943626548020968,-0.022508895433007048,5
heart_cell_atlas_subsampled,PaCMAP,relational,label_neighbor_recall,0.0003223241590214324,0.010816666666666364,5
heart_cell_atlas_subsampled,PaCMAP,relational,local_retention,0.0019110091743119346,0.06033333333333338,5
heart_cell_atlas_subsampled,PaCMAP,relational,trustworthiness,0.00046040993141979974,0.014799846433496189,5
heart_cell_atlas_subsampled,UMAP,graph,global_rank_corr,-0.0008177694209771189,0.08907702414763241,5
heart_cell_atlas_subsampled,UMAP,graph,label_neighbor_recall,0.0003681574923547588,0.010066666666666668,5
heart_cell_atlas_subsampled,UMAP,graph,local_retention,0.0046388761467889995,0.1185750000000001,5
heart_cell_atlas_subsampled,UMAP,graph,trustworthiness,0.0007465994023720678,0.02006292988174363,5
paul15,PCA,factor,global_rank_corr,0.012057907874153432,0.23924463885346248,5
paul15,PCA,factor,label_neighbor_recall,0.008670564909097024,0.20444444444444443,5
paul15,PCA,factor,local_retention,0.01791253598593049,0.3329670329670329,5
paul15,PCA,factor,trustworthiness,0.0064161906575222,0.13183561994792126,5
paul15,PHATE,graph,global_rank_corr,5.236530683702356e-05,0.001612570720851192,5
paul15,PHATE,graph,label_neighbor_recall,0.0011410200401026141,0.0403663003663004,5
paul15,PHATE,graph,local_retention,0.0005940338967861926,0.021172161172161197,5
paul15,PHATE,graph,trustworthiness,0.000765912382685784,0.026173710540167927,5
paul15,PaCMAP,relational,global_rank_corr,0.00044635103356931405,0.008681501134347291,5
paul15,PaCMAP,relational,label_neighbor_recall,0.0008000358459074176,0.027814407814407915,5
paul15,PaCMAP,relational,local_retention,0.0015986154518264641,0.05208791208791208,5
paul15,PaCMAP,relational,trustworthiness,0.0006934900270900034,0.022902428606159653,5
paul15,UMAP,graph,global_rank_corr,0.0007924149860705759,0.023274889368023022,5
paul15,UMAP,graph,label_neighbor_recall,0.0011405719662600526,0.03702075702075691,5
paul15,UMAP,graph,local_retention,0.0048742592779290085,0.1225396825396825,5
paul15,UMAP,graph,trustworthiness,0.001472043943414445,0.03893270871475518,5
pbmc3k,PCA,factor,global_rank_corr,0.012724077571083682,0.2506037678442957,5
pbmc3k,PCA,factor,label_neighbor_recall,0.005449870511670231,0.12476623704826895,5
pbmc3k,PCA,factor,local_retention,0.010755993906977072,0.197397017942886,5
pbmc3k,PCA,factor,trustworthiness,0.007608713610974541,0.15037750463756883,5
pbmc3k,PHATE,graph,global_rank_corr,7.0946231694486e-05,0.002365442556352515,5
pbmc3k,PHATE,graph,label_neighbor_recall,4.138525850137783e-05,0.0014404852160727621,5
pbmc3k,PHATE,graph,local_retention,0.0005074041357436545,0.013469800353803407,5
pbmc3k,PHATE,graph,trustworthiness,0.0008490997113137301,0.020783402455942457,5
pbmc3k,PaCMAP,relational,global_rank_corr,0.0024785058295069117,0.04127723895983071,5
pbmc3k,PaCMAP,relational,label_neighbor_recall,0.00023834199293786657,0.006065200909780022,5
pbmc3k,PaCMAP,relational,local_retention,0.0023324128880882356,0.046600960323477394,5
pbmc3k,PaCMAP,relational,trustworthiness,0.0030082727205791872,0.06057638736880344,5
pbmc3k,UMAP,graph,global_rank_corr,0.00037934803715313533,0.00444706550644558,5
pbmc3k,UMAP,graph,label_neighbor_recall,8.47412435980575e-05,0.0022744503411677996,5
pbmc3k,UMAP,graph,local_retention,0.006890819428118334,0.1314885013899419,5
pbmc3k,UMAP,graph,trustworthiness,0.0037625768253662147,0.07193354372119798,5


