method,family,n_completed_rows,n_unavailable_rows,n_scenarios_completed,coverage_note
GLM-PCA,factor,28,0,6,Completed rows are explicit; unavailable rows are excluded from quantitative plotting and no values are imputed
PCA,factor,28,0,6,Completed rows are explicit; unavailable rows are excluded from quantitative plotting and no values are imputed
PHATE,graph,28,0,6,Completed rows are explicit; unavailable rows are excluded from quantitative plotting and no values are imputed
PaCMAP,relational,28,0,6,Completed rows are explicit; unavailable rows are excluded from quantitative plotting and no values are imputed
SAUCIE,deep,28,0,6,Completed rows are explicit; unavailable rows are excluded from quantitative plotting and no values are imputed
UMAP,graph,28,0,6,Completed rows are explicit; unavailable rows are excluded from quantitative plotting and no values are imputed
scScope,deep,28,0,6,Completed rows are explicit; unavailable rows are excluded from quantitative plotting and no values are imputed
t-SNE,relational,28,0,6,Completed rows are explicit; unavailable rows are excluded from quantitative plotting and no values are imputed


