simulation_suite,scenario,scenario_definition,replicate,method,family,metric,claim_axis,value,threshold,support,n_cells,n_unit,ground_truth,seed
mechanism_simulation,linear_low_rank,Known low-rank count model with discrete biological states and no batch shift.,0,PCA,factor,truth_local_retention,truth_geometry,0.13824074074074075,0.3,below_threshold,720,"one method-scenario-replicate run; cells are generated simulation units, not biological replicates","latent coordinates, labels, batch assignments and pseudotime are known by construction",1000
mechanism_simulation,linear_low_rank,Known low-rank count model with discrete biological states and no batch shift.,0,PCA,factor,truth_trustworthiness,truth_geometry,0.9070059514320633,0.9,pass,720,"one method-scenario-replicate run; cells are generated simulation units, not biological replicates","latent coordinates, labels, batch assignments and pseudotime are known by construction",1000
mechanism_simulation,linear_low_rank,Known low-rank count model with discrete biological states and no batch shift.,0,PCA,factor,latent_distance_corr,truth_geometry,0.9134561560984878,0.45,pass,720,"one method-scenario-replicate run; cells are generated simulation units, not biological replicates","latent coordinates, labels, batch assignments and pseudotime are known by construction",1000
mechanism_simulation,linear_low_rank,Known low-rank count model with discrete biological states and no batch shift.,0,PCA,factor,label_neighbor_recall,cell_state_support,0.9988888888888889,0.55,pass,720,"one method-scenario-replicate run; cells are generated simulation units, not biological replicates","latent coordinates, labels, batch assignments and pseudotime are known by construction",1000
mechanism_simulation,linear_low_rank,Known low-rank count model with discrete biological states and no batch shift.,0,GLM-PCA,factor,truth_local_retention,truth_geometry,0.15898148148148147,0.3,below_threshold,720,"one method-scenario-replicate run; cells are generated simulation units, not biological replicates","latent coordinates, labels, batch assignments and pseudotime are known by construction",1000
mechanism_simulation,linear_low_rank,Known low-rank count model with discrete biological states and no batch shift.,0,GLM-PCA,factor,truth_trustworthiness,truth_geometry,0.9166019714118709,0.9,pass,720,"one method-scenario-replicate run; cells are generated simulation units, not biological replicates","latent coordinates, labels, batch assignments and pseudotime are known by construction",1000
mechanism_simulation,linear_low_rank,Known low-rank count model with discrete biological states and no batch shift.,0,GLM-PCA,factor,latent_distance_corr,truth_geometry,0.9301225368293357,0.45,pass,720,"one method-scenario-replicate run; cells are generated simulation units, not biological replicates","latent coordinates, labels, batch assignments and pseudotime are known by construction",1000
mechanism_simulation,linear_low_rank,Known low-rank count model with discrete biological states and no batch shift.,0,GLM-PCA,factor,label_neighbor_recall,cell_state_support,0.9993518518518518,0.55,pass,720,"one method-scenario-replicate run; cells are generated simulation units, not biological replicates","latent coordinates, labels, batch assignments and pseudotime are known by construction",1000
mechanism_simulation,linear_low_rank,Known low-rank count model with discrete biological states and no batch shift.,0,scScope,deep,truth_local_retention,truth_geometry,0.03138888888888889,0.3,below_threshold,720,"one method-scenario-replicate run; cells are generated simulation units, not biological replicates","latent coordinates, labels, batch assignments and pseudotime are known by construction",1000
mechanism_simulation,linear_low_rank,Known low-rank count model with discrete biological states and no batch shift.,0,scScope,deep,truth_trustworthiness,truth_geometry,0.5673238482384824,0.9,below_threshold,720,"one method-scenario-replicate run; cells are generated simulation units, not biological replicates","latent coordinates, labels, batch assignments and pseudotime are known by construction",1000
mechanism_simulation,linear_low_rank,Known low-rank count model with discrete biological states and no batch shift.,0,scScope,deep,latent_distance_corr,truth_geometry,0.12137255154235793,0.45,below_threshold,720,"one method-scenario-replicate run; cells are generated simulation units, not biological replicates","latent coordinates, labels, batch assignments and pseudotime are known by construction",1000
mechanism_simulation,linear_low_rank,Known low-rank count model with discrete biological states and no batch shift.,0,scScope,deep,label_neighbor_recall,cell_state_support,0.42314814814814816,0.55,below_threshold,720,"one method-scenario-replicate run; cells are generated simulation units, not biological replicates","latent coordinates, labels, batch assignments and pseudotime are known by construction",1000
mechanism_simulation,linear_low_rank,Known low-rank count model with discrete biological states and no batch shift.,0,SAUCIE,deep,truth_local_retention,truth_geometry,0.13444444444444445,0.3,below_threshold,720,"one method-scenario-replicate run; cells are generated simulation units, not biological replicates","latent coordinates, labels, batch assignments and pseudotime are known by construction",1000
mechanism_simulation,linear_low_rank,Known low-rank count model with discrete biological states and no batch shift.,0,SAUCIE,deep,truth_trustworthiness,truth_geometry,0.9026178330410755,0.9,pass,720,"one method-scenario-replicate run; cells are generated simulation units, not biological replicates","latent coordinates, labels, batch assignments and pseudotime are known by construction",1000
mechanism_simulation,linear_low_rank,Known low-rank count model with discrete biological states and no batch shift.,0,SAUCIE,deep,latent_distance_corr,truth_geometry,0.9143862714745535,0.45,pass,720,"one method-scenario-replicate run; cells are generated simulation units, not biological replicates","latent coordinates, labels, batch assignments and pseudotime are known by construction",1000
mechanism_simulation,linear_low_rank,Known low-rank count model with discrete biological states and no batch shift.,0,SAUCIE,deep,label_neighbor_recall,cell_state_support,0.9968518518518519,0.55,pass,720,"one method-scenario-replicate run; cells are generated simulation units, not biological replicates","latent coordinates, labels, batch assignments and pseudotime are known by construction",1000
mechanism_simulation,linear_low_rank,Known low-rank count model with discrete biological states and no batch shift.,0,UMAP,graph,truth_local_retention,truth_geometry,0.06814814814814814,0.3,below_threshold,720,"one method-scenario-replicate run; cells are generated simulation units, not biological replicates","latent coordinates, labels, batch assignments and pseudotime are known by construction",1000
mechanism_simulation,linear_low_rank,Known low-rank count model with discrete biological states and no batch shift.,0,UMAP,graph,truth_trustworthiness,truth_geometry,0.852463733460864,0.9,below_threshold,720,"one method-scenario-replicate run; cells are generated simulation units, not biological replicates","latent coordinates, labels, batch assignments and pseudotime are known by construction",1000
mechanism_simulation,linear_low_rank,Known low-rank count model with discrete biological states and no batch shift.,0,UMAP,graph,latent_distance_corr,truth_geometry,0.8313688592392452,0.45,pass,720,"one method-scenario-replicate run; cells are generated simulation units, not biological replicates","latent coordinates, labels, batch assignments and pseudotime are known by construction",1000
mechanism_simulation,linear_low_rank,Known low-rank count model with discrete biological states and no batch shift.,0,UMAP,graph,label_neighbor_recall,cell_state_support,0.9975,0.55,pass,720,"one method-scenario-replicate run; cells are generated simulation units, not biological replicates","latent coordinates, labels, batch assignments and pseudotime are known by construction",1000
mechanism_simulation,linear_low_rank,Known low-rank count model with discrete biological states and no batch shift.,0,PHATE,graph,truth_local_retention,truth_geometry,0.08472222222222221,0.3,below_threshold,720,"one method-scenario-replicate run; cells are generated simulation units, not biological replicates","latent coordinates, labels, batch assignments and pseudotime are known by construction",1000
mechanism_simulation,linear_low_rank,Known low-rank count model with discrete biological states and no batch shift.,0,PHATE,graph,truth_trustworthiness,truth_geometry,0.867947021627079,0.9,below_threshold,720,"one method-scenario-replicate run; cells are generated simulation units, not biological replicates","latent coordinates, labels, batch assignments and pseudotime are known by construction",1000
mechanism_simulation,linear_low_rank,Known low-rank count model with discrete biological states and no batch shift.,0,PHATE,graph,latent_distance_corr,truth_geometry,0.8693678685076464,0.45,pass,720,"one method-scenario-replicate run; cells are generated simulation units, not biological replicates","latent coordinates, labels, batch assignments and pseudotime are known by construction",1000
mechanism_simulation,linear_low_rank,Known low-rank count model with discrete biological states and no batch shift.,0,PHATE,graph,label_neighbor_recall,cell_state_support,0.9972222222222222,0.55,pass,720,"one method-scenario-replicate run; cells are generated simulation units, not biological replicates","latent coordinates, labels, batch assignments and pseudotime are known by construction",1000
