dataset_id,method,family,seed,metric,value,threshold,support,n_cells,n_unit,analysis_axis,output_dimension
pbmc3k,PCA,factor,0,local_retention,0.055092241597169564,0.3,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,2
pbmc3k,PCA,factor,0,trustworthiness,0.805816098585608,0.9,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,2
pbmc3k,PCA,factor,0,global_rank_corr,0.6516416813420612,0.45,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,2
pbmc3k,PCA,factor,0,label_neighbor_recall,0.793631539044731,0.55,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,2
pbmc3k,PCA,factor,0,local_retention,0.07591609805408137,0.3,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,3
pbmc3k,PCA,factor,0,trustworthiness,0.8405725603777897,0.9,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,3
pbmc3k,PCA,factor,0,global_rank_corr,0.695355303613786,0.45,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,3
pbmc3k,PCA,factor,0,label_neighbor_recall,0.8524134445286833,0.55,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,3
pbmc3k,PCA,factor,0,local_retention,0.09320192064695476,0.3,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,5
pbmc3k,PCA,factor,0,trustworthiness,0.8583650533870079,0.9,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,5
pbmc3k,PCA,factor,0,global_rank_corr,0.7744345547632466,0.45,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,5
pbmc3k,PCA,factor,0,label_neighbor_recall,0.8893858984078847,0.55,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,5
pbmc3k,PCA,factor,0,local_retention,0.1516300227445034,0.3,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,10
pbmc3k,PCA,factor,0,trustworthiness,0.8986154410389701,0.9,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,10
pbmc3k,PCA,factor,0,global_rank_corr,0.828416895335496,0.45,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,10
pbmc3k,PCA,factor,0,label_neighbor_recall,0.9286580742987112,0.55,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,10
pbmc3k,PCA,factor,0,local_retention,0.2847106393732626,0.3,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,20
pbmc3k,PCA,factor,0,trustworthiness,0.9561936032231769,0.9,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,20
pbmc3k,PCA,factor,0,global_rank_corr,0.902245449186357,0.45,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,20
pbmc3k,PCA,factor,0,label_neighbor_recall,0.9195855446044984,0.55,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,20
pbmc3k,UMAP,graph,0,local_retention,0.1183472327520849,0.3,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,2
pbmc3k,UMAP,graph,0,trustworthiness,0.8570027605555128,0.9,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,2
pbmc3k,UMAP,graph,0,global_rank_corr,0.5246826842812312,0.45,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,2
pbmc3k,UMAP,graph,0,label_neighbor_recall,0.9218347232752085,0.55,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,2
pbmc3k,UMAP,graph,0,local_retention,0.15223654283548144,0.3,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,3
pbmc3k,UMAP,graph,0,trustworthiness,0.8700615072836047,0.9,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,3
pbmc3k,UMAP,graph,0,global_rank_corr,0.5117315301600768,0.45,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,3
pbmc3k,UMAP,graph,0,label_neighbor_recall,0.9240839019459187,0.55,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,3
pbmc3k,UMAP,graph,0,local_retention,0.2071266110689916,0.3,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,5
pbmc3k,UMAP,graph,0,trustworthiness,0.8903037190911283,0.9,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,5
pbmc3k,UMAP,graph,0,global_rank_corr,0.5323686531632915,0.45,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,5
pbmc3k,UMAP,graph,0,label_neighbor_recall,0.9246146070255246,0.55,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,5
pbmc3k,UMAP,graph,0,local_retention,0.2763962597927723,0.3,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,10
pbmc3k,UMAP,graph,0,trustworthiness,0.9181206768168906,0.9,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,10
pbmc3k,UMAP,graph,0,global_rank_corr,0.5185002953124519,0.45,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,10
pbmc3k,UMAP,graph,0,label_neighbor_recall,0.9249684104119282,0.55,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,10
pbmc3k,UMAP,graph,0,local_retention,0.2957543593631539,0.3,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,20
pbmc3k,UMAP,graph,0,trustworthiness,0.9289363042767108,0.9,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,20
pbmc3k,UMAP,graph,0,global_rank_corr,0.5291297497876768,0.45,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,20
pbmc3k,UMAP,graph,0,label_neighbor_recall,0.9248167803891838,0.55,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,20
pbmc3k,PHATE,graph,0,local_retention,0.09004296183977761,0.3,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,2
pbmc3k,PHATE,graph,0,trustworthiness,0.832479518108384,0.9,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,2
pbmc3k,PHATE,graph,0,global_rank_corr,0.5462702857899164,0.45,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,2
pbmc3k,PHATE,graph,0,label_neighbor_recall,0.9274703057872127,0.55,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,2
pbmc3k,PHATE,graph,0,local_retention,0.09863532979529946,0.3,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,3
pbmc3k,PHATE,graph,0,trustworthiness,0.8410885663328197,0.9,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,3
pbmc3k,PHATE,graph,0,global_rank_corr,0.5484124957452808,0.45,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,3
pbmc3k,PHATE,graph,0,label_neighbor_recall,0.9283295425827648,0.55,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,3
pbmc3k,PHATE,graph,0,local_retention,0.10697498104624716,0.3,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,5
pbmc3k,PHATE,graph,0,trustworthiness,0.8534790779077763,0.9,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,5
pbmc3k,PHATE,graph,0,global_rank_corr,0.5485625808553238,0.45,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,5
pbmc3k,PHATE,graph,0,label_neighbor_recall,0.9289613343442001,0.55,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,5
pbmc3k,PHATE,graph,0,local_retention,0.10672226434167299,0.3,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,10
pbmc3k,PHATE,graph,0,trustworthiness,0.8533529321661011,0.9,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,10
pbmc3k,PHATE,graph,0,global_rank_corr,0.5486047371930213,0.45,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,10
pbmc3k,PHATE,graph,0,label_neighbor_recall,0.9289360626737428,0.55,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,10
pbmc3k,PHATE,graph,0,local_retention,0.10672226434167298,0.3,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,20
pbmc3k,PHATE,graph,0,trustworthiness,0.8532629205643265,0.9,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,20
pbmc3k,PHATE,graph,0,global_rank_corr,0.548635728346269,0.45,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,20
pbmc3k,PHATE,graph,0,label_neighbor_recall,0.9289107910032853,0.55,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,20
pbmc3k,PaCMAP,relational,0,local_retention,0.11364670204700529,0.3,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,2
pbmc3k,PaCMAP,relational,0,trustworthiness,0.8644392322630805,0.9,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,2
pbmc3k,PaCMAP,relational,0,global_rank_corr,0.631109788993298,0.45,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,2
pbmc3k,PaCMAP,relational,0,label_neighbor_recall,0.9170836492292141,0.55,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,output_embedding_dimension,2
