perturbation,method,family,metric,mean_value,failure_fraction,n_rows
dropout,PCA,factor,global_rank_corr,0.570919202833052,0.0,6
dropout,PCA,factor,label_neighbor_recall,0.7751326762699016,0.0,6
dropout,PCA,factor,local_retention,0.04719063263415038,1.0,6
dropout,PCA,factor,trustworthiness,0.7693282487183365,1.0,6
dropout,PHATE,graph,global_rank_corr,0.4593520961189666,0.5,6
dropout,PHATE,graph,label_neighbor_recall,0.8664518574677786,0.0,6
dropout,PHATE,graph,local_retention,0.07076067728076824,1.0,6
dropout,PHATE,graph,trustworthiness,0.7861800637928477,1.0,6
dropout,PaCMAP,relational,global_rank_corr,0.5549897666228073,0.0,6
dropout,PaCMAP,relational,label_neighbor_recall,0.8921573582680482,0.0,6
dropout,PaCMAP,relational,local_retention,0.0933619745598517,1.0,6
dropout,PaCMAP,relational,trustworthiness,0.8255297153127801,1.0,6
dropout,UMAP,graph,global_rank_corr,0.42690933694785044,0.5,6
dropout,UMAP,graph,label_neighbor_recall,0.8938084407379328,0.0,6
dropout,UMAP,graph,local_retention,0.09898913318170327,1.0,6
dropout,UMAP,graph,trustworthiness,0.8131379699519999,1.0,6
noise,PCA,factor,global_rank_corr,0.7756165195480036,0.0,6
noise,PCA,factor,label_neighbor_recall,0.7557956364249011,0.0,6
noise,PCA,factor,local_retention,0.09175722348580569,1.0,6
noise,PCA,factor,trustworthiness,0.857775062160417,1.0,6
noise,PHATE,graph,global_rank_corr,0.5935261923718879,0.0,6
noise,PHATE,graph,label_neighbor_recall,0.8913318170331058,0.0,6
noise,PHATE,graph,local_retention,0.1292645943896891,1.0,6
noise,PHATE,graph,trustworthiness,0.8762839272981234,0.6666666666666666,6
noise,PaCMAP,relational,global_rank_corr,0.6480428536549976,0.0,6
noise,PaCMAP,relational,label_neighbor_recall,0.9079563642490102,0.0,6
noise,PaCMAP,relational,local_retention,0.15017268974812562,1.0,6
noise,PaCMAP,relational,trustworthiness,0.9026348060000648,0.3333333333333333,6
noise,UMAP,graph,global_rank_corr,0.5625720590591675,0.0,6
noise,UMAP,graph,label_neighbor_recall,0.9110058124842052,0.0,6
noise,UMAP,graph,local_retention,0.16228203184230475,1.0,6
noise,UMAP,graph,trustworthiness,0.896474057559169,0.3333333333333333,6
