family,claim_axis,failure_fraction,n_rows
deep,batch_biology_tradeoff,1.0,2
deep,cell_state_support,0.5,12
deep,continuum_support,0.5,4
deep,rare_state_support,0.5,2
deep,truth_geometry,0.7777777777777778,36
factor,batch_biology_tradeoff,0.5,2
factor,cell_state_support,0.0,12
factor,continuum_support,0.5,4
factor,rare_state_support,0.0,2
factor,truth_geometry,0.4444444444444444,36
graph,batch_biology_tradeoff,1.0,2
graph,cell_state_support,0.0,12
graph,continuum_support,0.25,4
graph,rare_state_support,0.0,2
graph,truth_geometry,0.6666666666666666,36
relational,batch_biology_tradeoff,1.0,2
relational,cell_state_support,0.0,12
relational,continuum_support,0.25,4
relational,rare_state_support,0.0,2
relational,truth_geometry,0.6666666666666666,36


