dataset_id,method,family,seed,metric,value,threshold,support,n_cells,n_unit,analysis_axis,upstream_pca_dimension
pbmc3k,UMAP,graph,0,local_retention,0.1938337124083902,0.3,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,upstream_pca_dimension,20
pbmc3k,UMAP,graph,0,trustworthiness,0.9180320181917371,0.9,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,upstream_pca_dimension,20
pbmc3k,UMAP,graph,0,global_rank_corr,0.7039213686440078,0.45,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,upstream_pca_dimension,20
pbmc3k,UMAP,graph,0,label_neighbor_recall,0.9239575435936316,0.55,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,upstream_pca_dimension,20
pbmc3k,PHATE,graph,0,local_retention,0.1491281273692191,0.3,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,upstream_pca_dimension,20
pbmc3k,PHATE,graph,0,trustworthiness,0.8874579163870112,0.9,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,upstream_pca_dimension,20
pbmc3k,PHATE,graph,0,global_rank_corr,0.6829927837388461,0.45,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,upstream_pca_dimension,20
pbmc3k,PHATE,graph,0,label_neighbor_recall,0.9172352792519585,0.55,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,upstream_pca_dimension,20
pbmc3k,t-SNE,relational,0,local_retention,0.3228708617639626,0.3,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,upstream_pca_dimension,20
pbmc3k,t-SNE,relational,0,trustworthiness,0.9524061384549297,0.9,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,upstream_pca_dimension,20
pbmc3k,t-SNE,relational,0,global_rank_corr,0.6831030176796711,0.45,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,upstream_pca_dimension,20
pbmc3k,t-SNE,relational,0,label_neighbor_recall,0.9229214051048774,0.55,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,upstream_pca_dimension,20
pbmc3k,PaCMAP,relational,0,local_retention,0.18749052312357847,0.3,below_threshold,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,upstream_pca_dimension,20
pbmc3k,PaCMAP,relational,0,trustworthiness,0.9244923076031004,0.9,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,upstream_pca_dimension,20
pbmc3k,PaCMAP,relational,0,global_rank_corr,0.7631609012832788,0.45,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,upstream_pca_dimension,20
