action_category,evidence_layer,failed_cases,n_cases,weighted_failure_fraction
dimension sensitivity,output dimension,97.0,240,0.4041666666666667
donor-aware evidence,diagnostic gates,4.0,8,0.5
dropout / noise sensitivity,dropout/noise,92.0,192,0.4791666666666667
global geometry check,diagnostic gates,3.9999999999999982,24,0.1666666666666666
local / marker support,diagnostic gates,33.0,48,0.6875
mechanism simulation,mechanism sim.,112.0,224,0.5
robustness stress test,worst-case stress,531.0,531,1.0
trajectory evidence,diagnostic gates,8.0,8,1.0
upstream PCA sensitivity,upstream PCA,66.0,144,0.4583333333333333


