family,metric,mean_threshold_margin,n_rows
deep,cell_type_label_recall,-0.00960416666666672,2
deep,donor_entropy_norm,0.17935238004932874,2
deep,global_rank_corr,-0.01787514329087067,6
deep,label_neighbor_recall,-0.06117896406130869,6
deep,local_retention,-0.2544045317366205,6
deep,pseudotime_neighborhood_retention,-0.026680193314692596,2
deep,pseudotime_rank_corr,-0.11678545989544976,2
deep,trustworthiness,-0.181807362280465,6
factor,cell_type_label_recall,0.20172916666666663,2
factor,donor_entropy_norm,0.12389162606277543,2
factor,global_rank_corr,0.1814515467257236,6
factor,label_neighbor_recall,0.12471323174445804,6
factor,local_retention,-0.24479889086603457,6
factor,pseudotime_neighborhood_retention,0.123064428009735,2
factor,pseudotime_rank_corr,-0.07578724787994956,2
factor,trustworthiness,-0.0758596388191664,6
graph,cell_type_label_recall,0.3935624999999999,2
graph,donor_entropy_norm,0.011091704784278233,2
graph,global_rank_corr,0.07476691261740423,6
graph,label_neighbor_recall,0.21900941217369377,6
graph,local_retention,-0.15582826349372977,6
graph,pseudotime_neighborhood_retention,0.31421682597282274,2
graph,pseudotime_rank_corr,-0.17100984789474052,2
graph,trustworthiness,-0.005046331164077674,6
relational,cell_type_label_recall,0.4052791666666666,2
relational,donor_entropy_norm,-0.0268438821678805,2
relational,global_rank_corr,0.14784997086440682,6
relational,label_neighbor_recall,0.24923793350634704,6
relational,local_retention,-0.09408088174215927,6
relational,pseudotime_neighborhood_retention,0.289240094767312,2
relational,pseudotime_rank_corr,-0.17488964583495667,2
relational,trustworthiness,0.027089773733790973,6
