family,action_category,failure_fraction,n_rows
deep,donor-aware evidence,0.5,2
deep,global geometry check,0.5,6
deep,local / marker support,0.8333333333333334,12
deep,trajectory evidence,1.0,2
factor,donor-aware evidence,0.0,2
factor,global geometry check,0.0,6
factor,local / marker support,0.6666666666666666,12
factor,trajectory evidence,1.0,2
graph,donor-aware evidence,0.5,2
graph,global geometry check,0.16666666666666666,6
graph,local / marker support,0.6666666666666666,12
graph,trajectory evidence,1.0,2
relational,donor-aware evidence,1.0,2
relational,global geometry check,0.0,6
relational,local / marker support,0.5833333333333334,12
relational,trajectory evidence,1.0,2


