dataset_id,method,family,seed,metric,value,k,n_cells,n_pcs_reference,n_definition,threshold,relative_threshold_margin,dataset_label,metric_label,column_label,value_definition
pbmc3k,PCA,factor,0,local_retention,0.0550922416,15,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,-0.8163591947,PBMC3k,Local,PBMC3k | Local,run-level continuous diagnostic value; no binary aggregation
pbmc3k,PCA,factor,0,trustworthiness,0.8058160986,15,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,-0.1046487793,PBMC3k,Trust,PBMC3k | Trust,run-level continuous diagnostic value; no binary aggregation
pbmc3k,PCA,factor,0,global_rank_corr,0.6516416813,,2638,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,0.4480926252,PBMC3k,Global,PBMC3k | Global,run-level continuous diagnostic value; no binary aggregation
pbmc3k,PCA,factor,0,label_neighbor_recall,0.793631539,15,2638,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,0.4429664346,PBMC3k,Same-label,PBMC3k | Same-label,run-level continuous diagnostic value; no binary aggregation
paul15,PCA,factor,0,local_retention,0.08488400488,15,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,-0.7170533171,Paul15,Local,Paul15 | Local,run-level continuous diagnostic value; no binary aggregation
paul15,PCA,factor,0,trustworthiness,0.851169712,15,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,-0.05425587561,Paul15,Trust,Paul15 | Trust,run-level continuous diagnostic value; no binary aggregation
paul15,PCA,factor,0,global_rank_corr,0.6974668149,,2730,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,0.5499262554,Paul15,Global,Paul15 | Global,run-level continuous diagnostic value; no binary aggregation
paul15,PCA,factor,0,label_neighbor_recall,0.3453235653,15,2730,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,-0.3721389721,Paul15,Same-label,Paul15 | Same-label,run-level continuous diagnostic value; no binary aggregation
heart_cell_atlas_subsampled,PCA,factor,0,local_retention,0.05186666667,15,8000,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,-0.8271111111,Heart atlas,Local,Heart atlas | Local,run-level continuous diagnostic value; no binary aggregation
heart_cell_atlas_subsampled,PCA,factor,0,trustworthiness,0.815964896,15,8000,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,-0.09337233783,Heart atlas,Trust,Heart atlas | Trust,run-level continuous diagnostic value; no binary aggregation
heart_cell_atlas_subsampled,PCA,factor,0,global_rank_corr,0.7385727893,,8000,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,0.641272865,Heart atlas,Global,Heart atlas | Global,run-level continuous diagnostic value; no binary aggregation
heart_cell_atlas_subsampled,PCA,factor,0,label_neighbor_recall,0.706425,15,8000,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,0.2844090909,Heart atlas,Same-label,Heart atlas | Same-label,run-level continuous diagnostic value; no binary aggregation
pbmc3k,GLM-PCA,factor,0,local_retention,0.0435430882,15,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,-0.8548563727,PBMC3k,Local,PBMC3k | Local,run-level continuous diagnostic value; no binary aggregation
pbmc3k,GLM-PCA,factor,0,trustworthiness,0.7989934047,15,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,-0.1122295503,PBMC3k,Trust,PBMC3k | Trust,run-level continuous diagnostic value; no binary aggregation
pbmc3k,GLM-PCA,factor,0,global_rank_corr,0.5306042454,,2638,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,0.1791205453,PBMC3k,Global,PBMC3k | Global,run-level continuous diagnostic value; no binary aggregation
pbmc3k,GLM-PCA,factor,0,label_neighbor_recall,0.8633055345,15,2638,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,0.5696464264,PBMC3k,Same-label,PBMC3k | Same-label,run-level continuous diagnostic value; no binary aggregation
paul15,GLM-PCA,factor,0,local_retention,0.0622954823,15,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,-0.7923483923,Paul15,Local,Paul15 | Local,run-level continuous diagnostic value; no binary aggregation
paul15,GLM-PCA,factor,0,trustworthiness,0.8363425714,15,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,-0.07073047627,Paul15,Trust,Paul15 | Trust,run-level continuous diagnostic value; no binary aggregation
paul15,GLM-PCA,factor,0,global_rank_corr,0.6530593231,,2730,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,0.4512429402,Paul15,Global,Paul15 | Global,run-level continuous diagnostic value; no binary aggregation
paul15,GLM-PCA,factor,0,label_neighbor_recall,0.5456654457,15,2730,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,-0.007881007881,Paul15,Same-label,Paul15 | Same-label,run-level continuous diagnostic value; no binary aggregation
heart_cell_atlas_subsampled,GLM-PCA,factor,0,local_retention,0.050775,15,8000,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,-0.83075,Heart atlas,Local,Heart atlas | Local,run-level continuous diagnostic value; no binary aggregation
heart_cell_atlas_subsampled,GLM-PCA,factor,0,trustworthiness,0.8365554845,15,8000,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,-0.07049390609,Heart atlas,Trust,Heart atlas | Trust,run-level continuous diagnostic value; no binary aggregation
