method,claim_gate,support_fraction,n_rows,source_definition
GLM-PCA,continuum_gate,0,1,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
GLM-PCA,donor_aware_gate,1,1,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
GLM-PCA,global_geometry_gate,1,3,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
GLM-PCA,label_support_gate,0.6666666667,3,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
GLM-PCA,local_neighbourhood_gate,0,3,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
PCA,continuum_gate,0,1,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
PCA,donor_aware_gate,1,1,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
PCA,global_geometry_gate,1,3,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
PCA,label_support_gate,0.6666666667,3,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
PCA,local_neighbourhood_gate,0,3,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
PHATE,continuum_gate,0,1,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
PHATE,donor_aware_gate,1,1,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
PHATE,global_geometry_gate,1,3,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
PHATE,label_support_gate,0.6666666667,3,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
PHATE,local_neighbourhood_gate,0,3,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
PaCMAP,continuum_gate,0,1,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
PaCMAP,donor_aware_gate,0,1,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
PaCMAP,global_geometry_gate,1,3,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
PaCMAP,label_support_gate,0.6666666667,3,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
PaCMAP,local_neighbourhood_gate,0,3,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
SAUCIE,continuum_gate,0,1,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
SAUCIE,donor_aware_gate,1,1,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
SAUCIE,global_geometry_gate,1,3,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
SAUCIE,label_support_gate,0.6666666667,3,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
SAUCIE,local_neighbourhood_gate,0,3,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
UMAP,continuum_gate,0,1,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
UMAP,donor_aware_gate,0,1,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
UMAP,global_geometry_gate,0.6666666667,3,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
UMAP,label_support_gate,0.6666666667,3,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
UMAP,local_neighbourhood_gate,0,3,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
scScope,continuum_gate,0,1,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
scScope,donor_aware_gate,0,1,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
scScope,global_geometry_gate,0,3,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
scScope,label_support_gate,0,3,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
scScope,local_neighbourhood_gate,0,3,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
t-SNE,continuum_gate,0,1,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
t-SNE,donor_aware_gate,0,1,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
t-SNE,global_geometry_gate,1,3,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
t-SNE,label_support_gate,0.6666666667,3,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
t-SNE,local_neighbourhood_gate,0.3333333333,3,method-level fraction of valid dataset-gate rows passing prespecified diagnostic boundaries
