method,feature_group,feature,present,encoded_feature
PCA,explicit_objective_terms,diffusion_distance,0,explicit_objective_terms:diffusion_distance
GLM-PCA,explicit_objective_terms,diffusion_distance,0,explicit_objective_terms:diffusion_distance
scScope,explicit_objective_terms,diffusion_distance,0,explicit_objective_terms:diffusion_distance
SAUCIE,explicit_objective_terms,diffusion_distance,0,explicit_objective_terms:diffusion_distance
UMAP,explicit_objective_terms,diffusion_distance,0,explicit_objective_terms:diffusion_distance
PHATE,explicit_objective_terms,diffusion_distance,1,explicit_objective_terms:diffusion_distance
t-SNE,explicit_objective_terms,diffusion_distance,0,explicit_objective_terms:diffusion_distance
PaCMAP,explicit_objective_terms,diffusion_distance,0,explicit_objective_terms:diffusion_distance
PCA,explicit_objective_terms,likelihood,0,explicit_objective_terms:likelihood
GLM-PCA,explicit_objective_terms,likelihood,1,explicit_objective_terms:likelihood
scScope,explicit_objective_terms,likelihood,0,explicit_objective_terms:likelihood
SAUCIE,explicit_objective_terms,likelihood,0,explicit_objective_terms:likelihood
UMAP,explicit_objective_terms,likelihood,0,explicit_objective_terms:likelihood
PHATE,explicit_objective_terms,likelihood,0,explicit_objective_terms:likelihood
t-SNE,explicit_objective_terms,likelihood,0,explicit_objective_terms:likelihood
PaCMAP,explicit_objective_terms,likelihood,0,explicit_objective_terms:likelihood
PCA,explicit_objective_terms,metric_stress,0,explicit_objective_terms:metric_stress
GLM-PCA,explicit_objective_terms,metric_stress,0,explicit_objective_terms:metric_stress
scScope,explicit_objective_terms,metric_stress,0,explicit_objective_terms:metric_stress
SAUCIE,explicit_objective_terms,metric_stress,0,explicit_objective_terms:metric_stress
UMAP,explicit_objective_terms,metric_stress,0,explicit_objective_terms:metric_stress
PHATE,explicit_objective_terms,metric_stress,1,explicit_objective_terms:metric_stress
t-SNE,explicit_objective_terms,metric_stress,0,explicit_objective_terms:metric_stress
PaCMAP,explicit_objective_terms,metric_stress,0,explicit_objective_terms:metric_stress
PCA,explicit_objective_terms,pairwise_attraction_repulsion,0,explicit_objective_terms:pairwise_attraction_repulsion
GLM-PCA,explicit_objective_terms,pairwise_attraction_repulsion,0,explicit_objective_terms:pairwise_attraction_repulsion
scScope,explicit_objective_terms,pairwise_attraction_repulsion,0,explicit_objective_terms:pairwise_attraction_repulsion
SAUCIE,explicit_objective_terms,pairwise_attraction_repulsion,0,explicit_objective_terms:pairwise_attraction_repulsion
UMAP,explicit_objective_terms,pairwise_attraction_repulsion,0,explicit_objective_terms:pairwise_attraction_repulsion
PHATE,explicit_objective_terms,pairwise_attraction_repulsion,0,explicit_objective_terms:pairwise_attraction_repulsion
t-SNE,explicit_objective_terms,pairwise_attraction_repulsion,0,explicit_objective_terms:pairwise_attraction_repulsion
PaCMAP,explicit_objective_terms,pairwise_attraction_repulsion,1,explicit_objective_terms:pairwise_attraction_repulsion
PCA,explicit_objective_terms,pairwise_probability,0,explicit_objective_terms:pairwise_probability
GLM-PCA,explicit_objective_terms,pairwise_probability,0,explicit_objective_terms:pairwise_probability
scScope,explicit_objective_terms,pairwise_probability,1,explicit_objective_terms:pairwise_probability
SAUCIE,explicit_objective_terms,pairwise_probability,0,explicit_objective_terms:pairwise_probability
UMAP,explicit_objective_terms,pairwise_probability,1,explicit_objective_terms:pairwise_probability
PHATE,explicit_objective_terms,pairwise_probability,0,explicit_objective_terms:pairwise_probability
t-SNE,explicit_objective_terms,pairwise_probability,1,explicit_objective_terms:pairwise_probability
PaCMAP,explicit_objective_terms,pairwise_probability,0,explicit_objective_terms:pairwise_probability
PCA,explicit_objective_terms,reconstruction,1,explicit_objective_terms:reconstruction
GLM-PCA,explicit_objective_terms,reconstruction,0,explicit_objective_terms:reconstruction
scScope,explicit_objective_terms,reconstruction,1,explicit_objective_terms:reconstruction
SAUCIE,explicit_objective_terms,reconstruction,1,explicit_objective_terms:reconstruction
UMAP,explicit_objective_terms,reconstruction,0,explicit_objective_terms:reconstruction
PHATE,explicit_objective_terms,reconstruction,0,explicit_objective_terms:reconstruction
t-SNE,explicit_objective_terms,reconstruction,0,explicit_objective_terms:reconstruction
PaCMAP,explicit_objective_terms,reconstruction,0,explicit_objective_terms:reconstruction
PCA,explicit_objective_terms,zero_model_or_imputation,0,explicit_objective_terms:zero_model_or_imputation
GLM-PCA,explicit_objective_terms,zero_model_or_imputation,0,explicit_objective_terms:zero_model_or_imputation
scScope,explicit_objective_terms,zero_model_or_imputation,1,explicit_objective_terms:zero_model_or_imputation
SAUCIE,explicit_objective_terms,zero_model_or_imputation,0,explicit_objective_terms:zero_model_or_imputation
UMAP,explicit_objective_terms,zero_model_or_imputation,0,explicit_objective_terms:zero_model_or_imputation
PHATE,explicit_objective_terms,zero_model_or_imputation,0,explicit_objective_terms:zero_model_or_imputation
t-SNE,explicit_objective_terms,zero_model_or_imputation,0,explicit_objective_terms:zero_model_or_imputation
PaCMAP,explicit_objective_terms,zero_model_or_imputation,0,explicit_objective_terms:zero_model_or_imputation
PCA,latent_parameterization,diffusion_then_metric_embedding,0,latent_parameterization:diffusion_then_metric_embedding
GLM-PCA,latent_parameterization,diffusion_then_metric_embedding,0,latent_parameterization:diffusion_then_metric_embedding
scScope,latent_parameterization,diffusion_then_metric_embedding,0,latent_parameterization:diffusion_then_metric_embedding
SAUCIE,latent_parameterization,diffusion_then_metric_embedding,0,latent_parameterization:diffusion_then_metric_embedding
UMAP,latent_parameterization,diffusion_then_metric_embedding,0,latent_parameterization:diffusion_then_metric_embedding
PHATE,latent_parameterization,diffusion_then_metric_embedding,1,latent_parameterization:diffusion_then_metric_embedding
t-SNE,latent_parameterization,diffusion_then_metric_embedding,0,latent_parameterization:diffusion_then_metric_embedding
PaCMAP,latent_parameterization,diffusion_then_metric_embedding,0,latent_parameterization:diffusion_then_metric_embedding
PCA,latent_parameterization,directly_optimized_coordinates,0,latent_parameterization:directly_optimized_coordinates
GLM-PCA,latent_parameterization,directly_optimized_coordinates,0,latent_parameterization:directly_optimized_coordinates
scScope,latent_parameterization,directly_optimized_coordinates,1,latent_parameterization:directly_optimized_coordinates
