method_a,method_b,method_pair,objective_signature_jaccard_distance,empirical_profile_distance,simulation_profile_distance,n_objective_signature_features,n_empirical_profile_variables,n_simulation_profile_variables
PCA,GLM-PCA,PCA / GLM-PCA,1,1.0540287,1.393101387,17,12,140
PCA,scScope,PCA / scScope,0.875,2.027637349,1.751328519,17,12,140
PCA,SAUCIE,PCA / SAUCIE,0.8,1.350961847,1.336710999,17,12,140
PCA,UMAP,PCA / UMAP,1,1.979883563,1.499575106,17,12,140
PCA,PHATE,PCA / PHATE,1,1.457427916,1.063750567,17,12,140
PCA,t-SNE,PCA / t-SNE,1,2.360755737,1.578604496,17,12,140
PCA,PaCMAP,PCA / PaCMAP,1,1.728469437,1.618852969,17,12,140
GLM-PCA,scScope,GLM-PCA / scScope,1,1.306950728,2.366407364,17,12,140
GLM-PCA,SAUCIE,GLM-PCA / SAUCIE,1,0.8126918387,1.386239185,17,12,140
GLM-PCA,UMAP,GLM-PCA / UMAP,1,1.484821672,2.057206278,17,12,140
GLM-PCA,PHATE,GLM-PCA / PHATE,1,1.145814907,1.566814873,17,12,140
GLM-PCA,t-SNE,GLM-PCA / t-SNE,1,2.113568816,2.299036589,17,12,140
GLM-PCA,PaCMAP,GLM-PCA / PaCMAP,1,1.423729577,1.927239974,17,12,140
scScope,SAUCIE,scScope / SAUCIE,0.7142857143,1.49876345,1.794675097,17,12,140
scScope,UMAP,scScope / UMAP,0.7142857143,1.728151012,1.236527803,17,12,140
scScope,PHATE,scScope / PHATE,1,1.666354103,1.473705802,17,12,140
scScope,t-SNE,scScope / t-SNE,0.7142857143,2.359645186,1.042157469,17,12,140
scScope,PaCMAP,scScope / PaCMAP,0.875,1.988407148,1.629763637,17,12,140
SAUCIE,UMAP,SAUCIE / UMAP,1,1.118810468,1.507382143,17,12,140
SAUCIE,PHATE,SAUCIE / PHATE,1,0.7850253893,1.231266456,17,12,140
SAUCIE,t-SNE,SAUCIE / t-SNE,1,1.658688259,1.771829458,17,12,140
SAUCIE,PaCMAP,SAUCIE / PaCMAP,1,1.113453033,1.460509734,17,12,140
UMAP,PHATE,UMAP / PHATE,0.8333333333,0.9722025046,0.7751079855,17,12,140
UMAP,t-SNE,UMAP / t-SNE,0,0.9558200255,0.8416354818,17,12,140
UMAP,PaCMAP,UMAP / PaCMAP,0.5,0.7137453956,0.7299942483,17,12,140
PHATE,t-SNE,PHATE / t-SNE,0.8333333333,1.504366845,1.204922313,17,12,140
PHATE,PaCMAP,PHATE / PaCMAP,0.8333333333,1.01500855,0.7702738746,17,12,140
t-SNE,PaCMAP,t-SNE / PaCMAP,0.5,0.9568888184,1.375576172,17,12,140
