method,family,scenario,scenario_label,metric,metric_label,column_label,claim_axis,threshold,value,value_sd_across_generated_datasets,value_minimum,value_maximum,relative_threshold_margin,relative_margin_minimum,relative_margin_maximum,n_generated_datasets,n_cells_per_generated_dataset,value_definition
GLM-PCA,factor,batch_shift,Batch,batch_entropy_norm,Batch mix,Batch | Batch mix,batch_biology_tradeoff,0.65,0.6854096552,0.142074651,0.5167354763,0.8820109332,0.05447639268,-0.2050223442,0.3569398973,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
GLM-PCA,factor,batch_shift,Batch,label_neighbor_recall,Same-label,Batch | Same-label,cell_state_support,0.55,0.9964814815,0.003543406133,0.9905555556,0.9999074074,0.8117845118,0.801010101,0.818013468,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
GLM-PCA,factor,batch_shift,Batch,latent_distance_corr,Geometry,Batch | Geometry,truth_geometry,0.45,0.9062989367,0.01844815575,0.8760006232,0.9243012965,1.013997637,0.9466680516,1.054002881,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
GLM-PCA,factor,batch_shift,Batch,truth_local_retention,Local,Batch | Local,truth_geometry,0.3,0.1553888889,0.01136862093,0.1368518519,0.1660185185,-0.482037037,-0.5438271605,-0.4466049383,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
GLM-PCA,factor,batch_shift,Batch,truth_trustworthiness,Trust,Batch | Trust,truth_geometry,0.9,0.910257054,0.005729062561,0.900956613,0.9158116797,0.01139672671,0.001062903331,0.01756853298,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
GLM-PCA,factor,branching_trajectory,Branch,label_neighbor_recall,Same-label,Branch | Same-label,cell_state_support,0.55,0.809,0.03032880229,0.7631481481,0.8350925926,0.4709090909,0.3875420875,0.5183501684,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
GLM-PCA,factor,branching_trajectory,Branch,latent_distance_corr,Geometry,Branch | Geometry,truth_geometry,0.45,0.7091951059,0.05851276704,0.6373055691,0.7548717064,0.5759891242,0.4162345979,0.6774926808,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
GLM-PCA,factor,branching_trajectory,Branch,pseudotime_distance_corr,Pseudotime,Branch | Pseudotime,continuum_support,0.45,0.4485082436,0.0412749138,0.416873515,0.5189809836,-0.00331501431,-0.07361441119,0.1532910747,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
GLM-PCA,factor,branching_trajectory,Branch,truth_local_retention,Local,Branch | Local,truth_geometry,0.3,0.1373703704,0.005864701083,0.1275,0.1426851852,-0.5420987654,-0.575,-0.524382716,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
GLM-PCA,factor,branching_trajectory,Branch,truth_trustworthiness,Trust,Branch | Trust,truth_geometry,0.9,0.8493133801,0.01583182703,0.8221973803,0.8624908337,-0.05631846656,-0.08644735521,-0.04167685141,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
GLM-PCA,factor,dropout_stress,Dropout,label_neighbor_recall,Same-label,Dropout | Same-label,cell_state_support,0.55,0.9972222222,0.0008072035081,0.9965740741,0.9986111111,0.8131313131,0.811952862,0.8156565657,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
GLM-PCA,factor,dropout_stress,Dropout,latent_distance_corr,Geometry,Dropout | Geometry,truth_geometry,0.45,0.9175484628,0.0104574318,0.9056695272,0.9322044212,1.038996584,1.012598949,1.071565381,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
GLM-PCA,factor,dropout_stress,Dropout,truth_local_retention,Local,Dropout | Local,truth_geometry,0.3,0.154537037,0.01442677576,0.1344444444,0.1713888889,-0.4848765432,-0.5518518519,-0.4287037037,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
GLM-PCA,factor,dropout_stress,Dropout,truth_trustworthiness,Trust,Dropout | Trust,truth_geometry,0.9,0.9123986397,0.006615132525,0.9029257665,0.9200730645,0.0137762663,0.003250851681,0.02230340495,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
GLM-PCA,factor,linear_low_rank,Linear,label_neighbor_recall,Same-label,Linear | Same-label,cell_state_support,0.55,0.9984259259,0.001335389361,0.997037037,1,0.8153198653,0.8127946128,0.8181818182,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
GLM-PCA,factor,linear_low_rank,Linear,latent_distance_corr,Geometry,Linear | Geometry,truth_geometry,0.45,0.9280687958,0.006462492563,0.9180954835,0.935757965,1.062375102,1.040212186,1.079462145,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
GLM-PCA,factor,linear_low_rank,Linear,truth_local_retention,Local,Linear | Local,truth_geometry,0.3,0.1763333333,0.008238555682,0.1640740741,0.1839814815,-0.4122222222,-0.4530864198,-0.3867283951,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
GLM-PCA,factor,linear_low_rank,Linear,truth_trustworthiness,Trust,Linear | Trust,truth_geometry,0.9,0.9204715713,0.004235693469,0.915182794,0.9242806472,0.02274619032,0.01686977109,0.02697849691,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
GLM-PCA,factor,nonlinear_manifold,Nonlinear,label_neighbor_recall,Same-label,Nonlinear | Same-label,cell_state_support,0.55,0.9077222222,0.02097815916,0.8725,0.9284259259,0.6504040404,0.5863636364,0.688047138,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
GLM-PCA,factor,nonlinear_manifold,Nonlinear,latent_distance_corr,Geometry,Nonlinear | Geometry,truth_geometry,0.45,0.7859725461,0.01042579256,0.7688515898,0.7972710883,0.746605658,0.7085590885,0.7717135294,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
GLM-PCA,factor,nonlinear_manifold,Nonlinear,pseudotime_distance_corr,Pseudotime,Nonlinear | Pseudotime,continuum_support,0.45,0.6651773764,0.02569447478,0.6258704607,0.6921772753,0.4781719475,0.390823246,0.5381717228,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
GLM-PCA,factor,nonlinear_manifold,Nonlinear,truth_local_retention,Local,Nonlinear | Local,truth_geometry,0.3,0.164,0.007755534773,0.1537962963,0.175462963,-0.4533333333,-0.487345679,-0.4151234568,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
GLM-PCA,factor,nonlinear_manifold,Nonlinear,truth_trustworthiness,Trust,Nonlinear | Trust,truth_geometry,0.9,0.9044939954,0.004987543921,0.9000387906,0.9121686859,0.004993328256,4.310064887e-05,0.01352076211,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
GLM-PCA,factor,rare_population,Rare,label_neighbor_recall,Same-label,Rare | Same-label,cell_state_support,0.55,0.9966111111,0.001159442655,0.9953703704,0.9977777778,0.812020202,0.8097643098,0.8141414141,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
GLM-PCA,factor,rare_population,Rare,latent_distance_corr,Geometry,Rare | Geometry,truth_geometry,0.45,0.9347365342,0.009110683389,0.9238215127,0.9431459261,1.077192298,1.052936695,1.095879836,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
GLM-PCA,factor,rare_population,Rare,rare_label_recall,Rare-state,Rare | Rare-state,rare_state_support,0.5,0.9878095238,0.009580781973,0.9733333333,0.9961904762,0.9756190476,0.9466666667,0.9923809524,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
GLM-PCA,factor,rare_population,Rare,truth_local_retention,Local,Rare | Local,truth_geometry,0.3,0.1943518519,0.01307737211,0.1807407407,0.2087962963,-0.3521604938,-0.3975308642,-0.3040123457,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
GLM-PCA,factor,rare_population,Rare,truth_trustworthiness,Trust,Rare | Trust,truth_geometry,0.9,0.923775546,0.004563971223,0.917676816,0.9291960253,0.02641727332,0.01964090665,0.0324400281,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PCA,factor,batch_shift,Batch,batch_entropy_norm,Batch mix,Batch | Batch mix,batch_biology_tradeoff,0.65,0.1198449627,0.09622162145,0.004465457452,0.2670268699,-0.8156231343,-0.9931300655,-0.589189431,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PCA,factor,batch_shift,Batch,label_neighbor_recall,Same-label,Batch | Same-label,cell_state_support,0.55,0.956462963,0.01019767752,0.9409259259,0.9687962963,0.739023569,0.7107744108,0.7614478114,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PCA,factor,batch_shift,Batch,latent_distance_corr,Geometry,Batch | Geometry,truth_geometry,0.45,0.7294525437,0.06780673369,0.6235424088,0.8064661229,0.6210056527,0.3856497974,0.7921469398,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PCA,factor,batch_shift,Batch,truth_local_retention,Local,Batch | Local,truth_geometry,0.3,0.1097407407,0.01199733481,0.09555555556,0.1223148148,-0.6341975309,-0.6814814815,-0.5922839506,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PCA,factor,batch_shift,Batch,truth_trustworthiness,Trust,Batch | Trust,truth_geometry,0.9,0.8747627929,0.00816249623,0.8631489452,0.8830458579,-0.0280413412,-0.04094561643,-0.01883793566,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PCA,factor,branching_trajectory,Branch,label_neighbor_recall,Same-label,Branch | Same-label,cell_state_support,0.55,0.7331666667,0.02936144545,0.7056481481,0.7701851852,0.333030303,0.282996633,0.4003367003,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PCA,factor,branching_trajectory,Branch,latent_distance_corr,Geometry,Branch | Geometry,truth_geometry,0.45,0.6515969028,0.1034513462,0.4818921793,0.7292964319,0.4479931174,0.0708715095,0.6206587375,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PCA,factor,branching_trajectory,Branch,pseudotime_distance_corr,Pseudotime,Branch | Pseudotime,continuum_support,0.45,0.4450225497,0.08412213986,0.3837898422,0.590441438,-0.0110610007,-0.147133684,0.3120920844,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PCA,factor,branching_trajectory,Branch,truth_local_retention,Local,Branch | Local,truth_geometry,0.3,0.1159259259,0.003536140084,0.1126851852,0.1218518519,-0.6135802469,-0.624382716,-0.5938271605,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
