scenario,replicate,method,family,n_cells,value_label_neighbor_recall,value_truth_local_retention,threshold_label_neighbor_recall,threshold_truth_local_retention,local_relative_margin,label_relative_margin,descriptive_spearman_rho_all_rows,dependence_note
batch_shift,0,GLM-PCA,factor,720,0.9999074074,0.1618518519,0.55,0.3,-0.4604938272,0.818013468,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,0,PCA,factor,720,0.9547222222,0.1171296296,0.55,0.3,-0.6095679012,0.7358585859,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,0,PHATE,graph,720,0.9911111111,0.07546296296,0.55,0.3,-0.7484567901,0.802020202,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,0,PaCMAP,relational,720,1,0.06944444444,0.55,0.3,-0.7685185185,0.8181818182,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,0,SAUCIE,deep,720,0.9983333333,0.1187962963,0.55,0.3,-0.6040123457,0.8151515152,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,0,UMAP,graph,720,0.9968518519,0.06805555556,0.55,0.3,-0.7731481481,0.8124579125,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,0,scScope,deep,720,0.9934259259,0.08509259259,0.55,0.3,-0.7163580247,0.8062289562,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,0,t-SNE,relational,720,0.9969444444,0.06953703704,0.55,0.3,-0.7682098765,0.8126262626,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,1,GLM-PCA,factor,720,0.9905555556,0.1368518519,0.55,0.3,-0.5438271605,0.801010101,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,1,PCA,factor,720,0.9409259259,0.09555555556,0.55,0.3,-0.6814814815,0.7107744108,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,1,PHATE,graph,720,0.9908333333,0.07611111111,0.55,0.3,-0.7462962963,0.8015151515,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,1,PaCMAP,relational,720,1,0.06481481481,0.55,0.3,-0.7839506173,0.8181818182,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,1,SAUCIE,deep,720,0.9968518519,0.1244444444,0.55,0.3,-0.5851851852,0.8124579125,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,1,UMAP,graph,720,0.9958333333,0.06611111111,0.55,0.3,-0.7796296296,0.8106060606,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,1,scScope,deep,720,0.9930555556,0.1008333333,0.55,0.3,-0.6638888889,0.8055555556,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,1,t-SNE,relational,720,0.9953703704,0.07111111111,0.55,0.3,-0.762962963,0.8097643098,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,2,GLM-PCA,factor,720,0.9982407407,0.1590740741,0.55,0.3,-0.4697530864,0.814983165,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,2,PCA,factor,720,0.9608333333,0.09833333333,0.55,0.3,-0.6722222222,0.746969697,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,2,PHATE,graph,720,0.987962963,0.07185185185,0.55,0.3,-0.7604938272,0.7962962963,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,2,PaCMAP,relational,720,0.9902777778,0.06574074074,0.55,0.3,-0.7808641975,0.8005050505,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,2,SAUCIE,deep,720,0.9962037037,0.1161111111,0.55,0.3,-0.612962963,0.8112794613,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,2,UMAP,graph,720,0.989537037,0.07601851852,0.55,0.3,-0.7466049383,0.7991582492,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,2,scScope,deep,720,0.9893518519,0.08722222222,0.55,0.3,-0.7092592593,0.7988215488,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,2,t-SNE,relational,720,0.9893518519,0.07092592593,0.55,0.3,-0.7635802469,0.7988215488,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,3,GLM-PCA,factor,720,0.9968518519,0.1660185185,0.55,0.3,-0.4466049383,0.8124579125,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,3,PCA,factor,720,0.957037037,0.1223148148,0.55,0.3,-0.5922839506,0.7400673401,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,3,PHATE,graph,720,0.9917592593,0.0837962963,0.55,0.3,-0.7206790123,0.8031986532,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,3,PaCMAP,relational,720,0.9937037037,0.07898148148,0.55,0.3,-0.7367283951,0.8067340067,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,3,SAUCIE,deep,720,0.995462963,0.1373148148,0.55,0.3,-0.5422839506,0.8099326599,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,3,UMAP,graph,720,0.9910185185,0.0725,0.55,0.3,-0.7583333333,0.8018518519,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,3,scScope,deep,720,0.9919444444,0.0887962963,0.55,0.3,-0.7040123457,0.8035353535,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,3,t-SNE,relational,720,0.9928703704,0.07388888889,0.55,0.3,-0.7537037037,0.8052188552,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,4,GLM-PCA,factor,720,0.9968518519,0.1531481481,0.55,0.3,-0.4895061728,0.8124579125,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,4,PCA,factor,720,0.9687962963,0.1153703704,0.55,0.3,-0.6154320988,0.7614478114,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,4,PHATE,graph,720,0.9898148148,0.08166666667,0.55,0.3,-0.7277777778,0.7996632997,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,4,PaCMAP,relational,720,0.9968518519,0.06796296296,0.55,0.3,-0.7734567901,0.8124579125,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
batch_shift,4,SAUCIE,deep,720,0.9958333333,0.1212037037,0.55,0.3,-0.5959876543,0.8106060606,-0.0444839765,method-scenario-generated-dataset rows share methods and scenarios; no point-level P value is reported
