method,claim_axis,support_fraction,n_rows,source_definition
GLM-PCA,batch_biology_tradeoff,1,1,method-level pass fraction for each known-truth simulation claim axis
GLM-PCA,cell_state_support,1,6,method-level pass fraction for each known-truth simulation claim axis
GLM-PCA,continuum_support,0.5,2,method-level pass fraction for each known-truth simulation claim axis
GLM-PCA,rare_state_support,1,1,method-level pass fraction for each known-truth simulation claim axis
GLM-PCA,truth_geometry,0.6111111111,18,method-level pass fraction for each known-truth simulation claim axis
PCA,batch_biology_tradeoff,0,1,method-level pass fraction for each known-truth simulation claim axis
PCA,cell_state_support,1,6,method-level pass fraction for each known-truth simulation claim axis
PCA,continuum_support,0.5,2,method-level pass fraction for each known-truth simulation claim axis
PCA,rare_state_support,1,1,method-level pass fraction for each known-truth simulation claim axis
PCA,truth_geometry,0.5,18,method-level pass fraction for each known-truth simulation claim axis
PHATE,batch_biology_tradeoff,0,1,method-level pass fraction for each known-truth simulation claim axis
PHATE,cell_state_support,1,6,method-level pass fraction for each known-truth simulation claim axis
PHATE,continuum_support,0.5,2,method-level pass fraction for each known-truth simulation claim axis
PHATE,rare_state_support,1,1,method-level pass fraction for each known-truth simulation claim axis
PHATE,truth_geometry,0.3333333333,18,method-level pass fraction for each known-truth simulation claim axis
PaCMAP,batch_biology_tradeoff,0,1,method-level pass fraction for each known-truth simulation claim axis
PaCMAP,cell_state_support,1,6,method-level pass fraction for each known-truth simulation claim axis
PaCMAP,continuum_support,1,2,method-level pass fraction for each known-truth simulation claim axis
PaCMAP,rare_state_support,1,1,method-level pass fraction for each known-truth simulation claim axis
PaCMAP,truth_geometry,0.3333333333,18,method-level pass fraction for each known-truth simulation claim axis
SAUCIE,batch_biology_tradeoff,0,1,method-level pass fraction for each known-truth simulation claim axis
SAUCIE,cell_state_support,1,6,method-level pass fraction for each known-truth simulation claim axis
SAUCIE,continuum_support,1,2,method-level pass fraction for each known-truth simulation claim axis
SAUCIE,rare_state_support,1,1,method-level pass fraction for each known-truth simulation claim axis
SAUCIE,truth_geometry,0.4444444444,18,method-level pass fraction for each known-truth simulation claim axis
UMAP,batch_biology_tradeoff,0,1,method-level pass fraction for each known-truth simulation claim axis
UMAP,cell_state_support,1,6,method-level pass fraction for each known-truth simulation claim axis
UMAP,continuum_support,1,2,method-level pass fraction for each known-truth simulation claim axis
UMAP,rare_state_support,1,1,method-level pass fraction for each known-truth simulation claim axis
UMAP,truth_geometry,0.3333333333,18,method-level pass fraction for each known-truth simulation claim axis
scScope,batch_biology_tradeoff,0,1,method-level pass fraction for each known-truth simulation claim axis
scScope,cell_state_support,0,6,method-level pass fraction for each known-truth simulation claim axis
scScope,continuum_support,0,2,method-level pass fraction for each known-truth simulation claim axis
scScope,rare_state_support,0,1,method-level pass fraction for each known-truth simulation claim axis
scScope,truth_geometry,0,18,method-level pass fraction for each known-truth simulation claim axis
t-SNE,batch_biology_tradeoff,0,1,method-level pass fraction for each known-truth simulation claim axis
t-SNE,cell_state_support,1,6,method-level pass fraction for each known-truth simulation claim axis
t-SNE,continuum_support,0.5,2,method-level pass fraction for each known-truth simulation claim axis
t-SNE,rare_state_support,1,1,method-level pass fraction for each known-truth simulation claim axis
t-SNE,truth_geometry,0.3333333333,18,method-level pass fraction for each known-truth simulation claim axis
