method,dataset_id,rms_standardized_profile_deviation,z_local_retention,z_trustworthiness,z_global_rank_corr,z_label_neighbor_recall
GLM-PCA,heart_cell_atlas_subsampled,0.28797603638381175,-0.9015374546911177,-0.6625964576849426,-0.34086444894667767,0.25906165219204813
PCA,heart_cell_atlas_subsampled,0.3121126448969875,-0.8895709098610888,-1.0250957243320244,1.556599279453475,-0.20774872560255808
PHATE,heart_cell_atlas_subsampled,0.8695169635104354,0.7708556960583705,1.238665590397658,-0.190377135991279,0.9724423587235049
PaCMAP,heart_cell_atlas_subsampled,0.712581276482169,1.076961739763937,1.6270599462942883,0.049707916427014665,1.0325773200551251
SAUCIE,heart_cell_atlas_subsampled,0.42667785620519744,-0.7372029955367417,0.024968185895045195,-0.5088411004349656,0.5645778328556571
UMAP,heart_cell_atlas_subsampled,1.0850406636814036,1.3913804214812058,1.6333987846503837,-2.176209608805672,1.0372488212885143
scScope,heart_cell_atlas_subsampled,0.6897285378298268,-0.38039899472684996,0.47383340557588055,-1.9619899385461732,0.5457644233430101
t-SNE,heart_cell_atlas_subsampled,0.7966385402301519,2.7963075931289616,1.9221420941963905,-0.48406147521695553,1.0934767088613002
GLM-PCA,paul15,0.6209054109043776,-0.7752531482613918,-0.6663448141250669,0.8230885829736534,-1.027008859805677
PCA,paul15,0.7360150743590643,-0.5276440781548027,-0.40531159618207163,1.2040036800344536,-2.0479877773872803
PHATE,paul15,0.9948955128394474,-0.4540305708258158,-0.28764985037491575,0.3791292673940521,-1.8794839433544317
PaCMAP,paul15,0.7167490689558923,0.4994651131954482,0.7730368052699357,1.0819349644997056,-1.0682014514340918
SAUCIE,paul15,0.6608668020794103,-0.31376337867894805,-0.08671494213223233,0.12194982749360421,-1.2390698148957615
UMAP,paul15,0.9702305318242959,0.6410707327482973,0.6456146605883948,0.6942580844528897,-1.2225181088940118
scScope,paul15,0.7942009498903794,-0.6317737303401683,-0.24031309901868117,-0.10588493916753754,-0.7009526964629418
t-SNE,paul15,0.7398755235669795,1.9002632362957517,1.1501194617259993,0.5537492929604383,-1.14336859748715
GLM-PCA,pbmc3k,0.4251188116280714,-0.9808116502183534,-1.3238804387294054,-0.22729696891314294,0.5917432130068097
PCA,pbmc3k,0.5213283804015076,-0.8542130591662954,-1.2037662654998498,0.8109284468422343,0.23667177044144777
PHATE,pbmc3k,0.6479213460908496,-0.4710930341663002,-0.7343542333086397,-0.09291803730549654,0.9187386401643953
PaCMAP,pbmc3k,0.638433321287563,-0.2123554323224873,-0.1717004312788137,0.6348115925945764,0.8658063358864235
SAUCIE,pbmc3k,0.5262069750405709,-0.6364745633962329,-0.5742367671449157,0.709042148844652,0.8332227033260192
UMAP,pbmc3k,0.7184133128406698,-0.1608295287433112,-0.30262022172804476,-0.27809047070229637,0.8900186794490959
scScope,pbmc3k,0.9054309753322316,-1.060316673482995,-2.0912060139335713,-2.513635483768957,-0.15793791400551507
t-SNE,pbmc3k,0.7030198225674575,0.9109646699009241,0.2869519208791816,0.26096652382840346,0.8529274297360663
