dataset_id,method,family,claim_gate,support,limiting_component,limiting_relative_margin,n_components
heart_cell_atlas_subsampled,GLM-PCA,factor,local_neighbourhood_gate,below_threshold,local_retention,-0.83075,2
heart_cell_atlas_subsampled,GLM-PCA,factor,label_support_gate,pass,label_neighbor_recall,0.4509545454545455,1
heart_cell_atlas_subsampled,PCA,factor,local_neighbourhood_gate,below_threshold,local_retention,-0.8271111111111112,2
heart_cell_atlas_subsampled,PCA,factor,label_support_gate,pass,label_neighbor_recall,0.2844090909090907,1
heart_cell_atlas_subsampled,PHATE,graph,local_neighbourhood_gate,below_threshold,local_retention,-0.32219444444444434,2
heart_cell_atlas_subsampled,PHATE,graph,label_support_gate,pass,label_neighbor_recall,0.7054696969696966,1
heart_cell_atlas_subsampled,PaCMAP,relational,local_neighbourhood_gate,below_threshold,local_retention,-0.22911111111111132,2
heart_cell_atlas_subsampled,PaCMAP,relational,label_support_gate,pass,label_neighbor_recall,0.7269242424242424,1
heart_cell_atlas_subsampled,SAUCIE,deep,local_neighbourhood_gate,below_threshold,local_retention,-0.780777777777778,2
heart_cell_atlas_subsampled,SAUCIE,deep,label_support_gate,pass,label_neighbor_recall,0.5599545454545454,1
heart_cell_atlas_subsampled,UMAP,graph,local_neighbourhood_gate,below_threshold,local_retention,-0.13349999999999992,2
heart_cell_atlas_subsampled,UMAP,graph,label_support_gate,pass,label_neighbor_recall,0.7285909090909092,1
heart_cell_atlas_subsampled,scScope,deep,local_neighbourhood_gate,below_threshold,local_retention,-0.672277777777778,2
heart_cell_atlas_subsampled,scScope,deep,label_support_gate,pass,label_neighbor_recall,0.553242424242424,1
heart_cell_atlas_subsampled,t-SNE,relational,local_neighbourhood_gate,pass,trustworthiness,0.0926368088346589,2
heart_cell_atlas_subsampled,t-SNE,relational,label_support_gate,pass,label_neighbor_recall,0.7486515151515155,1
paul15,GLM-PCA,factor,local_neighbourhood_gate,below_threshold,local_retention,-0.7923483923483926,2
paul15,GLM-PCA,factor,label_support_gate,below_threshold,label_neighbor_recall,-0.007881007881007852,1
paul15,PCA,factor,local_neighbourhood_gate,below_threshold,local_retention,-0.7170533170533173,2
paul15,PCA,factor,label_support_gate,below_threshold,label_neighbor_recall,-0.37213897213897223,1
paul15,PHATE,graph,local_neighbourhood_gate,below_threshold,local_retention,-0.6946682946682946,2
paul15,PHATE,graph,label_support_gate,below_threshold,label_neighbor_recall,-0.3120213120213121,1
paul15,PaCMAP,relational,local_neighbourhood_gate,below_threshold,local_retention,-0.40472120472120504,2
paul15,PaCMAP,relational,label_support_gate,below_threshold,label_neighbor_recall,-0.022577422577422738,1
paul15,SAUCIE,deep,local_neighbourhood_gate,below_threshold,local_retention,-0.6520146520146519,2
paul15,SAUCIE,deep,label_support_gate,below_threshold,label_neighbor_recall,-0.0835386835386836,1
paul15,UMAP,graph,local_neighbourhood_gate,below_threshold,local_retention,-0.361660561660562,2
paul15,UMAP,graph,label_support_gate,below_threshold,label_neighbor_recall,-0.0776334776334776,1
paul15,scScope,deep,local_neighbourhood_gate,below_threshold,local_retention,-0.748717948717949,2
paul15,scScope,deep,label_support_gate,pass,label_neighbor_recall,0.10844710844710846,1
paul15,t-SNE,relational,local_neighbourhood_gate,pass,local_retention,0.02124542124542106,2
paul15,t-SNE,relational,label_support_gate,below_threshold,label_neighbor_recall,-0.04939504939504962,1
pbmc3k,GLM-PCA,factor,local_neighbourhood_gate,below_threshold,local_retention,-0.8548563726729003,2
pbmc3k,GLM-PCA,factor,label_support_gate,pass,label_neighbor_recall,0.5696464263560544,1
pbmc3k,PCA,factor,local_neighbourhood_gate,below_threshold,local_retention,-0.8163591946761016,2
pbmc3k,PCA,factor,label_support_gate,pass,label_neighbor_recall,0.4429664346267836,1
pbmc3k,PHATE,graph,local_neighbourhood_gate,below_threshold,local_retention,-0.699856793867408,2
pbmc3k,PHATE,graph,label_support_gate,pass,label_neighbor_recall,0.6863096468858413,1
pbmc3k,PaCMAP,relational,local_neighbourhood_gate,below_threshold,local_retention,-0.621177659843316,2
pbmc3k,PaCMAP,relational,label_support_gate,pass,label_neighbor_recall,0.667424816780389,1
pbmc3k,SAUCIE,deep,local_neighbourhood_gate,below_threshold,local_retention,-0.7501474180776684,2
pbmc3k,SAUCIE,deep,label_support_gate,pass,label_neighbor_recall,0.6557998483699774,1
pbmc3k,UMAP,graph,local_neighbourhood_gate,below_threshold,local_retention,-0.605509224159717,2
pbmc3k,UMAP,graph,label_support_gate,pass,label_neighbor_recall,0.6760631332276515,1
pbmc3k,scScope,deep,local_neighbourhood_gate,below_threshold,local_retention,-0.8790329374104963,2
pbmc3k,scScope,deep,label_support_gate,pass,label_neighbor_recall,0.3021802559330989,1
pbmc3k,t-SNE,relational,local_neighbourhood_gate,below_threshold,local_retention,-0.27958891416055964,2
pbmc3k,t-SNE,relational,label_support_gate,pass,label_neighbor_recall,0.6628299676063133,1
heart_cell_atlas_subsampled,GLM-PCA,factor,global_geometry_gate,pass,global_rank_corr,0.14969872524498698,1
heart_cell_atlas_subsampled,PCA,factor,global_geometry_gate,pass,global_rank_corr,0.6412728650224196,1
heart_cell_atlas_subsampled,PHATE,graph,global_geometry_gate,pass,global_rank_corr,0.1886853315796651,1
heart_cell_atlas_subsampled,PaCMAP,relational,global_geometry_gate,pass,global_rank_corr,0.25088393983208784,1
heart_cell_atlas_subsampled,SAUCIE,deep,global_geometry_gate,pass,global_rank_corr,0.10618117246010707,1
heart_cell_atlas_subsampled,UMAP,graph,global_geometry_gate,below_threshold,global_rank_corr,-0.3257824155265718,1
heart_cell_atlas_subsampled,scScope,deep,global_geometry_gate,below_threshold,global_rank_corr,-0.27028472745218296,1
heart_cell_atlas_subsampled,t-SNE,relational,global_geometry_gate,pass,global_rank_corr,0.11260080661080615,1
