dataset_id,method,family,local_relative_margin,trust_relative_margin
heart_cell_atlas_subsampled,GLM-PCA,factor,-0.83075,-0.0704939060911231
heart_cell_atlas_subsampled,PCA,factor,-0.8271111111111112,-0.09337233783237919
heart_cell_atlas_subsampled,PHATE,graph,-0.32219444444444434,0.04950052697802489
heart_cell_atlas_subsampled,PaCMAP,relational,-0.22911111111111132,0.07401327659613975
heart_cell_atlas_subsampled,SAUCIE,deep,-0.780777777777778,-0.027099609293385184
heart_cell_atlas_subsampled,UMAP,graph,-0.13349999999999992,0.07441333997279198
heart_cell_atlas_subsampled,scScope,deep,-0.672277777777778,0.001229640540628438
heart_cell_atlas_subsampled,t-SNE,relational,0.2937222222222221,0.0926368088346589
paul15,GLM-PCA,factor,-0.7923483923483926,-0.07073047627166577
paul15,PCA,factor,-0.7170533170533173,-0.054255875607925885
paul15,PHATE,graph,-0.6946682946682946,-0.04682988480550364
paul15,PaCMAP,relational,-0.40472120472120504,0.020113277520000805
paul15,SAUCIE,deep,-0.6520146520146519,-0.03414827133580976
paul15,UMAP,graph,-0.361660561660562,0.012071278245394668
paul15,scScope,deep,-0.748717948717949,-0.04384231838978785
paul15,t-SNE,relational,0.02124542124542106,0.04391211136685823
pbmc3k,GLM-PCA,factor,-0.8548563726729003,-0.11222955030869082
pbmc3k,PCA,factor,-0.8163591946761016,-0.10464877934932448
pbmc3k,PHATE,graph,-0.699856793867408,-0.07502275765735107
pbmc3k,PaCMAP,relational,-0.621177659843316,-0.039511964152132796
pbmc3k,SAUCIE,deep,-0.7501474180776684,-0.06491725715774302
pbmc3k,UMAP,graph,-0.605509224159717,-0.047774710493874654
pbmc3k,scScope,deep,-0.8790329374104963,-0.16065780220007955
pbmc3k,t-SNE,relational,-0.27958891416055964,-0.010565018606918386
