method,metric,mean_threshold_margin,min_threshold_margin,max_threshold_margin,n_rows
GLM-PCA,cell_type_label_recall,0.24802500000000005,0.24802500000000005,0.24802500000000005,1
GLM-PCA,donor_entropy_norm,0.1103682278671897,0.1103682278671897,0.1103682278671897,1
GLM-PCA,global_rank_corr,0.11700933160762207,0.06736442636024415,0.20305932309510727,3
GLM-PCA,label_neighbor_recall,0.18566532672042524,-0.004334554334554319,0.31330553449583,3
GLM-PCA,local_retention,-0.2477954765021293,-0.2564569118018701,-0.23770451770451778,3
GLM-PCA,pseudotime_neighborhood_retention,0.09941275695825036,0.09941275695825036,0.09941275695825036,1
GLM-PCA,pseudotime_rank_corr,-0.05431731892273611,-0.05431731892273611,-0.05431731892273611,1
GLM-PCA,trustworthiness,-0.0760361798014439,-0.10100659527782174,-0.0634445154820108,3
PCA,cell_type_label_recall,0.15642499999999993,0.15642499999999993,0.15642499999999993,1
PCA,donor_entropy_norm,0.13662846977417964,0.13662846977417964,0.13662846977417964,1
PCA,global_rank_corr,0.2458937618438252,0.20164168134206123,0.28857278926008884,3
PCA,label_neighbor_recall,0.06512670145609872,-0.20467643467643476,0.243631539044731,3
PCA,local_retention,-0.23605236228405302,-0.24813333333333337,-0.2151159951159952,3
PCA,pseudotime_neighborhood_retention,0.14965608270283315,0.14965608270283315,0.14965608270283315,1
PCA,pseudotime_rank_corr,-0.097257176837163,-0.097257176837163,-0.097257176837163,1
PCA,trustworthiness,-0.07568309783688887,-0.09418390141439204,-0.0488302880471333,3
PHATE,cell_type_label_recall,0.3880083333333332,0.3880083333333332,0.3880083333333332,1
PHATE,donor_entropy_norm,0.02578975169855391,0.02578975169855391,0.02578975169855391,1
PHATE,global_rank_corr,0.11082691781290993,0.0849083992108493,0.15130206843796407,3
PHATE,label_neighbor_recall,0.1979556391696081,-0.17161172161172167,0.3880083333333332,3
PHATE,local_retention,-0.17167195329801468,-0.20995703816022238,-0.09665833333333329,3
PHATE,pseudotime_neighborhood_retention,0.31719278986641153,0.31719278986641153,0.31719278986641153,1
PHATE,pseudotime_rank_corr,-0.15536949253699733,-0.15536949253699733,-0.15536949253699733,1
PHATE,trustworthiness,-0.021705634645448946,-0.06752048189161597,0.04455047428022241,3
PaCMAP,cell_type_label_recall,0.3998083333333333,0.3998083333333333,0.3998083333333333,1
PaCMAP,donor_entropy_norm,-0.00810830813909158,-0.00810830813909158,-0.00810830813909158,1
PaCMAP,global_rank_corr,0.17574782488625104,0.11289777292443953,0.23323591274101557,3
PaCMAP,label_neighbor_recall,0.2514914667149883,-0.012417582417582507,0.3998083333333333,3
PaCMAP,local_retention,-0.12550099756756325,-0.1863532979529948,-0.0687333333333334,3
PaCMAP,pseudotime_neighborhood_retention,0.2938118041927241,0.2938118041927241,0.2938118041927241,1
PaCMAP,pseudotime_rank_corr,-0.12821807486777254,-0.12821807486777254,-0.12821807486777254,1
PaCMAP,trustworthiness,0.016384376989202327,-0.03556076773691952,0.06661194893652578,3
SAUCIE,cell_type_label_recall,0.307975,0.307975,0.307975,1
SAUCIE,donor_entropy_norm,0.11074221255202976,0.11074221255202976,0.11074221255202976,1
SAUCIE,global_rank_corr,0.11962166911711193,0.04778152760704818,0.18976366710409004,3
SAUCIE,label_neighbor_recall,0.20757288021907053,-0.04594627594627598,0.3606899166034876,3
SAUCIE,local_retention,-0.21829398478700981,-0.2342333333333334,-0.19560439560439558,3
SAUCIE,pseudotime_neighborhood_retention,0.12159706868233466,0.12159706868233466,0.12159706868233466,1
SAUCIE,pseudotime_rank_corr,-0.20523224062467102,-0.20523224062467102,-0.20523224062467102,1
SAUCIE,trustworthiness,-0.03784954133608139,-0.058425531441968714,-0.024389648364046668,3
UMAP,cell_type_label_recall,0.4007250000000001,0.4007250000000001,0.4007250000000001,1
UMAP,donor_entropy_norm,-0.005827694493917623,-0.005827694493917623,-0.005827694493917623,1
UMAP,global_rank_corr,0.03870690742189853,-0.14660208698695731,0.1880401249714217,3
UMAP,label_neighbor_recall,0.2432871035255986,-0.04269841269841268,0.4007250000000001,3
UMAP,local_retention,-0.1100669785820279,-0.18165276724791507,-0.040049999999999975,3
UMAP,pseudotime_neighborhood_retention,0.31417160299563385,0.31417160299563385,0.31417160299563385,1
UMAP,pseudotime_rank_corr,-0.18665020325248372,-0.18665020325248372,-0.18665020325248372,1
UMAP,trustworthiness,0.011612972317293599,-0.04299723944448719,0.06697200597551278,3
scScope,cell_type_label_recall,0.30428333333333324,0.30428333333333324,0.30428333333333324,1
scScope,donor_entropy_norm,0.0008013174427773384,0.0008013174427773384,0.0008013174427773384,1
scScope,global_rank_corr,-0.07093636515111372,-0.18593955851987032,0.0947585904200115,3
scScope,label_neighbor_recall,0.17670946124748244,0.059645909645909656,0.30428333333333324,3
scScope,local_retention,-0.2300028663906223,-0.26370988122314887,-0.20168333333333338,3
scScope,pseudotime_neighborhood_retention,0.12153116436130529,0.12153116436130529,0.12153116436130529,1
scScope,pseudotime_rank_corr,-0.2410982037007781,-0.2410982037007781,-0.2410982037007781,1
scScope,trustworthiness,-0.06098114401477169,-0.1445920219800716,0.0011066764865655943,3
t-SNE,cell_type_label_recall,0.41175833333333356,0.41175833333333356,0.41175833333333356,1
t-SNE,donor_entropy_norm,-0.050026741281035014,-0.050026741281035014,-0.050026741281035014,1
t-SNE,global_rank_corr,0.11995211684256263,0.05067036297486277,0.1716594588886569,3
t-SNE,label_neighbor_recall,0.24971584611650954,-0.027167277167277293,0.41175833333333356,3
t-SNE,local_retention,0.0035378729307083503,-0.08387667424816789,0.08811666666666662,3
t-SNE,pseudotime_neighborhood_retention,0.2887999787163842,0.2887999787163842,0.2887999787163842,1
t-SNE,pseudotime_rank_corr,-0.2215612168021408,-0.2215612168021408,-0.2215612168021408,1
t-SNE,trustworthiness,0.037795170478379624,-0.009508516746226547,0.083373127951193,3
