dataset_id,method,family,seed,label,n_cells_label,label_knn_recall,k,score_definition,max_marker_z,marker_supported,neighbour_supported,evidence_definition,dual_supported,dual_supported_numeric
pbmc3k,PCA,factor,0,B cells,342,0.9674463937621832,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.6135447815472754,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall,True,1.0
pbmc3k,PCA,factor,0,CD14+ Monocytes,480,0.8531944444444445,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.005483740713176,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall,True,1.0
pbmc3k,PCA,factor,0,CD4 T cells,1144,0.8747086247086248,15,fraction of same-label cells among embedding neighbours for cells in the target label,1.7858493412385443,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall,True,1.0
pbmc3k,PCA,factor,0,CD8 T cells,316,0.4835443037974684,15,fraction of same-label cells among embedding neighbours for cells in the target label,1.6425056746997242,True,False,marker support is max marker-program z-score by label; neighbour support is label kNN recall,False,0.0
pbmc3k,PCA,factor,0,Dendritic cells,37,0.0810810810810811,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.1083136043309576,True,False,marker support is max marker-program z-score by label; neighbour support is label kNN recall,False,0.0
pbmc3k,PCA,factor,0,FCGR3A+ Monocytes,150,0.5257777777777778,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.5162981614621054,True,False,marker support is max marker-program z-score by label; neighbour support is label kNN recall,False,0.0
pbmc3k,PCA,factor,0,Megakaryocytes,15,0.52,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.645504882252236,True,False,marker support is max marker-program z-score by label; neighbour support is label kNN recall,False,0.0
pbmc3k,PCA,factor,0,NK cells,154,0.7147186147186146,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.4709498651259416,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall,True,1.0
pbmc3k,GLM-PCA,factor,0,B cells,342,0.9830409356725146,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.6135447815472754,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall,True,1.0
pbmc3k,GLM-PCA,factor,0,CD14+ Monocytes,480,0.8608333333333333,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.005483740713176,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall,True,1.0
pbmc3k,GLM-PCA,factor,0,CD4 T cells,1144,0.9233682983682984,15,fraction of same-label cells among embedding neighbours for cells in the target label,1.7858493412385443,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall,True,1.0
pbmc3k,GLM-PCA,factor,0,CD8 T cells,316,0.6932489451476793,15,fraction of same-label cells among embedding neighbours for cells in the target label,1.6425056746997242,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall,True,1.0
pbmc3k,GLM-PCA,factor,0,Dendritic cells,37,0.6072072072072072,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.1083136043309576,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall,True,1.0
pbmc3k,GLM-PCA,factor,0,FCGR3A+ Monocytes,150,0.5519999999999999,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.5162981614621054,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall,True,1.0
pbmc3k,GLM-PCA,factor,0,Megakaryocytes,15,0.8711111111111112,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.645504882252236,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall,True,1.0
pbmc3k,GLM-PCA,factor,0,NK cells,154,0.8718614718614719,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.4709498651259416,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall,True,1.0
pbmc3k,scScope,deep,0,B cells,342,0.6857699805068227,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.6135447815472754,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall,True,1.0
pbmc3k,scScope,deep,0,CD14+ Monocytes,480,0.7990277777777778,15,fraction of same-label cells among embedding neighbours for cells in the target label,2.005483740713176,True,True,marker support is max marker-program z-score by label; neighbour support is label kNN recall,True,1.0
