label,label_knn_recall,n_cells_coordinate,method,max_marker_z,n_cells_label,mean_label_knn_recall,descriptive_label_level_spearman_rho
Adipocytes,0.46850574712643683,145,PCA,3.113289830882111,145,0.8109195402298851,-0.43636363636363645
Atrial_Cardiomyocyte,0.3613588110403397,471,PCA,1.9813405701236944,471,0.8333687190375089,-0.43636363636363645
Endothelial,0.8030673655600855,1717,PCA,3.1492613661284863,1717,0.9302902349058435,-0.43636363636363645
Fibroblast,0.7765129211645404,1019,PCA,2.8847008012358715,1019,0.9134118416748446,-0.43636363636363645
Lymphoid,0.5243445692883895,267,PCA,3.152605665433092,267,0.7232521847690387,-0.43636363636363645
Mesothelial,0.050980392156862744,17,PCA,3.16137639066233,17,0.5274509803921569,-0.43636363636363645
Myeloid,0.6535021097046413,395,PCA,3.1472357646986318,395,0.8117721518987342,-0.43636363636363645
Neuronal,0.13943355119825707,153,PCA,3.135786147397723,153,0.6249455337690631,-0.43636363636363645
Pericytes,0.6787425149700599,1336,PCA,1.9382309883611744,1336,0.8288111277445109,-0.43636363636363645
Smooth_muscle_cells,0.161941251596424,261,PCA,3.0740527197288,261,0.4946040868454662,-0.43636363636363645
Ventricular_Cardiomyocyte,0.8441039507285564,2219,PCA,2.2296228155609032,2219,0.9538793750938861,-0.43636363636363645
Adipocytes,0.6114942528735633,145,GLM-PCA,3.113289830882111,145,0.8109195402298851,-0.43636363636363645
Atrial_Cardiomyocyte,0.7070063694267515,471,GLM-PCA,1.9813405701236944,471,0.8333687190375089,-0.43636363636363645
Endothelial,0.9214133178023685,1717,GLM-PCA,3.1492613661284863,1717,0.9302902349058435,-0.43636363636363645
Fibroblast,0.8802747791952895,1019,GLM-PCA,2.8847008012358715,1019,0.9134118416748446,-0.43636363636363645
Lymphoid,0.4878901373283395,267,GLM-PCA,3.152605665433092,267,0.7232521847690387,-0.43636363636363645
Mesothelial,0.03529411764705882,17,GLM-PCA,3.16137639066233,17,0.5274509803921569,-0.43636363636363645
Myeloid,0.5863291139240506,395,GLM-PCA,3.1472357646986318,395,0.8117721518987342,-0.43636363636363645
Neuronal,0.4562091503267974,153,GLM-PCA,3.135786147397723,153,0.6249455337690631,-0.43636363636363645
Pericytes,0.7223552894211577,1336,GLM-PCA,1.9382309883611744,1336,0.8288111277445109,-0.43636363636363645
Smooth_muscle_cells,0.2656449553001277,261,GLM-PCA,3.0740527197288,261,0.4946040868454662,-0.43636363636363645
Ventricular_Cardiomyocyte,0.9056031245305693,2219,GLM-PCA,2.2296228155609032,2219,0.9538793750938861,-0.43636363636363645
Adipocytes,0.8068965517241379,145,scScope,3.113289830882111,145,0.8109195402298851,-0.43636363636363645
Atrial_Cardiomyocyte,0.8131634819532909,471,scScope,1.9813405701236944,471,0.8333687190375089,-0.43636363636363645
Endothelial,0.8772277227722772,1717,scScope,3.1492613661284863,1717,0.9302902349058435,-0.43636363636363645
Fibroblast,0.8766110565914295,1019,scScope,2.8847008012358715,1019,0.9134118416748446,-0.43636363636363645
Lymphoid,0.7250936329588015,267,scScope,3.152605665433092,267,0.7232521847690387,-0.43636363636363645
Mesothelial,0.25882352941176473,17,scScope,3.16137639066233,17,0.5274509803921569,-0.43636363636363645
Myeloid,0.7979746835443038,395,scScope,3.1472357646986318,395,0.8117721518987342,-0.43636363636363645
Neuronal,0.6518518518518519,153,scScope,3.135786147397723,153,0.6249455337690631,-0.43636363636363645
Pericytes,0.7860279441117766,1336,scScope,1.9382309883611744,1336,0.8288111277445109,-0.43636363636363645
Smooth_muscle_cells,0.49399744572158366,261,scScope,3.0740527197288,261,0.4946040868454662,-0.43636363636363645
Ventricular_Cardiomyocyte,0.9518401682439537,2219,scScope,2.2296228155609032,2219,0.9538793750938861,-0.43636363636363645
Adipocytes,0.8795402298850574,145,SAUCIE,3.113289830882111,145,0.8109195402298851,-0.43636363636363645
Atrial_Cardiomyocyte,0.9391365888181175,471,SAUCIE,1.9813405701236944,471,0.8333687190375089,-0.43636363636363645
Endothelial,0.9400893030479519,1717,SAUCIE,3.1492613661284863,1717,0.9302902349058435,-0.43636363636363645
Fibroblast,0.8942754334314688,1019,SAUCIE,2.8847008012358715,1019,0.9134118416748446,-0.43636363636363645
Lymphoid,0.5720349563046192,267,SAUCIE,3.152605665433092,267,0.7232521847690387,-0.43636363636363645
Mesothelial,0.023529411764705882,17,SAUCIE,3.16137639066233,17,0.5274509803921569,-0.43636363636363645
Myeloid,0.7380590717299579,395,SAUCIE,3.1472357646986318,395,0.8117721518987342,-0.43636363636363645
Neuronal,0.2383442265795207,153,SAUCIE,3.135786147397723,153,0.6249455337690631,-0.43636363636363645
Pericytes,0.7929141716566865,1336,SAUCIE,1.9382309883611744,1336,0.8288111277445109,-0.43636363636363645
Smooth_muscle_cells,0.24521072796934865,261,SAUCIE,3.0740527197288,261,0.4946040868454662,-0.43636363636363645
Ventricular_Cardiomyocyte,0.975214060387562,2219,SAUCIE,2.2296228155609032,2219,0.9538793750938861,-0.43636363636363645
Adipocytes,0.9278160919540229,145,UMAP,3.113289830882111,145,0.8109195402298851,-0.43636363636363645
Atrial_Cardiomyocyte,0.9698513800424629,471,UMAP,1.9813405701236944,471,0.8333687190375089,-0.43636363636363645
Endothelial,0.9726266744321491,1717,UMAP,3.1492613661284863,1717,0.9302902349058435,-0.43636363636363645
Fibroblast,0.9738959764474975,1019,UMAP,2.8847008012358715,1019,0.9134118416748446,-0.43636363636363645
Lymphoid,0.8908863920099875,267,UMAP,3.152605665433092,267,0.7232521847690387,-0.43636363636363645
Mesothelial,1.0,17,UMAP,3.16137639066233,17,0.5274509803921569,-0.43636363636363645
Myeloid,0.9363713080168776,395,UMAP,3.1472357646986318,395,0.8117721518987342,-0.43636363636363645
Neuronal,0.8923747276688453,153,UMAP,3.135786147397723,153,0.6249455337690631,-0.43636363636363645
Pericytes,0.9126746506986028,1336,UMAP,1.9382309883611744,1336,0.8288111277445109,-0.43636363636363645
Smooth_muscle_cells,0.6904214559386973,261,UMAP,3.0740527197288,261,0.4946040868454662,-0.43636363636363645
Ventricular_Cardiomyocyte,0.9860898302538681,2219,UMAP,2.2296228155609032,2219,0.9538793750938861,-0.43636363636363645
Adipocytes,0.9232183908045978,145,PHATE,3.113289830882111,145,0.8109195402298851,-0.43636363636363645
Atrial_Cardiomyocyte,0.9203113941967445,471,PHATE,1.9813405701236944,471,0.8333687190375089,-0.43636363636363645
Endothelial,0.9770141720054358,1717,PHATE,3.1492613661284863,1717,0.9302902349058435,-0.43636363636363645
Fibroblast,0.9614000654236179,1019,PHATE,2.8847008012358715,1019,0.9134118416748446,-0.43636363636363645
Lymphoid,0.7932584269662922,267,PHATE,3.152605665433092,267,0.7232521847690387,-0.43636363636363645
Mesothelial,0.9176470588235294,17,PHATE,3.16137639066233,17,0.5274509803921569,-0.43636363636363645
Myeloid,0.8884388185654009,395,PHATE,3.1472357646986318,395,0.8117721518987342,-0.43636363636363645
Neuronal,0.8444444444444443,153,PHATE,3.135786147397723,153,0.6249455337690631,-0.43636363636363645
Pericytes,0.900998003992016,1336,PHATE,1.9382309883611744,1336,0.8288111277445109,-0.43636363636363645
Smooth_muscle_cells,0.6357598978288633,261,PHATE,3.0740527197288,261,0.4946040868454662,-0.43636363636363645
Ventricular_Cardiomyocyte,0.9881027489860297,2219,PHATE,2.2296228155609032,2219,0.9538793750938861,-0.43636363636363645
Adipocytes,0.9457471264367816,145,t-SNE,3.113289830882111,145,0.8109195402298851,-0.43636363636363645
Atrial_Cardiomyocyte,0.9776362349610757,471,t-SNE,1.9813405701236944,471,0.8333687190375089,-0.43636363636363645
Endothelial,0.9785672684915551,1717,t-SNE,3.1492613661284863,1717,0.9302902349058435,-0.43636363636363645
Fibroblast,0.9774288518155054,1019,t-SNE,2.8847008012358715,1019,0.9134118416748446,-0.43636363636363645
Lymphoid,0.8913857677902621,267,t-SNE,3.152605665433092,267,0.7232521847690387,-0.43636363636363645
Mesothelial,0.9882352941176471,17,t-SNE,3.16137639066233,17,0.5274509803921569,-0.43636363636363645
Myeloid,0.9426160337552743,395,t-SNE,3.1472357646986318,395,0.8117721518987342,-0.43636363636363645
Neuronal,0.914161220043573,153,t-SNE,3.135786147397723,153,0.6249455337690631,-0.43636363636363645
Pericytes,0.9297405189620759,1336,t-SNE,1.9382309883611744,1336,0.8288111277445109,-0.43636363636363645
Smooth_muscle_cells,0.7808429118773946,261,t-SNE,3.0740527197288,261,0.4946040868454662,-0.43636363636363645
Ventricular_Cardiomyocyte,0.9915277151870211,2219,t-SNE,2.2296228155609032,2219,0.9538793750938861,-0.43636363636363645
Adipocytes,0.9241379310344827,145,PaCMAP,3.113289830882111,145,0.8109195402298851,-0.43636363636363645
Atrial_Cardiomyocyte,0.9784854918612881,471,PaCMAP,1.9813405701236944,471,0.8333687190375089,-0.43636363636363645
Endothelial,0.9723160551349253,1717,PaCMAP,3.1492613661284863,1717,0.9302902349058435,-0.43636363636363645
Fibroblast,0.9668956493294079,1019,PaCMAP,2.8847008012358715,1019,0.9134118416748446,-0.43636363636363645
Lymphoid,0.9011235955056179,267,PaCMAP,3.152605665433092,267,0.7232521847690387,-0.43636363636363645
Mesothelial,0.9450980392156862,17,PaCMAP,3.16137639066233,17,0.5274509803921569,-0.43636363636363645
Myeloid,0.9508860759493671,395,PaCMAP,3.1472357646986318,395,0.8117721518987342,-0.43636363636363645
Neuronal,0.8627450980392157,153,PaCMAP,3.135786147397723,153,0.6249455337690631,-0.43636363636363645
Pericytes,0.9070359281437126,1336,PaCMAP,1.9382309883611744,1336,0.8288111277445109,-0.43636363636363645
Smooth_muscle_cells,0.68301404853129,261,PaCMAP,3.0740527197288,261,0.4946040868454662,-0.43636363636363645
Ventricular_Cardiomyocyte,0.9885534024335286,2219,PaCMAP,2.2296228155609032,2219,0.9538793750938861,-0.43636363636363645
