method,perturbation,level,metric,mean_relative_margin,minimum_relative_margin,maximum_relative_margin,n_replicates
PCA,dropout,0.2,global_rank_corr,0.2694137556390621,0.2585593773068012,0.2802681339713231,2
PCA,dropout,0.2,label_neighbor_recall,0.4192570128885519,0.4104349024743263,0.4280791233027774,2
PCA,dropout,0.2,local_retention,-0.8427680903041026,-0.843736837671637,-0.8417993429365683,2
PCA,dropout,0.2,trustworthiness,-0.13944900241866046,-0.14094011150997077,-0.13795789332735015,2
PCA,dropout,0.4,global_rank_corr,0.09944450950706846,0.09574069478557003,0.1031483242285669,2
PCA,dropout,0.4,label_neighbor_recall,0.3657729685023089,0.3528614423231557,0.3786844946814621,2
PCA,dropout,0.4,local_retention,-0.8689663886782919,-0.8744840367281613,-0.8634487406284224,2
PCA,dropout,0.4,trustworthiness,-0.19147464733885874,-0.19215902801300513,-0.19079026666471235,2
PCA,noise,0.2,global_rank_corr,0.803933463829045,0.8006412435852885,0.8072256840728015,2
PCA,noise,0.2,label_neighbor_recall,0.331449445171962,0.3225813862659957,0.3403175040779283,2
PCA,noise,0.2,local_retention,-0.6645606941285487,-0.6646449330300734,-0.664476455227024,2
PCA,noise,0.2,trustworthiness,-0.030695775207014844,-0.0312958847659074,-0.030095665648122282,2
PCA,noise,0.4,global_rank_corr,0.929573579416763,0.9232513631128739,0.9358957957206521,2
PCA,noise,0.4,label_neighbor_recall,0.3481057734279872,0.3417878558136329,0.35442369104234156,2
PCA,noise,0.4,local_retention,-0.6015078763372926,-0.6034874905231237,-0.5995282621514616,2
PCA,noise,0.4,trustworthiness,-0.0054051630769029625,-0.007786595212320415,-0.003023730941485509,2
PHATE,dropout,0.2,global_rank_corr,0.008410077776539399,-0.0262424142064256,0.0430625697595044,2
PHATE,dropout,0.2,label_neighbor_recall,0.570932984124796,0.5377122245962275,0.6041537436533645,2
PHATE,dropout,0.2,local_retention,-0.7842220537444191,-0.7927723022491787,-0.7756718052396596,2
PHATE,dropout,0.2,trustworthiness,-0.12675661061961016,-0.13039052327927816,-0.12312269795994214,2
PHATE,dropout,0.4,global_rank_corr,-0.13511036194334763,-0.1385317485642222,-0.1316889753224731,2
PHATE,dropout,0.4,label_neighbor_recall,0.47186803593172044,0.46952466285294175,0.47421140901049913,2
PHATE,dropout,0.4,local_retention,-0.8214977676691096,-0.8257939516468706,-0.8172015836913487,2
PHATE,dropout,0.4,trustworthiness,-0.17830522927074727,-0.1817080245311843,-0.17490243401031028,2
PHATE,noise,0.2,global_rank_corr,0.3503730390088976,0.3104150705006693,0.39033100751712585,2
PHATE,noise,0.2,label_neighbor_recall,0.604176717899235,0.6027293404094011,0.6056240953890689,2
PHATE,noise,0.2,local_retention,-0.5440990649481932,-0.5608626063516133,-0.527335523544773,2
PHATE,noise,0.2,trustworthiness,-0.013460576489379027,-0.021161928805618624,-0.005759224173139429,2
PHATE,noise,0.4,global_rank_corr,0.4174206518437689,0.38789082547837084,0.446950478209167,2
PHATE,noise,0.4,label_neighbor_recall,0.5743331725136119,0.5654651136076454,0.5832012314195785,2
PHATE,noise,0.4,local_retention,-0.47658158537612694,-0.47712913823603764,-0.4760340325162163,2
PHATE,noise,0.4,trustworthiness,0.008744948283273978,0.007030517515168218,0.010459379051379737,2
PaCMAP,dropout,0.2,global_rank_corr,0.2469389677797737,0.23616397419357046,0.25771396136597696,2
PaCMAP,dropout,0.2,label_neighbor_recall,0.6359041514462287,0.6263928136558917,0.6454154892365657,2
PaCMAP,dropout,0.2,local_retention,-0.6872209586386995,-0.6873051975402243,-0.6871367197371746,2
PaCMAP,dropout,0.2,trustworthiness,-0.07655517548724208,-0.07674014671957669,-0.07637020425490748,2
PaCMAP,dropout,0.4,global_rank_corr,0.040110581366817145,0.027134360609871486,0.05308680212376281,2
PaCMAP,dropout,0.4,label_neighbor_recall,0.56450019528109,0.5614675948261999,0.5675327957359799,2
PaCMAP,dropout,0.4,local_retention,-0.7613511919804566,-0.7626990144048523,-0.760003369556061,2
PaCMAP,dropout,0.4,trustworthiness,-0.13174041275128928,-0.13218143480915706,-0.13129939069342147,2
PaCMAP,noise,0.2,global_rank_corr,0.4454486640069255,0.4236204414273201,0.4672768865865309,2
PaCMAP,noise,0.2,label_neighbor_recall,0.6486778321501596,0.6467020470053069,0.6506536172950123,2
PaCMAP,noise,0.2,local_retention,-0.4681155757728922,-0.47325414876590033,-0.462977002779884,2
PaCMAP,noise,0.2,trustworthiness,0.016913743284175754,0.015935884800268862,0.01789160176808265,2
PaCMAP,noise,0.4,global_rank_corr,0.4619547986876005,0.440979297559933,0.48293029981526797,2
PaCMAP,noise,0.4,label_neighbor_recall,0.6379029108369518,0.6365014818388585,0.6393043398350451,2
PaCMAP,noise,0.4,local_retention,-0.41234942296352467,-0.41234942296352467,-0.41234942296352467,2
PaCMAP,noise,0.4,trustworthiness,0.03180763743490886,0.031134687265628427,0.032480587604189294,2
UMAP,dropout,0.2,global_rank_corr,-0.07460187525506325,-0.18223976709470316,0.033036016584576666,2
UMAP,dropout,0.2,label_neighbor_recall,0.6356514347416542,0.6267144530980767,0.6445884163852318,2
UMAP,dropout,0.2,local_retention,-0.6723106730688233,-0.6746693623115156,-0.669951983826131,2
UMAP,dropout,0.2,trustworthiness,-0.09003586408147196,-0.09275775775050245,-0.08731397041244149,2
UMAP,dropout,0.4,global_rank_corr,-0.15795453044866736,-0.2001114416297509,-0.11579761926758383,2
UMAP,dropout,0.4,label_neighbor_recall,0.5592161187309026,0.5570105911273461,0.561421646334459,2
UMAP,dropout,0.4,local_retention,-0.7347316990986439,-0.7375115828489597,-0.731951815348328,2
UMAP,dropout,0.4,trustworthiness,-0.15180149642435659,-0.15246024570807098,-0.15114274714064221,2
UMAP,noise,0.2,global_rank_corr,0.3512115011606922,0.3152920295989186,0.3871309727224659,2
UMAP,noise,0.2,label_neighbor_recall,0.6470236864474923,0.6461047166126769,0.6479426562823076,2
UMAP,noise,0.2,local_retention,-0.4223317327942045,-0.4270912307303513,-0.41757223485805767,2
UMAP,noise,0.2,trustworthiness,0.009949382030612722,0.009298449945153288,0.010600314116072157,2
UMAP,noise,0.4,global_rank_corr,0.3206502405443581,0.28866567184738406,0.35263480924133217,2
UMAP,noise,0.4,label_neighbor_recall,0.6416477129138232,0.6412341764881562,0.64206124933949,2
UMAP,noise,0.4,local_retention,-0.35178165276724804,-0.3552354477297617,-0.34832785780473435,2
UMAP,noise,0.4,trustworthiness,0.02600021615412204,0.024470633132389494,0.027529799175854592,2
