method,claim_gate,failure_fraction,n_rows
GLM-PCA,continuum_gate,1.0,1
GLM-PCA,donor_aware_gate,0.0,1
GLM-PCA,global_geometry_gate,0.0,3
GLM-PCA,label_support_gate,0.3333333333333333,3
GLM-PCA,local_neighbourhood_gate,1.0,3
PCA,continuum_gate,1.0,1
PCA,donor_aware_gate,0.0,1
PCA,global_geometry_gate,0.0,3
PCA,label_support_gate,0.3333333333333333,3
PCA,local_neighbourhood_gate,1.0,3
PHATE,continuum_gate,1.0,1
PHATE,donor_aware_gate,0.0,1
PHATE,global_geometry_gate,0.0,3
PHATE,label_support_gate,0.3333333333333333,3
PHATE,local_neighbourhood_gate,1.0,3
PaCMAP,continuum_gate,1.0,1
PaCMAP,donor_aware_gate,1.0,1
PaCMAP,global_geometry_gate,0.0,3
PaCMAP,label_support_gate,0.3333333333333333,3
PaCMAP,local_neighbourhood_gate,1.0,3
SAUCIE,continuum_gate,1.0,1
SAUCIE,donor_aware_gate,0.0,1
SAUCIE,global_geometry_gate,0.0,3
SAUCIE,label_support_gate,0.3333333333333333,3
SAUCIE,local_neighbourhood_gate,1.0,3
UMAP,continuum_gate,1.0,1
UMAP,donor_aware_gate,1.0,1
UMAP,global_geometry_gate,0.3333333333333333,3
UMAP,label_support_gate,0.3333333333333333,3
UMAP,local_neighbourhood_gate,1.0,3
scScope,continuum_gate,1.0,1
scScope,donor_aware_gate,0.0,1
scScope,global_geometry_gate,0.6666666666666666,3
scScope,label_support_gate,0.0,3
scScope,local_neighbourhood_gate,1.0,3
t-SNE,continuum_gate,1.0,1
t-SNE,donor_aware_gate,1.0,1
t-SNE,global_geometry_gate,0.0,3
t-SNE,label_support_gate,0.3333333333333333,3
t-SNE,local_neighbourhood_gate,0.6666666666666666,3
