claim_gate,boundary_shift,gained_support,lost_support,net_changed_decisions,n_applicable_decisions
local_neighbourhood_gate,-0.05,1,0,1,24
local_neighbourhood_gate,-0.025,0,0,0,24
local_neighbourhood_gate,0.0,0,0,0,24
local_neighbourhood_gate,0.025,0,1,-1,24
local_neighbourhood_gate,0.05,0,1,-1,24
label_support_gate,-0.05,5,0,5,24
label_support_gate,-0.025,2,0,2,24
label_support_gate,0.0,0,0,0,24
label_support_gate,0.025,0,0,0,24
label_support_gate,0.05,0,0,0,24
global_geometry_gate,-0.05,0,0,0,24
global_geometry_gate,-0.025,0,0,0,24
global_geometry_gate,0.0,0,0,0,24
global_geometry_gate,0.025,0,0,0,24
global_geometry_gate,0.05,0,1,-1,24
continuum_gate,-0.05,0,0,0,8
continuum_gate,-0.025,0,0,0,8
continuum_gate,0.0,0,0,0,8
continuum_gate,0.025,0,0,0,8
continuum_gate,0.05,0,0,0,8
donor_aware_gate,-0.05,2,0,2,8
donor_aware_gate,-0.025,2,0,2,8
donor_aware_gate,0.0,0,0,0,8
donor_aware_gate,0.025,0,1,-1,8
donor_aware_gate,0.05,0,2,-2,8
