method,metric,mean_threshold_margin,n_rows
GLM-PCA,cell_type_label_recall,0.24802500000000005,1
GLM-PCA,donor_entropy_norm,0.1103682278671897,1
GLM-PCA,global_rank_corr,0.11700933160762207,3
GLM-PCA,label_neighbor_recall,0.18566532672042524,3
GLM-PCA,local_retention,-0.2477954765021293,3
GLM-PCA,pseudotime_neighborhood_retention,0.09941275695825036,1
GLM-PCA,pseudotime_rank_corr,-0.05431731892273611,1
GLM-PCA,trustworthiness,-0.0760361798014439,3
PCA,cell_type_label_recall,0.15642499999999993,1
PCA,donor_entropy_norm,0.13662846977417964,1
PCA,global_rank_corr,0.2458937618438252,3
PCA,label_neighbor_recall,0.06512670145609872,3
PCA,local_retention,-0.23605236228405302,3
PCA,pseudotime_neighborhood_retention,0.14965608270283315,1
PCA,pseudotime_rank_corr,-0.097257176837163,1
PCA,trustworthiness,-0.07568309783688887,3
PHATE,cell_type_label_recall,0.3880083333333332,1
PHATE,donor_entropy_norm,0.02578975169855391,1
PHATE,global_rank_corr,0.11082691781290993,3
PHATE,label_neighbor_recall,0.1979556391696081,3
PHATE,local_retention,-0.17167195329801468,3
PHATE,pseudotime_neighborhood_retention,0.31719278986641153,1
PHATE,pseudotime_rank_corr,-0.15536949253699733,1
PHATE,trustworthiness,-0.021705634645448946,3
PaCMAP,cell_type_label_recall,0.3998083333333333,1
PaCMAP,donor_entropy_norm,-0.00810830813909158,1
PaCMAP,global_rank_corr,0.17574782488625104,3
PaCMAP,label_neighbor_recall,0.2514914667149883,3
PaCMAP,local_retention,-0.12550099756756325,3
PaCMAP,pseudotime_neighborhood_retention,0.2938118041927241,1
PaCMAP,pseudotime_rank_corr,-0.12821807486777254,1
PaCMAP,trustworthiness,0.016384376989202327,3
SAUCIE,cell_type_label_recall,0.307975,1
SAUCIE,donor_entropy_norm,0.11074221255202976,1
SAUCIE,global_rank_corr,0.11962166911711193,3
SAUCIE,label_neighbor_recall,0.20757288021907053,3
SAUCIE,local_retention,-0.21829398478700981,3
SAUCIE,pseudotime_neighborhood_retention,0.12159706868233466,1
SAUCIE,pseudotime_rank_corr,-0.20523224062467102,1
SAUCIE,trustworthiness,-0.03784954133608139,3
UMAP,cell_type_label_recall,0.4007250000000001,1
UMAP,donor_entropy_norm,-0.005827694493917623,1
UMAP,global_rank_corr,0.03870690742189853,3
UMAP,label_neighbor_recall,0.2432871035255986,3
UMAP,local_retention,-0.1100669785820279,3
UMAP,pseudotime_neighborhood_retention,0.31417160299563385,1
UMAP,pseudotime_rank_corr,-0.18665020325248372,1
UMAP,trustworthiness,0.011612972317293599,3
scScope,cell_type_label_recall,0.30428333333333324,1
scScope,donor_entropy_norm,0.0008013174427773384,1
scScope,global_rank_corr,-0.07093636515111372,3
scScope,label_neighbor_recall,0.17670946124748244,3
scScope,local_retention,-0.2300028663906223,3
scScope,pseudotime_neighborhood_retention,0.12153116436130529,1
scScope,pseudotime_rank_corr,-0.2410982037007781,1
scScope,trustworthiness,-0.06098114401477169,3
t-SNE,cell_type_label_recall,0.41175833333333356,1
t-SNE,donor_entropy_norm,-0.050026741281035014,1
t-SNE,global_rank_corr,0.11995211684256263,3
t-SNE,label_neighbor_recall,0.24971584611650954,3
t-SNE,local_retention,0.0035378729307083503,3
t-SNE,pseudotime_neighborhood_retention,0.2887999787163842,1
t-SNE,pseudotime_rank_corr,-0.2215612168021408,1
t-SNE,trustworthiness,0.037795170478379624,3
