method,claim_axis,failure_fraction,n_rows
GLM-PCA,batch_biology_tradeoff,0.0,1
GLM-PCA,cell_state_support,0.0,6
GLM-PCA,continuum_support,0.5,2
GLM-PCA,rare_state_support,0.0,1
GLM-PCA,truth_geometry,0.3888888888888889,18
PCA,batch_biology_tradeoff,1.0,1
PCA,cell_state_support,0.0,6
PCA,continuum_support,0.5,2
PCA,rare_state_support,0.0,1
PCA,truth_geometry,0.5,18
PHATE,batch_biology_tradeoff,1.0,1
PHATE,cell_state_support,0.0,6
PHATE,continuum_support,0.5,2
PHATE,rare_state_support,0.0,1
PHATE,truth_geometry,0.6666666666666666,18
PaCMAP,batch_biology_tradeoff,1.0,1
PaCMAP,cell_state_support,0.0,6
PaCMAP,continuum_support,0.0,2
PaCMAP,rare_state_support,0.0,1
PaCMAP,truth_geometry,0.6666666666666666,18
SAUCIE,batch_biology_tradeoff,1.0,1
SAUCIE,cell_state_support,0.0,6
SAUCIE,continuum_support,0.0,2
SAUCIE,rare_state_support,0.0,1
SAUCIE,truth_geometry,0.5555555555555556,18
UMAP,batch_biology_tradeoff,1.0,1
UMAP,cell_state_support,0.0,6
UMAP,continuum_support,0.0,2
UMAP,rare_state_support,0.0,1
UMAP,truth_geometry,0.6666666666666666,18
scScope,batch_biology_tradeoff,1.0,1
scScope,cell_state_support,0.0,6
scScope,continuum_support,0.5,2
scScope,rare_state_support,0.0,1
scScope,truth_geometry,0.6666666666666666,18
t-SNE,batch_biology_tradeoff,1.0,1
t-SNE,cell_state_support,0.0,6
t-SNE,continuum_support,0.5,2
t-SNE,rare_state_support,0.0,1
t-SNE,truth_geometry,0.6666666666666666,18
