reference_pca_dimensions,k,analyses,below_boundary,mean_local_retention,below_boundary_fraction
2,5,24,21,0.1864583333,0.875
2,15,24,21,0.2601777778,0.875
2,30,24,18,0.3400333333,0.75
2,50,24,7,0.4148608333,0.2916666667
5,5,24,24,0.1418583333,1
5,15,24,18,0.2528611111,0.75
5,30,24,9,0.3503125,0.375
5,50,24,3,0.4387375,0.125
10,5,24,24,0.146575,1
10,15,24,16,0.2583666667,0.6666666667
10,30,24,8,0.35085,0.3333333333
10,50,24,3,0.4358941667,0.125
20,5,24,22,0.1523833333,0.9166666667
20,15,24,17,0.2534944444,0.7083333333
20,30,24,8,0.3391819444,0.3333333333
20,50,24,3,0.4209725,0.125
50,5,24,20,0.1503416667,0.8333333333
50,15,24,19,0.2306194444,0.7916666667
50,30,24,14,0.3052444444,0.5833333333
50,50,24,5,0.3773725,0.2083333333
