dataset_id,method,permutation,reference_pca_dimensions,k,null_local_retention,evaluation_cells,permutation_seed
pbmc3k,PCA,0,50,15,0.0144,1000,20260714
pbmc3k,PCA,1,50,15,0.0158,1000,20260714
pbmc3k,PCA,2,50,15,0.01673333333,1000,20260714
pbmc3k,PCA,3,50,15,0.01673333333,1000,20260714
pbmc3k,PCA,4,50,15,0.01686666667,1000,20260714
pbmc3k,PCA,5,50,15,0.01586666667,1000,20260714
pbmc3k,PCA,6,50,15,0.0142,1000,20260714
pbmc3k,PCA,7,50,15,0.014,1000,20260714
pbmc3k,PCA,8,50,15,0.01566666667,1000,20260714
pbmc3k,PCA,9,50,15,0.01473333333,1000,20260714
pbmc3k,PCA,10,50,15,0.01366666667,1000,20260714
pbmc3k,PCA,11,50,15,0.01433333333,1000,20260714
pbmc3k,PCA,12,50,15,0.0154,1000,20260714
pbmc3k,PCA,13,50,15,0.01433333333,1000,20260714
pbmc3k,PCA,14,50,15,0.015,1000,20260714
pbmc3k,PCA,15,50,15,0.01513333333,1000,20260714
pbmc3k,PCA,16,50,15,0.0158,1000,20260714
pbmc3k,PCA,17,50,15,0.016,1000,20260714
pbmc3k,PCA,18,50,15,0.01593333333,1000,20260714
pbmc3k,PCA,19,50,15,0.01413333333,1000,20260714
pbmc3k,PCA,20,50,15,0.01466666667,1000,20260714
pbmc3k,PCA,21,50,15,0.01473333333,1000,20260714
pbmc3k,PCA,22,50,15,0.01633333333,1000,20260714
pbmc3k,PCA,23,50,15,0.0146,1000,20260714
pbmc3k,PCA,24,50,15,0.01426666667,1000,20260714
pbmc3k,PCA,25,50,15,0.01346666667,1000,20260714
pbmc3k,PCA,26,50,15,0.01486666667,1000,20260714
pbmc3k,PCA,27,50,15,0.01626666667,1000,20260714
pbmc3k,PCA,28,50,15,0.01493333333,1000,20260714
pbmc3k,PCA,29,50,15,0.0154,1000,20260714
pbmc3k,PCA,30,50,15,0.01646666667,1000,20260714
pbmc3k,PCA,31,50,15,0.01466666667,1000,20260714
pbmc3k,PCA,32,50,15,0.01553333333,1000,20260714
pbmc3k,PCA,33,50,15,0.01466666667,1000,20260714
pbmc3k,PCA,34,50,15,0.01406666667,1000,20260714
pbmc3k,PCA,35,50,15,0.01326666667,1000,20260714
pbmc3k,PCA,36,50,15,0.01246666667,1000,20260714
pbmc3k,PCA,37,50,15,0.01446666667,1000,20260714
pbmc3k,PCA,38,50,15,0.0138,1000,20260714
pbmc3k,PCA,39,50,15,0.01466666667,1000,20260714
pbmc3k,PCA,40,50,15,0.01586666667,1000,20260714
pbmc3k,PCA,41,50,15,0.01593333333,1000,20260714
pbmc3k,PCA,42,50,15,0.013,1000,20260714
pbmc3k,PCA,43,50,15,0.01353333333,1000,20260714
pbmc3k,PCA,44,50,15,0.01453333333,1000,20260714
pbmc3k,PCA,45,50,15,0.01493333333,1000,20260714
pbmc3k,PCA,46,50,15,0.01586666667,1000,20260714
pbmc3k,PCA,47,50,15,0.01433333333,1000,20260714
pbmc3k,PCA,48,50,15,0.01433333333,1000,20260714
pbmc3k,PCA,49,50,15,0.0172,1000,20260714
pbmc3k,PCA,50,50,15,0.01406666667,1000,20260714
pbmc3k,PCA,51,50,15,0.014,1000,20260714
pbmc3k,PCA,52,50,15,0.01453333333,1000,20260714
pbmc3k,PCA,53,50,15,0.01626666667,1000,20260714
pbmc3k,PCA,54,50,15,0.01486666667,1000,20260714
pbmc3k,PCA,55,50,15,0.01486666667,1000,20260714
pbmc3k,PCA,56,50,15,0.01253333333,1000,20260714
pbmc3k,PCA,57,50,15,0.01593333333,1000,20260714
pbmc3k,PCA,58,50,15,0.01533333333,1000,20260714
pbmc3k,PCA,59,50,15,0.01506666667,1000,20260714
pbmc3k,PCA,60,50,15,0.0166,1000,20260714
pbmc3k,PCA,61,50,15,0.0146,1000,20260714
pbmc3k,PCA,62,50,15,0.015,1000,20260714
pbmc3k,PCA,63,50,15,0.0156,1000,20260714
pbmc3k,PCA,64,50,15,0.01346666667,1000,20260714
pbmc3k,PCA,65,50,15,0.01566666667,1000,20260714
pbmc3k,PCA,66,50,15,0.01446666667,1000,20260714
pbmc3k,PCA,67,50,15,0.016,1000,20260714
pbmc3k,PCA,68,50,15,0.01466666667,1000,20260714
pbmc3k,PCA,69,50,15,0.0156,1000,20260714
pbmc3k,PCA,70,50,15,0.0144,1000,20260714
pbmc3k,PCA,71,50,15,0.01193333333,1000,20260714
pbmc3k,PCA,72,50,15,0.01706666667,1000,20260714
pbmc3k,PCA,73,50,15,0.01293333333,1000,20260714
pbmc3k,PCA,74,50,15,0.01633333333,1000,20260714
pbmc3k,PCA,75,50,15,0.01346666667,1000,20260714
pbmc3k,PCA,76,50,15,0.01706666667,1000,20260714
pbmc3k,PCA,77,50,15,0.01393333333,1000,20260714
pbmc3k,PCA,78,50,15,0.01513333333,1000,20260714
pbmc3k,PCA,79,50,15,0.01486666667,1000,20260714
pbmc3k,PCA,80,50,15,0.01353333333,1000,20260714
pbmc3k,PCA,81,50,15,0.01453333333,1000,20260714
pbmc3k,PCA,82,50,15,0.01453333333,1000,20260714
pbmc3k,PCA,83,50,15,0.01553333333,1000,20260714
pbmc3k,PCA,84,50,15,0.01386666667,1000,20260714
pbmc3k,PCA,85,50,15,0.015,1000,20260714
pbmc3k,PCA,86,50,15,0.0154,1000,20260714
pbmc3k,PCA,87,50,15,0.01466666667,1000,20260714
pbmc3k,PCA,88,50,15,0.0148,1000,20260714
pbmc3k,PCA,89,50,15,0.01613333333,1000,20260714
pbmc3k,PCA,90,50,15,0.01366666667,1000,20260714
pbmc3k,PCA,91,50,15,0.01546666667,1000,20260714
pbmc3k,PCA,92,50,15,0.015,1000,20260714
pbmc3k,PCA,93,50,15,0.01646666667,1000,20260714
pbmc3k,PCA,94,50,15,0.01546666667,1000,20260714
pbmc3k,PCA,95,50,15,0.01406666667,1000,20260714
pbmc3k,PCA,96,50,15,0.01486666667,1000,20260714
pbmc3k,PCA,97,50,15,0.01573333333,1000,20260714
pbmc3k,PCA,98,50,15,0.0162,1000,20260714
pbmc3k,PCA,99,50,15,0.01573333333,1000,20260714
pbmc3k,GLM-PCA,0,50,15,0.01413333333,1000,20260714
pbmc3k,GLM-PCA,1,50,15,0.01566666667,1000,20260714
pbmc3k,GLM-PCA,2,50,15,0.01613333333,1000,20260714
pbmc3k,GLM-PCA,3,50,15,0.01566666667,1000,20260714
