dataset_id,method,navigation_group,reference_pca_dimensions,k,local_retention,analytic_random_expectation,normalised_excess_overlap,fixed_operational_boundary,meets_boundary,evaluation_cells,n_definition
pbmc3k,PCA,factor,2,5,1,0.005005005005,1,0.3,True,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,GLM-PCA,factor,2,5,0.034,0.005005005005,0.02914084507,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,scScope,deep,2,5,0.0282,0.005005005005,0.02331167002,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,SAUCIE,deep,2,5,0.064,0.005005005005,0.0592917505,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,UMAP,graph,2,5,0.0576,0.005005005005,0.05285955734,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PHATE,graph,2,5,0.0594,0.005005005005,0.05466861167,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,t-SNE,relational,2,5,0.0554,0.005005005005,0.05064849095,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PaCMAP,relational,2,5,0.0604,0.005005005005,0.05567364185,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PCA,factor,2,15,1,0.01501501502,1,0.3,True,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,GLM-PCA,factor,2,15,0.08126666667,0.01501501502,0.06726158537,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,scScope,deep,2,15,0.06493333333,0.01501501502,0.05067926829,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,SAUCIE,deep,2,15,0.1437333333,0.01501501502,0.1306804878,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,UMAP,graph,2,15,0.1290666667,0.01501501502,0.1157902439,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PHATE,graph,2,15,0.1297333333,0.01501501502,0.1164670732,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,t-SNE,relational,2,15,0.1267333333,0.01501501502,0.1134213415,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PaCMAP,relational,2,15,0.1417333333,0.01501501502,0.12865,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PCA,factor,2,30,1,0.03003003003,1,0.3,True,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,GLM-PCA,factor,2,30,0.1525333333,0.03003003003,0.1262959752,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,scScope,deep,2,30,0.1180333333,0.03003003003,0.09072786378,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,SAUCIE,deep,2,30,0.2441333333,0.03003003003,0.2207318885,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,UMAP,graph,2,30,0.2168,0.03003003003,0.192552322,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PHATE,graph,2,30,0.2076,0.03003003003,0.1830674923,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,t-SNE,relational,2,30,0.2094333333,0.03003003003,0.1849575851,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PaCMAP,relational,2,30,0.2276666667,0.03003003003,0.203755418,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PCA,factor,2,50,1,0.05005005005,1,0.3,True,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,GLM-PCA,factor,2,50,0.23202,0.05005005005,0.1915574078,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,scScope,deep,2,50,0.17602,0.05005005005,0.1326069336,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,SAUCIE,deep,2,50,0.33556,0.05005005005,0.3005526238,0.3,True,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,UMAP,graph,2,50,0.30674,0.05005005005,0.2702141834,0.3,True,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PHATE,graph,2,50,0.28688,0.05005005005,0.2493078188,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,t-SNE,relational,2,50,0.29212,0.05005005005,0.2548238988,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PaCMAP,relational,2,50,0.31328,0.05005005005,0.2770987566,0.3,True,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PCA,factor,5,5,0.1726,0.005005005005,0.1684380282,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,GLM-PCA,factor,5,5,0.0564,0.005005005005,0.05165352113,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,scScope,deep,5,5,0.0368,0.005005005005,0.03195492958,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,SAUCIE,deep,5,5,0.1266,0.005005005005,0.1222066398,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
