dataset_id,reference_dimension_a,reference_dimension_b,method_rank_spearman_rho,n_methods
pbmc3k,2,5,0.9761904762,8
pbmc3k,2,10,0.4761904762,8
pbmc3k,2,20,0.3571428571,8
pbmc3k,2,50,0.2380952381,8
pbmc3k,5,10,0.5476190476,8
pbmc3k,5,20,0.4047619048,8
pbmc3k,5,50,0.2619047619,8
pbmc3k,10,20,0.9285714286,8
pbmc3k,10,50,0.8095238095,8
pbmc3k,20,50,0.9523809524,8
paul15,2,5,0.6666666667,8
paul15,2,10,0.5238095238,8
paul15,2,20,0.5476190476,8
paul15,2,50,0.5238095238,8
paul15,5,10,0.8571428571,8
paul15,5,20,0.8333333333,8
paul15,5,50,0.8095238095,8
paul15,10,20,0.9761904762,8
paul15,10,50,0.9523809524,8
paul15,20,50,0.9761904762,8
heart_cell_atlas_subsampled,2,5,0.9047619048,8
heart_cell_atlas_subsampled,2,10,0.5238095238,8
heart_cell_atlas_subsampled,2,20,0.380952381,8
heart_cell_atlas_subsampled,2,50,0.02380952381,8
heart_cell_atlas_subsampled,5,10,0.5476190476,8
heart_cell_atlas_subsampled,5,20,0.4761904762,8
heart_cell_atlas_subsampled,5,50,0.1428571429,8
heart_cell_atlas_subsampled,10,20,0.9523809524,8
heart_cell_atlas_subsampled,10,50,0.8095238095,8
heart_cell_atlas_subsampled,20,50,0.880952381,8
