root_definition,method,navigation_group,metric,value,boundary,meets_boundary,n_cells,sampled_pairs
stored_8Mk_root,PCA,factor,pseudotime_distance_correlation,0.3500447394,0.45,False,2730,5000
stored_8Mk_root,PCA,factor,local_pseudotime_retention,0.6600354651,0.5,True,2730,5000
stored_8Mk_root,GLM-PCA,factor,pseudotime_distance_correlation,0.3931941292,0.45,False,2730,5000
stored_8Mk_root,GLM-PCA,factor,local_pseudotime_retention,0.6112806615,0.5,True,2730,5000
stored_8Mk_root,scScope,deep,pseudotime_distance_correlation,0.2181017458,0.45,False,2730,5000
stored_8Mk_root,scScope,deep,local_pseudotime_retention,0.6327437831,0.5,True,2730,5000
stored_8Mk_root,SAUCIE,deep,pseudotime_distance_correlation,0.2474840787,0.45,False,2730,5000
stored_8Mk_root,SAUCIE,deep,local_pseudotime_retention,0.6328077349,0.5,True,2730,5000
stored_8Mk_root,UMAP,graph,pseudotime_distance_correlation,0.2597914336,0.45,False,2730,5000
stored_8Mk_root,UMAP,graph,local_pseudotime_retention,0.8196770047,0.5,True,2730,5000
stored_8Mk_root,PHATE,graph,pseudotime_distance_correlation,0.2833768044,0.45,False,2730,5000
stored_8Mk_root,PHATE,graph,local_pseudotime_retention,0.822608685,0.5,True,2730,5000
stored_8Mk_root,t-SNE,relational,pseudotime_distance_correlation,0.220135175,0.45,False,2730,5000
stored_8Mk_root,t-SNE,relational,local_pseudotime_retention,0.7950570469,0.5,True,2730,5000
stored_8Mk_root,PaCMAP,relational,pseudotime_distance_correlation,0.3218236421,0.45,False,2730,5000
stored_8Mk_root,PaCMAP,relational,local_pseudotime_retention,0.7999203907,0.5,True,2730,5000
7MEP_centroid,PCA,factor,pseudotime_distance_correlation,0.3525646733,0.45,False,2730,5000
7MEP_centroid,PCA,factor,local_pseudotime_retention,0.669772719,0.5,True,2730,5000
7MEP_centroid,GLM-PCA,factor,pseudotime_distance_correlation,0.378723974,0.45,False,2730,5000
7MEP_centroid,GLM-PCA,factor,local_pseudotime_retention,0.5999284581,0.5,True,2730,5000
7MEP_centroid,scScope,deep,pseudotime_distance_correlation,0.2076168798,0.45,False,2730,5000
7MEP_centroid,scScope,deep,local_pseudotime_retention,0.6300406334,0.5,True,2730,5000
7MEP_centroid,SAUCIE,deep,pseudotime_distance_correlation,0.2378079615,0.45,False,2730,5000
7MEP_centroid,SAUCIE,deep,local_pseudotime_retention,0.643378012,0.5,True,2730,5000
7MEP_centroid,UMAP,graph,pseudotime_distance_correlation,0.2500063514,0.45,False,2730,5000
7MEP_centroid,UMAP,graph,local_pseudotime_retention,0.8271139635,0.5,True,2730,5000
7MEP_centroid,PHATE,graph,pseudotime_distance_correlation,0.2737154405,0.45,False,2730,5000
7MEP_centroid,PHATE,graph,local_pseudotime_retention,0.8239744468,0.5,True,2730,5000
7MEP_centroid,t-SNE,relational,pseudotime_distance_correlation,0.2119727463,0.45,False,2730,5000
7MEP_centroid,t-SNE,relational,local_pseudotime_retention,0.801024123,0.5,True,2730,5000
7MEP_centroid,PaCMAP,relational,pseudotime_distance_correlation,0.306522407,0.45,False,2730,5000
7MEP_centroid,PaCMAP,relational,local_pseudotime_retention,0.804167487,0.5,True,2730,5000
9GMP_centroid,PCA,factor,pseudotime_distance_correlation,0.639163354,0.45,True,2730,5000
9GMP_centroid,PCA,factor,local_pseudotime_retention,0.7571954786,0.5,True,2730,5000
9GMP_centroid,GLM-PCA,factor,pseudotime_distance_correlation,0.6729971066,0.45,True,2730,5000
9GMP_centroid,GLM-PCA,factor,local_pseudotime_retention,0.7381588716,0.5,True,2730,5000
9GMP_centroid,scScope,deep,pseudotime_distance_correlation,0.4735130789,0.45,True,2730,5000
9GMP_centroid,scScope,deep,local_pseudotime_retention,0.7431284519,0.5,True,2730,5000
9GMP_centroid,SAUCIE,deep,pseudotime_distance_correlation,0.5828660104,0.45,True,2730,5000
9GMP_centroid,SAUCIE,deep,local_pseudotime_retention,0.7432085085,0.5,True,2730,5000
9GMP_centroid,UMAP,graph,pseudotime_distance_correlation,0.693448795,0.45,True,2730,5000
9GMP_centroid,UMAP,graph,local_pseudotime_retention,0.8840378003,0.5,True,2730,5000
9GMP_centroid,PHATE,graph,pseudotime_distance_correlation,0.7389150777,0.45,True,2730,5000
9GMP_centroid,PHATE,graph,local_pseudotime_retention,0.8865824705,0.5,True,2730,5000
9GMP_centroid,t-SNE,relational,pseudotime_distance_correlation,0.6833767992,0.45,True,2730,5000
9GMP_centroid,t-SNE,relational,local_pseudotime_retention,0.8669244116,0.5,True,2730,5000
