analysis_axis_resolved,method,family,n_conditions,n_baseline_supported,n_pass_to_fail,support_loss_fraction,n_baseline_unsupported,n_fail_to_pass,support_recovery_fraction,n_definition
expression_perturbation,PCA,factor,32,16,0,0,16,0,0,non-baseline computational conditions matched to the corresponding baseline; conditions are not independent biological replicates
expression_perturbation,PHATE,graph,32,16,3,0.1875,16,2,0.125,non-baseline computational conditions matched to the corresponding baseline; conditions are not independent biological replicates
expression_perturbation,PaCMAP,relational,32,16,0,0,16,4,0.25,non-baseline computational conditions matched to the corresponding baseline; conditions are not independent biological replicates
expression_perturbation,UMAP,graph,32,16,3,0.1875,16,4,0.25,non-baseline computational conditions matched to the corresponding baseline; conditions are not independent biological replicates
output_dimension,PCA,factor,48,20,0,0,28,12,0.4285714286,non-baseline computational conditions matched to the corresponding baseline; conditions are not independent biological replicates
output_dimension,PHATE,graph,48,24,0,0,24,0,0,non-baseline computational conditions matched to the corresponding baseline; conditions are not independent biological replicates
output_dimension,PaCMAP,relational,48,28,0,0,20,10,0.5,non-baseline computational conditions matched to the corresponding baseline; conditions are not independent biological replicates
output_dimension,UMAP,graph,48,24,0,0,24,10,0.4166666667,non-baseline computational conditions matched to the corresponding baseline; conditions are not independent biological replicates
upstream_pca,PHATE,graph,24,12,2,0.1666666667,12,1,0.08333333333,non-baseline computational conditions matched to the corresponding baseline; conditions are not independent biological replicates
upstream_pca,PaCMAP,relational,24,14,1,0.07142857143,10,1,0.1,non-baseline computational conditions matched to the corresponding baseline; conditions are not independent biological replicates
upstream_pca,UMAP,graph,24,12,3,0.25,12,2,0.1666666667,non-baseline computational conditions matched to the corresponding baseline; conditions are not independent biological replicates
upstream_pca,t-SNE,relational,24,18,3,0.1666666667,6,3,0.5,non-baseline computational conditions matched to the corresponding baseline; conditions are not independent biological replicates
