dataset_id,method,family,seed,metric,value,threshold,support,n_cells,n_unit,analysis_axis,output_dimension,baseline_value,baseline_threshold,baseline_support,analysis_axis_resolved,condition_parameter,condition_numeric,condition_label,baseline_pass,condition_pass,transition,baseline_margin,condition_margin,margin_change,n_definition,upstream_pca_dimension,perturbation,level,replicate,perturbation_definition
pbmc3k,PCA,factor,0,global_rank_corr,0.5761206603,0.45,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,dropout_noise_perturbation,,0.6516404201,0.45,pass,expression_perturbation,level,0.2,Dropout 0.2,True,True,pass_to_pass,0.2016404201,0.1261206603,-0.07551975982,"one method-dataset-metric-condition comparison relative to its matched baseline; comparisons are computational conditions, not independent biological replicates",,dropout,0.2,0,real PBMC3k-derived count matrix with nonzero dropout or log-scale Gaussian noise
pbmc3k,PCA,factor,1,global_rank_corr,0.5663517198,0.45,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,dropout_noise_perturbation,,0.6419023583,0.45,pass,expression_perturbation,level,0.2,Dropout 0.2,True,True,pass_to_pass,0.1919023583,0.1163517198,-0.07555063847,"one method-dataset-metric-condition comparison relative to its matched baseline; comparisons are computational conditions, not independent biological replicates",,dropout,0.2,1,real PBMC3k-derived count matrix with nonzero dropout or log-scale Gaussian noise
pbmc3k,PCA,factor,0,global_rank_corr,0.4930833127,0.45,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,dropout_noise_perturbation,,0.6516404201,0.45,pass,expression_perturbation,level,0.4,Dropout 0.4,True,True,pass_to_pass,0.2016404201,0.04308331265,-0.1585571075,"one method-dataset-metric-condition comparison relative to its matched baseline; comparisons are computational conditions, not independent biological replicates",,dropout,0.4,0,real PBMC3k-derived count matrix with nonzero dropout or log-scale Gaussian noise
pbmc3k,PCA,factor,1,global_rank_corr,0.4964167459,0.45,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,dropout_noise_perturbation,,0.6419023583,0.45,pass,expression_perturbation,level,0.4,Dropout 0.4,True,True,pass_to_pass,0.1919023583,0.0464167459,-0.1454856124,"one method-dataset-metric-condition comparison relative to its matched baseline; comparisons are computational conditions, not independent biological replicates",,dropout,0.4,1,real PBMC3k-derived count matrix with nonzero dropout or log-scale Gaussian noise
pbmc3k,PCA,factor,0,global_rank_corr,0.8132515578,0.45,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,dropout_noise_perturbation,,0.6516404201,0.45,pass,expression_perturbation,level,0.2,Noise 0.2,True,True,pass_to_pass,0.2016404201,0.3632515578,0.1616111377,"one method-dataset-metric-condition comparison relative to its matched baseline; comparisons are computational conditions, not independent biological replicates",,noise,0.2,0,real PBMC3k-derived count matrix with nonzero dropout or log-scale Gaussian noise
pbmc3k,PCA,factor,1,global_rank_corr,0.8102885596,0.45,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,dropout_noise_perturbation,,0.6419023583,0.45,pass,expression_perturbation,level,0.2,Noise 0.2,True,True,pass_to_pass,0.1919023583,0.3602885596,0.1683862014,"one method-dataset-metric-condition comparison relative to its matched baseline; comparisons are computational conditions, not independent biological replicates",,noise,0.2,1,real PBMC3k-derived count matrix with nonzero dropout or log-scale Gaussian noise
pbmc3k,PCA,factor,0,global_rank_corr,0.8711531081,0.45,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,dropout_noise_perturbation,,0.6516404201,0.45,pass,expression_perturbation,level,0.4,Noise 0.4,True,True,pass_to_pass,0.2016404201,0.4211531081,0.219512688,"one method-dataset-metric-condition comparison relative to its matched baseline; comparisons are computational conditions, not independent biological replicates",,noise,0.4,0,real PBMC3k-derived count matrix with nonzero dropout or log-scale Gaussian noise
pbmc3k,PCA,factor,1,global_rank_corr,0.8654631134,0.45,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,dropout_noise_perturbation,,0.6419023583,0.45,pass,expression_perturbation,level,0.4,Noise 0.4,True,True,pass_to_pass,0.1919023583,0.4154631134,0.2235607551,"one method-dataset-metric-condition comparison relative to its matched baseline; comparisons are computational conditions, not independent biological replicates",,noise,0.4,1,real PBMC3k-derived count matrix with nonzero dropout or log-scale Gaussian noise
pbmc3k,PCA,factor,0,label_neighbor_recall,0.7757391964,0.55,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,dropout_noise_perturbation,,0.793631539,0.55,pass,expression_perturbation,level,0.2,Dropout 0.2,True,True,pass_to_pass,0.243631539,0.2257391964,-0.01789234268,"one method-dataset-metric-condition comparison relative to its matched baseline; comparisons are computational conditions, not independent biological replicates",,dropout,0.2,0,real PBMC3k-derived count matrix with nonzero dropout or log-scale Gaussian noise
pbmc3k,PCA,factor,1,label_neighbor_recall,0.7854435178,0.55,pass,2638,method-dataset-condition run; cells compute metrics and are not independent replicates,dropout_noise_perturbation,,0.793631539,0.55,pass,expression_perturbation,level,0.2,Dropout 0.2,True,True,pass_to_pass,0.243631539,0.2354435178,-0.008188021228,"one method-dataset-metric-condition comparison relative to its matched baseline; comparisons are computational conditions, not independent biological replicates",,dropout,0.2,1,real PBMC3k-derived count matrix with nonzero dropout or log-scale Gaussian noise
