scenario,method,family,metric,claim_axis,decision_agreement,n_replicate_pairs,value_mean,value_sd,value_minimum,value_maximum,value_range,pass_fraction,n_generated_datasets,n_definition
linear_low_rank,PCA,factor,truth_local_retention,truth_geometry,1,10,0.1512777778,0.007958762889,0.1407407407,0.1612037037,0.02046296296,0,5,five independently generated datasets and ten generated-dataset pairs
linear_low_rank,PCA,factor,truth_trustworthiness,truth_geometry,1,10,0.9095466815,0.003448684187,0.9056974334,0.9145853924,0.008887958978,1,5,five independently generated datasets and ten generated-dataset pairs
linear_low_rank,PCA,factor,latent_distance_corr,truth_geometry,1,10,0.9104080358,0.009983871448,0.8935555933,0.9187742192,0.02521862592,1,5,five independently generated datasets and ten generated-dataset pairs
linear_low_rank,PCA,factor,label_neighbor_recall,cell_state_support,1,10,0.9971851852,0.002104929221,0.9944444444,0.9992592593,0.004814814815,1,5,five independently generated datasets and ten generated-dataset pairs
linear_low_rank,GLM-PCA,factor,truth_local_retention,truth_geometry,1,10,0.1763333333,0.008238555682,0.1640740741,0.1839814815,0.01990740741,0,5,five independently generated datasets and ten generated-dataset pairs
linear_low_rank,GLM-PCA,factor,truth_trustworthiness,truth_geometry,1,10,0.9204715713,0.004235693469,0.915182794,0.9242806472,0.009097853233,1,5,five independently generated datasets and ten generated-dataset pairs
linear_low_rank,GLM-PCA,factor,latent_distance_corr,truth_geometry,1,10,0.9280687958,0.006462492563,0.9180954835,0.935757965,0.01766248153,1,5,five independently generated datasets and ten generated-dataset pairs
linear_low_rank,GLM-PCA,factor,label_neighbor_recall,cell_state_support,1,10,0.9984259259,0.001335389361,0.997037037,1,0.002962962963,1,5,five independently generated datasets and ten generated-dataset pairs
linear_low_rank,scScope,deep,truth_local_retention,truth_geometry,1,10,0.08527777778,0.004025382429,0.07925925926,0.08888888889,0.00962962963,0,5,five independently generated datasets and ten generated-dataset pairs
linear_low_rank,scScope,deep,truth_trustworthiness,truth_geometry,1,10,0.8621609809,0.003667002745,0.8567716138,0.8653891014,0.008617487645,0,5,five independently generated datasets and ten generated-dataset pairs
linear_low_rank,scScope,deep,latent_distance_corr,truth_geometry,1,10,0.8326576173,0.005201860506,0.8258399035,0.8383762383,0.01253633483,1,5,five independently generated datasets and ten generated-dataset pairs
linear_low_rank,scScope,deep,label_neighbor_recall,cell_state_support,1,10,0.9819074074,0.006801491606,0.9707407407,0.987962963,0.01722222222,1,5,five independently generated datasets and ten generated-dataset pairs
linear_low_rank,SAUCIE,deep,truth_local_retention,truth_geometry,1,10,0.1416481481,0.004554670947,0.135,0.1460185185,0.01101851852,0,5,five independently generated datasets and ten generated-dataset pairs
linear_low_rank,SAUCIE,deep,truth_trustworthiness,truth_geometry,1,10,0.903700914,0.002653806136,0.9004912588,0.9076304533,0.007139194431,1,5,five independently generated datasets and ten generated-dataset pairs
linear_low_rank,SAUCIE,deep,latent_distance_corr,truth_geometry,1,10,0.908534928,0.005495097715,0.9010665119,0.9143862715,0.01331975955,1,5,five independently generated datasets and ten generated-dataset pairs
linear_low_rank,SAUCIE,deep,label_neighbor_recall,cell_state_support,1,10,0.9968888889,0.001633675533,0.9951851852,0.9992592593,0.004074074074,1,5,five independently generated datasets and ten generated-dataset pairs
linear_low_rank,UMAP,graph,truth_local_retention,truth_geometry,1,10,0.07007407407,0.002459723573,0.06759259259,0.07342592593,0.005833333333,0,5,five independently generated datasets and ten generated-dataset pairs
linear_low_rank,UMAP,graph,truth_trustworthiness,truth_geometry,1,10,0.8541885329,0.00149998239,0.8524637335,0.8559203465,0.003456612998,0,5,five independently generated datasets and ten generated-dataset pairs
linear_low_rank,UMAP,graph,latent_distance_corr,truth_geometry,1,10,0.8104694741,0.02188593455,0.781301393,0.8313688592,0.0500674662,1,5,five independently generated datasets and ten generated-dataset pairs
linear_low_rank,UMAP,graph,label_neighbor_recall,cell_state_support,1,10,0.9950740741,0.002941472994,0.9910185185,0.9974074074,0.006388888889,1,5,five independently generated datasets and ten generated-dataset pairs
linear_low_rank,PHATE,graph,truth_local_retention,truth_geometry,1,10,0.09201851852,0.00538647012,0.08462962963,0.09787037037,0.01324074074,0,5,five independently generated datasets and ten generated-dataset pairs
linear_low_rank,PHATE,graph,truth_trustworthiness,truth_geometry,1,10,0.8727965886,0.003276018624,0.8679470216,0.8760032414,0.008056219778,0,5,five independently generated datasets and ten generated-dataset pairs
linear_low_rank,PHATE,graph,latent_distance_corr,truth_geometry,1,10,0.8658584737,0.01073008137,0.8478468502,0.8758980178,0.0280511676,1,5,five independently generated datasets and ten generated-dataset pairs
linear_low_rank,PHATE,graph,label_neighbor_recall,cell_state_support,1,10,0.9960740741,0.002341146531,0.9930555556,0.9980555556,0.005,1,5,five independently generated datasets and ten generated-dataset pairs
linear_low_rank,t-SNE,relational,truth_local_retention,truth_geometry,1,10,0.07453703704,0.005823404248,0.0662037037,0.08222222222,0.01601851852,0,5,five independently generated datasets and ten generated-dataset pairs
linear_low_rank,t-SNE,relational,truth_trustworthiness,truth_geometry,1,10,0.8568687497,0.002752021644,0.8526161061,0.8599589511,0.007342844997,0,5,five independently generated datasets and ten generated-dataset pairs
linear_low_rank,t-SNE,relational,latent_distance_corr,truth_geometry,1,10,0.8162768055,0.01086992352,0.7981830489,0.8258634256,0.02768037663,1,5,five independently generated datasets and ten generated-dataset pairs
linear_low_rank,t-SNE,relational,label_neighbor_recall,cell_state_support,1,10,0.9938703704,0.005860240705,0.9868518519,1,0.01314814815,1,5,five independently generated datasets and ten generated-dataset pairs
linear_low_rank,PaCMAP,relational,truth_local_retention,truth_geometry,1,10,0.07227777778,0.003288406079,0.06842592593,0.07592592593,0.0075,0,5,five independently generated datasets and ten generated-dataset pairs
linear_low_rank,PaCMAP,relational,truth_trustworthiness,truth_geometry,1,10,0.8547271375,0.001704711845,0.8528766141,0.8566414262,0.003764812158,0,5,five independently generated datasets and ten generated-dataset pairs
linear_low_rank,PaCMAP,relational,latent_distance_corr,truth_geometry,1,10,0.8293963027,0.01106253954,0.8112735472,0.8390899414,0.02781639422,1,5,five independently generated datasets and ten generated-dataset pairs
linear_low_rank,PaCMAP,relational,label_neighbor_recall,cell_state_support,1,10,0.9951851852,0.004063011074,0.9894444444,0.9982407407,0.008796296296,1,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,PCA,factor,truth_local_retention,truth_geometry,1,10,0.134,0.01010307814,0.1161111111,0.14,0.02388888889,0,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,PCA,factor,truth_trustworthiness,truth_geometry,1,10,0.8809461714,0.006547911558,0.873468569,0.8911343589,0.01766578989,0,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,PCA,factor,latent_distance_corr,truth_geometry,1,10,0.7301953912,0.01132713587,0.7186448855,0.7466569847,0.0280120992,1,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,PCA,factor,label_neighbor_recall,cell_state_support,1,10,0.8567222222,0.02424596752,0.8299074074,0.8826851852,0.05277777778,1,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,PCA,factor,pseudotime_distance_corr,continuum_support,1,10,0.6291117738,0.0271477305,0.5956714951,0.6606042852,0.06493279017,1,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,GLM-PCA,factor,truth_local_retention,truth_geometry,1,10,0.164,0.007755534773,0.1537962963,0.175462963,0.02166666667,0,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,GLM-PCA,factor,truth_trustworthiness,truth_geometry,1,10,0.9044939954,0.004987543921,0.9000387906,0.9121686859,0.01212989532,1,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,GLM-PCA,factor,latent_distance_corr,truth_geometry,1,10,0.7859725461,0.01042579256,0.7688515898,0.7972710883,0.02841949844,1,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,GLM-PCA,factor,label_neighbor_recall,cell_state_support,1,10,0.9077222222,0.02097815916,0.8725,0.9284259259,0.05592592593,1,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,GLM-PCA,factor,pseudotime_distance_corr,continuum_support,1,10,0.6651773764,0.02569447478,0.6258704607,0.6921772753,0.06630681456,1,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,scScope,deep,truth_local_retention,truth_geometry,1,10,0.1215925926,0.007508968118,0.1133333333,0.1299074074,0.01657407407,0,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,scScope,deep,truth_trustworthiness,truth_geometry,1,10,0.8409571444,0.01811959605,0.8217021361,0.8668509219,0.0451487858,0,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,scScope,deep,latent_distance_corr,truth_geometry,1,10,0.5475621444,0.08453283325,0.4580453784,0.6463024653,0.1882570869,1,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,scScope,deep,label_neighbor_recall,cell_state_support,1,10,0.8534444444,0.03191728582,0.8116666667,0.8981481481,0.08648148148,1,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,scScope,deep,pseudotime_distance_corr,continuum_support,0.6,10,0.5291810311,0.1299169521,0.3074093716,0.6116381198,0.3042287481,0.8,5,five independently generated datasets and ten generated-dataset pairs
