method,family,claim_axis,pass_fraction,mean_margin,minimum_margin,n_metric_rows,n_generated_datasets,n_scenarios,n_definition
GLM-PCA,factor,batch_biology_tradeoff,0.4,0.03540965524,-0.1332645237,5,5,1,all applicable metric rows from five independently generated datasets per scenario
GLM-PCA,factor,cell_state_support,1,0.4009104938,0.2131481481,30,5,6,all applicable metric rows from five independently generated datasets per scenario
GLM-PCA,factor,continuum_support,0.7,0.10684281,-0.03312648504,10,5,2,all applicable metric rows from five independently generated datasets per scenario
GLM-PCA,factor,rare_state_support,1,0.4878095238,0.4733333333,5,5,1,all applicable metric rows from five independently generated datasets per scenario
GLM-PCA,factor,truth_geometry,0.6111111111,0.09358400275,-0.1725,90,5,6,all applicable metric rows from five independently generated datasets per scenario
PCA,factor,batch_biology_tradeoff,0,-0.5301550373,-0.6455345425,5,5,1,all applicable metric rows from five independently generated datasets per scenario
PCA,factor,cell_state_support,1,0.3717222222,0.1556481481,30,5,6,all applicable metric rows from five independently generated datasets per scenario
PCA,factor,continuum_support,0.6,0.08706716175,-0.06621015778,10,5,2,all applicable metric rows from five independently generated datasets per scenario
PCA,factor,rare_state_support,1,0.4634285714,0.4085714286,5,5,1,all applicable metric rows from five independently generated datasets per scenario
PCA,factor,truth_geometry,0.4777777778,0.05667750492,-0.2044444444,90,5,6,all applicable metric rows from five independently generated datasets per scenario
PHATE,graph,batch_biology_tradeoff,0,-0.6480936905,-0.6495092231,5,5,1,all applicable metric rows from five independently generated datasets per scenario
PHATE,graph,cell_state_support,1,0.3908549383,0.1978703704,30,5,6,all applicable metric rows from five independently generated datasets per scenario
PHATE,graph,continuum_support,0.6,0.1184132907,-0.06846627066,10,5,2,all applicable metric rows from five independently generated datasets per scenario
PHATE,graph,rare_state_support,1,0.4775238095,0.439047619,5,5,1,all applicable metric rows from five independently generated datasets per scenario
PHATE,graph,truth_geometry,0.3333333333,0.04249449922,-0.2281481481,90,5,6,all applicable metric rows from five independently generated datasets per scenario
PaCMAP,relational,batch_biology_tradeoff,0,-0.6483703057,-0.65,5,5,1,all applicable metric rows from five independently generated datasets per scenario
PaCMAP,relational,cell_state_support,1,0.4035154321,0.2408333333,30,5,6,all applicable metric rows from five independently generated datasets per scenario
PaCMAP,relational,continuum_support,1,0.1808639801,0.01461707639,10,5,2,all applicable metric rows from five independently generated datasets per scenario
PaCMAP,relational,rare_state_support,1,0.4786666667,0.4333333333,5,5,1,all applicable metric rows from five independently generated datasets per scenario
PaCMAP,relational,truth_geometry,0.3444444444,0.02347384366,-0.2351851852,90,5,6,all applicable metric rows from five independently generated datasets per scenario
SAUCIE,deep,batch_biology_tradeoff,0,-0.6487175104,-0.65,5,5,1,all applicable metric rows from five independently generated datasets per scenario
SAUCIE,deep,cell_state_support,1,0.3970339506,0.1564814815,30,5,6,all applicable metric rows from five independently generated datasets per scenario
SAUCIE,deep,continuum_support,0.8,0.1646252973,-0.1618539728,10,5,2,all applicable metric rows from five independently generated datasets per scenario
SAUCIE,deep,rare_state_support,1,0.3506666667,0.14,5,5,1,all applicable metric rows from five independently generated datasets per scenario
SAUCIE,deep,truth_geometry,0.4333333333,0.0543093224,-0.1903703704,90,5,6,all applicable metric rows from five independently generated datasets per scenario
UMAP,graph,batch_biology_tradeoff,0,-0.6478788698,-0.6490184463,5,5,1,all applicable metric rows from five independently generated datasets per scenario
UMAP,graph,cell_state_support,1,0.3913981481,0.2198148148,30,5,6,all applicable metric rows from five independently generated datasets per scenario
UMAP,graph,continuum_support,1,0.1102496504,0.04173704464,10,5,2,all applicable metric rows from five independently generated datasets per scenario
UMAP,graph,rare_state_support,1,0.4691428571,0.4295238095,5,5,1,all applicable metric rows from five independently generated datasets per scenario
UMAP,graph,truth_geometry,0.3333333333,0.0110647837,-0.2362962963,90,5,6,all applicable metric rows from five independently generated datasets per scenario
scScope,deep,batch_biology_tradeoff,0,-0.6189301534,-0.6225388687,5,5,1,all applicable metric rows from five independently generated datasets per scenario
scScope,deep,cell_state_support,1,0.3757592593,0.2051851852,30,5,6,all applicable metric rows from five independently generated datasets per scenario
scScope,deep,continuum_support,0.5,0.01187272339,-0.2232591293,10,5,2,all applicable metric rows from five independently generated datasets per scenario
scScope,deep,rare_state_support,1,0.4188571429,0.3780952381,5,5,1,all applicable metric rows from five independently generated datasets per scenario
scScope,deep,truth_geometry,0.3333333333,0.005176787098,-0.2230555556,90,5,6,all applicable metric rows from five independently generated datasets per scenario
t-SNE,relational,batch_biology_tradeoff,0,-0.6462102285,-0.6490184463,5,5,1,all applicable metric rows from five independently generated datasets per scenario
t-SNE,relational,cell_state_support,1,0.3769104938,0.1737962963,30,5,6,all applicable metric rows from five independently generated datasets per scenario
t-SNE,relational,continuum_support,0.5,0.01018547876,-0.3300512523,10,5,2,all applicable metric rows from five independently generated datasets per scenario
t-SNE,relational,rare_state_support,1,0.4782857143,0.4580952381,5,5,1,all applicable metric rows from five independently generated datasets per scenario
t-SNE,relational,truth_geometry,0.3222222222,-0.0041187429,-0.2337962963,90,5,6,all applicable metric rows from five independently generated datasets per scenario
