scenario,method,family,mean_fraction_pass,sd_fraction_pass,minimum_fraction_pass,maximum_fraction_pass,replicate_range,n_generated_datasets,n_definition
batch_shift,GLM-PCA,factor,0.68,0.1095445115,0.6,0.8,0.2,5,five independently generated datasets per method-scenario combination
batch_shift,PCA,factor,0.4,0,0.4,0.4,0,5,five independently generated datasets per method-scenario combination
batch_shift,PHATE,graph,0.4,0,0.4,0.4,0,5,five independently generated datasets per method-scenario combination
batch_shift,PaCMAP,relational,0.4,0,0.4,0.4,0,5,five independently generated datasets per method-scenario combination
batch_shift,SAUCIE,deep,0.4,0,0.4,0.4,0,5,five independently generated datasets per method-scenario combination
batch_shift,UMAP,graph,0.4,0,0.4,0.4,0,5,five independently generated datasets per method-scenario combination
batch_shift,scScope,deep,0.4,0,0.4,0.4,0,5,five independently generated datasets per method-scenario combination
batch_shift,t-SNE,relational,0.4,0,0.4,0.4,0,5,five independently generated datasets per method-scenario combination
branching_trajectory,GLM-PCA,factor,0.48,0.1095445115,0.4,0.6,0.2,5,five independently generated datasets per method-scenario combination
branching_trajectory,PCA,factor,0.44,0.0894427191,0.4,0.6,0.2,5,five independently generated datasets per method-scenario combination
branching_trajectory,PHATE,graph,0.44,0.0894427191,0.4,0.6,0.2,5,five independently generated datasets per method-scenario combination
branching_trajectory,PaCMAP,relational,0.6,0,0.6,0.6,0,5,five independently generated datasets per method-scenario combination
branching_trajectory,SAUCIE,deep,0.52,0.1788854382,0.2,0.6,0.4,5,five independently generated datasets per method-scenario combination
branching_trajectory,UMAP,graph,0.6,0,0.6,0.6,0,5,five independently generated datasets per method-scenario combination
branching_trajectory,scScope,deep,0.44,0.0894427191,0.4,0.6,0.2,5,five independently generated datasets per method-scenario combination
branching_trajectory,t-SNE,relational,0.4,0.1414213562,0.2,0.6,0.4,5,five independently generated datasets per method-scenario combination
dropout_stress,GLM-PCA,factor,0.75,0,0.75,0.75,0,5,five independently generated datasets per method-scenario combination
dropout_stress,PCA,factor,0.65,0.1369306394,0.5,0.75,0.25,5,five independently generated datasets per method-scenario combination
dropout_stress,PHATE,graph,0.5,0,0.5,0.5,0,5,five independently generated datasets per method-scenario combination
dropout_stress,PaCMAP,relational,0.5,0,0.5,0.5,0,5,five independently generated datasets per method-scenario combination
dropout_stress,SAUCIE,deep,0.55,0.1118033989,0.5,0.75,0.25,5,five independently generated datasets per method-scenario combination
dropout_stress,UMAP,graph,0.5,0,0.5,0.5,0,5,five independently generated datasets per method-scenario combination
dropout_stress,scScope,deep,0.5,0,0.5,0.5,0,5,five independently generated datasets per method-scenario combination
dropout_stress,t-SNE,relational,0.5,0,0.5,0.5,0,5,five independently generated datasets per method-scenario combination
linear_low_rank,GLM-PCA,factor,0.75,0,0.75,0.75,0,5,five independently generated datasets per method-scenario combination
linear_low_rank,PCA,factor,0.75,0,0.75,0.75,0,5,five independently generated datasets per method-scenario combination
linear_low_rank,PHATE,graph,0.5,0,0.5,0.5,0,5,five independently generated datasets per method-scenario combination
linear_low_rank,PaCMAP,relational,0.5,0,0.5,0.5,0,5,five independently generated datasets per method-scenario combination
linear_low_rank,SAUCIE,deep,0.75,0,0.75,0.75,0,5,five independently generated datasets per method-scenario combination
linear_low_rank,UMAP,graph,0.5,0,0.5,0.5,0,5,five independently generated datasets per method-scenario combination
linear_low_rank,scScope,deep,0.5,0,0.5,0.5,0,5,five independently generated datasets per method-scenario combination
linear_low_rank,t-SNE,relational,0.5,0,0.5,0.5,0,5,five independently generated datasets per method-scenario combination
nonlinear_manifold,GLM-PCA,factor,0.8,0,0.8,0.8,0,5,five independently generated datasets per method-scenario combination
nonlinear_manifold,PCA,factor,0.6,0,0.6,0.6,0,5,five independently generated datasets per method-scenario combination
nonlinear_manifold,PHATE,graph,0.6,0,0.6,0.6,0,5,five independently generated datasets per method-scenario combination
nonlinear_manifold,PaCMAP,relational,0.64,0.0894427191,0.6,0.8,0.2,5,five independently generated datasets per method-scenario combination
nonlinear_manifold,SAUCIE,deep,0.6,0.1414213562,0.4,0.8,0.4,5,five independently generated datasets per method-scenario combination
nonlinear_manifold,UMAP,graph,0.6,0,0.6,0.6,0,5,five independently generated datasets per method-scenario combination
nonlinear_manifold,scScope,deep,0.56,0.0894427191,0.4,0.6,0.2,5,five independently generated datasets per method-scenario combination
nonlinear_manifold,t-SNE,relational,0.56,0.0894427191,0.4,0.6,0.2,5,five independently generated datasets per method-scenario combination
rare_population,GLM-PCA,factor,0.8,0,0.8,0.8,0,5,five independently generated datasets per method-scenario combination
rare_population,PCA,factor,0.8,0,0.8,0.8,0,5,five independently generated datasets per method-scenario combination
rare_population,PHATE,graph,0.6,0,0.6,0.6,0,5,five independently generated datasets per method-scenario combination
rare_population,PaCMAP,relational,0.6,0,0.6,0.6,0,5,five independently generated datasets per method-scenario combination
rare_population,SAUCIE,deep,0.72,0.1095445115,0.6,0.8,0.2,5,five independently generated datasets per method-scenario combination
rare_population,UMAP,graph,0.6,0,0.6,0.6,0,5,five independently generated datasets per method-scenario combination
rare_population,scScope,deep,0.6,0,0.6,0.6,0,5,five independently generated datasets per method-scenario combination
rare_population,t-SNE,relational,0.6,0,0.6,0.6,0,5,five independently generated datasets per method-scenario combination
