simulation_suite,scenario,scenario_definition,replicate,method,family,metric,claim_axis,value,threshold,support,n_cells,n_unit,ground_truth,seed,passed,threshold_margin,n_definition
mechanism_simulation_suite,linear_low_rank,Known low-rank count model with discrete biological states and no batch shift.,0,PCA,factor,truth_local_retention,truth_geometry,0.1407407407,0.3,below_threshold,720,"one method-scenario-replicate run; cells are generated simulation units, not biological replicates","latent coordinates, labels, batch assignments and pseudotime are known by construction",1000,False,-0.1592592593,one method-scenario-generated-dataset-metric row; five replicates are independently generated simulated datasets
mechanism_simulation_suite,linear_low_rank,Known low-rank count model with discrete biological states and no batch shift.,0,PCA,factor,truth_trustworthiness,truth_geometry,0.9070059514,0.9,pass,720,"one method-scenario-replicate run; cells are generated simulation units, not biological replicates","latent coordinates, labels, batch assignments and pseudotime are known by construction",1000,True,0.007005951432,one method-scenario-generated-dataset-metric row; five replicates are independently generated simulated datasets
mechanism_simulation_suite,linear_low_rank,Known low-rank count model with discrete biological states and no batch shift.,0,PCA,factor,latent_distance_corr,truth_geometry,0.9134561561,0.45,pass,720,"one method-scenario-replicate run; cells are generated simulation units, not biological replicates","latent coordinates, labels, batch assignments and pseudotime are known by construction",1000,True,0.4634561561,one method-scenario-generated-dataset-metric row; five replicates are independently generated simulated datasets
mechanism_simulation_suite,linear_low_rank,Known low-rank count model with discrete biological states and no batch shift.,0,PCA,factor,label_neighbor_recall,cell_state_support,0.9988888889,0.55,pass,720,"one method-scenario-replicate run; cells are generated simulation units, not biological replicates","latent coordinates, labels, batch assignments and pseudotime are known by construction",1000,True,0.4488888889,one method-scenario-generated-dataset-metric row; five replicates are independently generated simulated datasets
mechanism_simulation_suite,linear_low_rank,Known low-rank count model with discrete biological states and no batch shift.,0,GLM-PCA,factor,truth_local_retention,truth_geometry,0.1640740741,0.3,below_threshold,720,"one method-scenario-replicate run; cells are generated simulation units, not biological replicates","latent coordinates, labels, batch assignments and pseudotime are known by construction",1000,False,-0.1359259259,one method-scenario-generated-dataset-metric row; five replicates are independently generated simulated datasets
mechanism_simulation_suite,linear_low_rank,Known low-rank count model with discrete biological states and no batch shift.,0,GLM-PCA,factor,truth_trustworthiness,truth_geometry,0.9166019714,0.9,pass,720,"one method-scenario-replicate run; cells are generated simulation units, not biological replicates","latent coordinates, labels, batch assignments and pseudotime are known by construction",1000,True,0.01660197141,one method-scenario-generated-dataset-metric row; five replicates are independently generated simulated datasets
mechanism_simulation_suite,linear_low_rank,Known low-rank count model with discrete biological states and no batch shift.,0,GLM-PCA,factor,latent_distance_corr,truth_geometry,0.9301225368,0.45,pass,720,"one method-scenario-replicate run; cells are generated simulation units, not biological replicates","latent coordinates, labels, batch assignments and pseudotime are known by construction",1000,True,0.4801225368,one method-scenario-generated-dataset-metric row; five replicates are independently generated simulated datasets
mechanism_simulation_suite,linear_low_rank,Known low-rank count model with discrete biological states and no batch shift.,0,GLM-PCA,factor,label_neighbor_recall,cell_state_support,0.9994444444,0.55,pass,720,"one method-scenario-replicate run; cells are generated simulation units, not biological replicates","latent coordinates, labels, batch assignments and pseudotime are known by construction",1000,True,0.4494444444,one method-scenario-generated-dataset-metric row; five replicates are independently generated simulated datasets
mechanism_simulation_suite,linear_low_rank,Known low-rank count model with discrete biological states and no batch shift.,0,scScope,deep,truth_local_retention,truth_geometry,0.08888888889,0.3,below_threshold,720,"one method-scenario-replicate run; cells are generated simulation units, not biological replicates","latent coordinates, labels, batch assignments and pseudotime are known by construction",1000,False,-0.2111111111,one method-scenario-generated-dataset-metric row; five replicates are independently generated simulated datasets
mechanism_simulation_suite,linear_low_rank,Known low-rank count model with discrete biological states and no batch shift.,0,scScope,deep,truth_trustworthiness,truth_geometry,0.8652181306,0.9,below_threshold,720,"one method-scenario-replicate run; cells are generated simulation units, not biological replicates","latent coordinates, labels, batch assignments and pseudotime are known by construction",1000,False,-0.03478186939,one method-scenario-generated-dataset-metric row; five replicates are independently generated simulated datasets
