scenario,replicate,method,family,seed,n_metrics,fraction_pass,mean_threshold_margin,minimum_threshold_margin,n_definition
batch_shift,0,GLM-PCA,factor,5000,5,0.8,0.1821395251,-0.1381481481,one method-scenario-generated-dataset run
batch_shift,0,PCA,factor,5000,5,0.4,-0.006176026429,-0.5190105492,one method-scenario-generated-dataset run
batch_shift,0,PHATE,graph,5000,5,0.4,-0.03846616095,-0.6480157684,one method-scenario-generated-dataset run
batch_shift,0,PaCMAP,relational,5000,5,0.4,-0.03704680427,-0.65,one method-scenario-generated-dataset run
batch_shift,0,SAUCIE,deep,5000,5,0.4,-0.006705994308,-0.65,one method-scenario-generated-dataset run
batch_shift,0,UMAP,graph,5000,5,0.4,-0.03702097199,-0.6490184463,one method-scenario-generated-dataset run
batch_shift,0,scScope,deep,5000,5,0.4,-0.03249206389,-0.6200902323,one method-scenario-generated-dataset run
batch_shift,0,t-SNE,relational,5000,5,0.4,-0.03086768862,-0.6490184463,one method-scenario-generated-dataset run
batch_shift,1,GLM-PCA,factor,5001,5,0.6,0.114220024,-0.1631481481,one method-scenario-generated-dataset run
batch_shift,1,PCA,factor,5001,5,0.4,-0.06447234141,-0.6455345425,one method-scenario-generated-dataset run
batch_shift,1,PHATE,graph,5001,5,0.4,-0.06087269107,-0.6476699038,one method-scenario-generated-dataset run
batch_shift,1,PaCMAP,relational,5001,5,0.4,-0.06552125024,-0.65,one method-scenario-generated-dataset run
batch_shift,1,SAUCIE,deep,5001,5,0.4,0.002412733711,-0.6489973221,one method-scenario-generated-dataset run
batch_shift,1,UMAP,graph,5001,5,0.4,-0.05661614253,-0.6484263625,one method-scenario-generated-dataset run
batch_shift,1,scScope,deep,5001,5,0.4,-0.01400795113,-0.6225388687,one method-scenario-generated-dataset run
batch_shift,1,t-SNE,relational,5001,5,0.4,-0.04111114728,-0.6485276694,one method-scenario-generated-dataset run
batch_shift,2,GLM-PCA,factor,5002,5,0.8,0.2058877448,-0.1409259259,one method-scenario-generated-dataset run
batch_shift,2,PCA,factor,5002,5,0.4,-0.02561081855,-0.5741344861,one method-scenario-generated-dataset run
batch_shift,2,PHATE,graph,5002,5,0.4,-0.03952735134,-0.6484263625,one method-scenario-generated-dataset run
batch_shift,2,PaCMAP,relational,5002,5,0.4,-0.06208471491,-0.6446014546,one method-scenario-generated-dataset run
batch_shift,2,SAUCIE,deep,5002,5,0.4,-0.01373222002,-0.6495092231,one method-scenario-generated-dataset run
batch_shift,2,UMAP,graph,5002,5,0.4,-0.03251163553,-0.648837999,one method-scenario-generated-dataset run
batch_shift,2,scScope,deep,5002,5,0.4,-0.03128401188,-0.6131757929,one method-scenario-generated-dataset run
batch_shift,2,t-SNE,relational,5002,5,0.4,-0.03376580329,-0.6428073061,one method-scenario-generated-dataset run
batch_shift,3,GLM-PCA,factor,5003,5,0.6,0.1494729992,-0.1339814815,one method-scenario-generated-dataset run
batch_shift,3,PCA,factor,5003,5,0.4,-0.00161791404,-0.5291224786,one method-scenario-generated-dataset run
batch_shift,3,PHATE,graph,5003,5,0.4,-0.02902519453,-0.6495092231,one method-scenario-generated-dataset run
batch_shift,3,PaCMAP,relational,5003,5,0.4,-0.05303711449,-0.65,one method-scenario-generated-dataset run
