dataset_id,method,family,claim_gate,metric,value,base_boundary,base_margin,n_definition,analysis_role,boundary_shift,sensitivity_boundary,component_pass
pbmc3k,PCA,factor,local_neighbourhood_gate,local_retention,0.0550922416,0.3,-0.2449077584,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.25,False
pbmc3k,PCA,factor,local_neighbourhood_gate,trustworthiness,0.8058160986,0.9,-0.09418390141,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.85,False
pbmc3k,PCA,factor,label_support_gate,label_neighbor_recall,0.793631539,0.55,0.243631539,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.5,True
pbmc3k,GLM-PCA,factor,local_neighbourhood_gate,local_retention,0.0435430882,0.3,-0.2564569118,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.25,False
pbmc3k,GLM-PCA,factor,local_neighbourhood_gate,trustworthiness,0.7989934047,0.9,-0.1010065953,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.85,False
pbmc3k,GLM-PCA,factor,label_support_gate,label_neighbor_recall,0.8633055345,0.55,0.3133055345,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.5,True
pbmc3k,scScope,deep,local_neighbourhood_gate,local_retention,0.03629011878,0.3,-0.2637098812,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.25,False
pbmc3k,scScope,deep,local_neighbourhood_gate,trustworthiness,0.755407978,0.9,-0.144592022,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.85,False
pbmc3k,scScope,deep,label_support_gate,label_neighbor_recall,0.7161991408,0.55,0.1661991408,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.5,True
pbmc3k,SAUCIE,deep,local_neighbourhood_gate,local_retention,0.07495577458,0.3,-0.2250442254,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.25,False
pbmc3k,SAUCIE,deep,local_neighbourhood_gate,trustworthiness,0.8415744686,0.9,-0.05842553144,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.85,False
pbmc3k,SAUCIE,deep,label_support_gate,label_neighbor_recall,0.9106899166,0.55,0.3606899166,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.5,True
pbmc3k,UMAP,graph,local_neighbourhood_gate,local_retention,0.1183472328,0.3,-0.1816527672,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.25,False
pbmc3k,UMAP,graph,local_neighbourhood_gate,trustworthiness,0.8570027606,0.9,-0.04299723944,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.85,True
pbmc3k,UMAP,graph,label_support_gate,label_neighbor_recall,0.9218347233,0.55,0.3718347233,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.5,True
pbmc3k,PHATE,graph,local_neighbourhood_gate,local_retention,0.09004296184,0.3,-0.2099570382,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.25,False
pbmc3k,PHATE,graph,local_neighbourhood_gate,trustworthiness,0.8324795181,0.9,-0.06752048189,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.85,False
pbmc3k,PHATE,graph,label_support_gate,label_neighbor_recall,0.9274703058,0.55,0.3774703058,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.5,True
pbmc3k,t-SNE,relational,local_neighbourhood_gate,local_retention,0.2161233258,0.3,-0.08387667425,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.25,False
pbmc3k,t-SNE,relational,local_neighbourhood_gate,trustworthiness,0.8904914833,0.9,-0.009508516746,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.85,True
pbmc3k,t-SNE,relational,label_support_gate,label_neighbor_recall,0.9145564822,0.55,0.3645564822,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.5,True
pbmc3k,PaCMAP,relational,local_neighbourhood_gate,local_retention,0.113646702,0.3,-0.186353298,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.25,False
pbmc3k,PaCMAP,relational,local_neighbourhood_gate,trustworthiness,0.8644392323,0.9,-0.03556076774,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.85,True
pbmc3k,PaCMAP,relational,label_support_gate,label_neighbor_recall,0.9170836492,0.55,0.3670836492,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.5,True
paul15,PCA,factor,local_neighbourhood_gate,local_retention,0.08488400488,0.3,-0.2151159951,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.25,False
paul15,PCA,factor,local_neighbourhood_gate,trustworthiness,0.851169712,0.9,-0.04883028805,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.85,True
paul15,PCA,factor,label_support_gate,label_neighbor_recall,0.3453235653,0.55,-0.2046764347,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.5,False
paul15,GLM-PCA,factor,local_neighbourhood_gate,local_retention,0.0622954823,0.3,-0.2377045177,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.25,False
paul15,GLM-PCA,factor,local_neighbourhood_gate,trustworthiness,0.8363425714,0.9,-0.06365742864,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.85,False
paul15,GLM-PCA,factor,label_support_gate,label_neighbor_recall,0.5456654457,0.55,-0.004334554335,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.5,True
paul15,scScope,deep,local_neighbourhood_gate,local_retention,0.07538461538,0.3,-0.2246153846,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.25,False
paul15,scScope,deep,local_neighbourhood_gate,trustworthiness,0.8605419134,0.9,-0.03945808655,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.85,True
paul15,scScope,deep,label_support_gate,label_neighbor_recall,0.6096459096,0.55,0.05964590965,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.5,True
paul15,SAUCIE,deep,local_neighbourhood_gate,local_retention,0.1043956044,0.3,-0.1956043956,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.25,False
paul15,SAUCIE,deep,local_neighbourhood_gate,trustworthiness,0.8692665558,0.9,-0.0307334442,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.85,True
paul15,SAUCIE,deep,label_support_gate,label_neighbor_recall,0.5040537241,0.55,-0.04594627595,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.5,True
paul15,UMAP,graph,local_neighbourhood_gate,local_retention,0.1915018315,0.3,-0.1084981685,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.25,False
paul15,UMAP,graph,local_neighbourhood_gate,trustworthiness,0.9108641504,0.9,0.01086415042,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.85,True
paul15,UMAP,graph,label_support_gate,label_neighbor_recall,0.5073015873,0.55,-0.0426984127,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.5,True
paul15,PHATE,graph,local_neighbourhood_gate,local_retention,0.0915995116,0.3,-0.2084004884,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.25,False
paul15,PHATE,graph,local_neighbourhood_gate,trustworthiness,0.8578531037,0.9,-0.04214689632,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.85,True
paul15,PHATE,graph,label_support_gate,label_neighbor_recall,0.3783882784,0.55,-0.1716117216,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.5,False
paul15,t-SNE,relational,local_neighbourhood_gate,local_retention,0.3063736264,0.3,0.006373626374,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.25,True
paul15,t-SNE,relational,local_neighbourhood_gate,trustworthiness,0.9395209002,0.9,0.03952090023,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.85,True
paul15,t-SNE,relational,label_support_gate,label_neighbor_recall,0.5228327228,0.55,-0.02716727717,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.5,True
paul15,PaCMAP,relational,local_neighbourhood_gate,local_retention,0.1785836386,0.3,-0.1214163614,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.25,False
paul15,PaCMAP,relational,local_neighbourhood_gate,trustworthiness,0.9181019498,0.9,0.01810194977,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.85,True
paul15,PaCMAP,relational,label_support_gate,label_neighbor_recall,0.5375824176,0.55,-0.01241758242,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.5,True
heart_cell_atlas_subsampled,PCA,factor,local_neighbourhood_gate,local_retention,0.05186666667,0.3,-0.2481333333,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.25,False
heart_cell_atlas_subsampled,PCA,factor,local_neighbourhood_gate,trustworthiness,0.815964896,0.9,-0.08403510405,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.85,False
heart_cell_atlas_subsampled,PCA,factor,label_support_gate,label_neighbor_recall,0.706425,0.55,0.156425,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.5,True
heart_cell_atlas_subsampled,GLM-PCA,factor,local_neighbourhood_gate,local_retention,0.050775,0.3,-0.249225,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.25,False
heart_cell_atlas_subsampled,GLM-PCA,factor,local_neighbourhood_gate,trustworthiness,0.8365554845,0.9,-0.06344451548,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.85,False
heart_cell_atlas_subsampled,GLM-PCA,factor,label_support_gate,label_neighbor_recall,0.798025,0.55,0.248025,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.5,True
heart_cell_atlas_subsampled,scScope,deep,local_neighbourhood_gate,local_retention,0.09831666667,0.3,-0.2016833333,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.25,False
heart_cell_atlas_subsampled,scScope,deep,local_neighbourhood_gate,trustworthiness,0.9011066765,0.9,0.001106676487,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.85,True
heart_cell_atlas_subsampled,scScope,deep,label_support_gate,label_neighbor_recall,0.8542833333,0.55,0.3042833333,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.5,True
heart_cell_atlas_subsampled,SAUCIE,deep,local_neighbourhood_gate,local_retention,0.06576666667,0.3,-0.2342333333,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.25,False
heart_cell_atlas_subsampled,SAUCIE,deep,local_neighbourhood_gate,trustworthiness,0.8756103516,0.9,-0.02438964836,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.85,True
heart_cell_atlas_subsampled,SAUCIE,deep,label_support_gate,label_neighbor_recall,0.857975,0.55,0.307975,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,prespecified-boundary sensitivity analysis,-0.05,0.5,True
