dataset_id,method,family,claim_gate,boundary_shift,gate_pass,component_count,limiting_margin,components,n_definition,baseline_pass,unchanged_from_baseline,decision_change
pbmc3k,PCA,factor,local_neighbourhood_gate,-0.05,False,2,-0.1949077584,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,False,True,unchanged
pbmc3k,PCA,factor,label_support_gate,-0.05,True,1,0.293631539,label_neighbor_recall,one applicable method-dataset-claim gate decision,True,True,unchanged
pbmc3k,GLM-PCA,factor,local_neighbourhood_gate,-0.05,False,2,-0.2064569118,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,False,True,unchanged
pbmc3k,GLM-PCA,factor,label_support_gate,-0.05,True,1,0.3633055345,label_neighbor_recall,one applicable method-dataset-claim gate decision,True,True,unchanged
pbmc3k,scScope,deep,local_neighbourhood_gate,-0.05,False,2,-0.2137098812,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,False,True,unchanged
pbmc3k,scScope,deep,label_support_gate,-0.05,True,1,0.2161991408,label_neighbor_recall,one applicable method-dataset-claim gate decision,True,True,unchanged
pbmc3k,SAUCIE,deep,local_neighbourhood_gate,-0.05,False,2,-0.1750442254,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,False,True,unchanged
pbmc3k,SAUCIE,deep,label_support_gate,-0.05,True,1,0.4106899166,label_neighbor_recall,one applicable method-dataset-claim gate decision,True,True,unchanged
pbmc3k,UMAP,graph,local_neighbourhood_gate,-0.05,False,2,-0.1316527672,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,False,True,unchanged
pbmc3k,UMAP,graph,label_support_gate,-0.05,True,1,0.4218347233,label_neighbor_recall,one applicable method-dataset-claim gate decision,True,True,unchanged
pbmc3k,PHATE,graph,local_neighbourhood_gate,-0.05,False,2,-0.1599570382,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,False,True,unchanged
pbmc3k,PHATE,graph,label_support_gate,-0.05,True,1,0.4274703058,label_neighbor_recall,one applicable method-dataset-claim gate decision,True,True,unchanged
