boundary_shift,family,pass_fraction,decisions_tested,unchanged_fraction
-0.05,deep,0.5454545455,22,0.9545454545
-0.05,factor,0.5909090909,22,0.9545454545
-0.05,graph,0.5909090909,22,0.8636363636
-0.05,relational,0.6818181818,22,0.8636363636
-0.025,deep,0.5,22,1
-0.025,factor,0.5909090909,22,0.9545454545
-0.025,graph,0.5,22,0.9545454545
-0.025,relational,0.6363636364,22,0.9090909091
0,deep,0.5,22,1
0,factor,0.5454545455,22,1
0,graph,0.4545454545,22,1
0,relational,0.5454545455,22,1
0.025,deep,0.4545454545,22,0.9545454545
0.025,factor,0.5454545455,22,1
0.025,graph,0.4545454545,22,1
0.025,relational,0.5,22,0.9545454545
0.05,deep,0.4090909091,22,0.9090909091
0.05,factor,0.5454545455,22,1
0.05,graph,0.4090909091,22,0.9545454545
0.05,relational,0.5,22,0.9545454545
