boundary_shift,claim_gate,pass_fraction,unchanged_fraction,decisions_tested
-0.05,continuum_gate,0,1,8
-0.05,donor_aware_gate,0.875,0.75,8
-0.05,global_geometry_gate,0.875,1,24
-0.05,label_support_gate,0.9166666667,0.7916666667,24
-0.05,local_neighbourhood_gate,0.125,0.9583333333,24
-0.025,continuum_gate,0,1,8
-0.025,donor_aware_gate,0.875,0.75,8
-0.025,global_geometry_gate,0.875,1,24
-0.025,label_support_gate,0.7916666667,0.9166666667,24
-0.025,local_neighbourhood_gate,0.08333333333,1,24
0,continuum_gate,0,1,8
0,donor_aware_gate,0.625,1,8
0,global_geometry_gate,0.875,1,24
0,label_support_gate,0.7083333333,1,24
0,local_neighbourhood_gate,0.08333333333,1,24
0.025,continuum_gate,0,1,8
0.025,donor_aware_gate,0.5,0.875,8
0.025,global_geometry_gate,0.875,1,24
0.025,label_support_gate,0.7083333333,1,24
0.025,local_neighbourhood_gate,0.04166666667,0.9583333333,24
0.05,continuum_gate,0,1,8
0.05,donor_aware_gate,0.375,0.75,8
0.05,global_geometry_gate,0.8333333333,0.9583333333,24
0.05,label_support_gate,0.7083333333,1,24
0.05,local_neighbourhood_gate,0.04166666667,0.9583333333,24
