boundary_shift,method,family,pass_fraction,decisions_tested,unchanged_fraction
-0.05,GLM-PCA,factor,0.6363636364,11,0.9090909091
-0.05,PCA,factor,0.5454545455,11,1
-0.05,PHATE,graph,0.5454545455,11,1
-0.05,PaCMAP,relational,0.6363636364,11,0.8181818182
-0.05,SAUCIE,deep,0.6363636364,11,0.9090909091
-0.05,UMAP,graph,0.6363636364,11,0.7272727273
-0.05,scScope,deep,0.4545454545,11,1
-0.05,t-SNE,relational,0.7272727273,11,0.9090909091
-0.025,GLM-PCA,factor,0.6363636364,11,0.9090909091
-0.025,PCA,factor,0.5454545455,11,1
-0.025,PHATE,graph,0.5454545455,11,1
-0.025,PaCMAP,relational,0.6363636364,11,0.8181818182
-0.025,SAUCIE,deep,0.5454545455,11,1
-0.025,UMAP,graph,0.4545454545,11,0.9090909091
-0.025,scScope,deep,0.4545454545,11,1
-0.025,t-SNE,relational,0.6363636364,11,1
0,GLM-PCA,factor,0.5454545455,11,1
0,PCA,factor,0.5454545455,11,1
0,PHATE,graph,0.5454545455,11,1
0,PaCMAP,relational,0.4545454545,11,1
0,SAUCIE,deep,0.5454545455,11,1
0,UMAP,graph,0.3636363636,11,1
0,scScope,deep,0.4545454545,11,1
0,t-SNE,relational,0.6363636364,11,1
0.025,GLM-PCA,factor,0.5454545455,11,1
0.025,PCA,factor,0.5454545455,11,1
0.025,PHATE,graph,0.5454545455,11,1
0.025,PaCMAP,relational,0.4545454545,11,1
0.025,SAUCIE,deep,0.5454545455,11,1
0.025,UMAP,graph,0.3636363636,11,1
0.025,scScope,deep,0.3636363636,11,0.9090909091
0.025,t-SNE,relational,0.5454545455,11,0.9090909091
0.05,GLM-PCA,factor,0.5454545455,11,1
0.05,PCA,factor,0.5454545455,11,1
0.05,PHATE,graph,0.4545454545,11,0.9090909091
0.05,PaCMAP,relational,0.4545454545,11,1
0.05,SAUCIE,deep,0.4545454545,11,0.9090909091
0.05,UMAP,graph,0.3636363636,11,1
0.05,scScope,deep,0.3636363636,11,0.9090909091
0.05,t-SNE,relational,0.5454545455,11,0.9090909091
